date,year,round,grandPrixId,positionRaw,laps,nParticipants,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed
2015-03-15,2015,1,australia,9,57,20,1500.0,1504.988378,4.988378,0.578947,0.371098,24.0
2015-03-29,2015,2,malaysia,8,55,20,1504.988378,1511.410885,6.422508,0.631579,0.363974,24.0
2015-04-12,2015,3,china,13,55,20,1511.410885,1511.32101,-0.089876,0.368421,0.372166,24.0
2015-04-19,2015,4,bahrain,DNF,29,20,1511.32101,1503.64737,-7.67364,0.052632,0.372367,24.0
2015-05-10,2015,5,spain,9,65,20,1503.64737,1508.836591,5.189222,0.578947,0.36273,24.0
2015-05-24,2015,6,monaco,10,78,20,1508.836591,1512.601381,3.76479,0.526316,0.36945,24.0
2015-06-07,2015,7,canada,12,69,20,1512.601381,1513.723026,1.121645,0.421053,0.374317,24.0
2015-06-21,2015,8,austria,DNF,35,20,1513.723026,1510.386472,-3.336554,0.236842,0.375865,24.0
2015-07-05,2015,9,great-britain,DNF,31,20,1510.386472,1509.049276,-1.337196,0.315789,0.371506,24.0
2015-07-26,2015,10,hungary,DNF,60,20,1509.049276,1503.952406,-5.09687,0.157895,0.370264,24.0
2015-08-23,2015,11,belgium,DNF,32,20,1503.952406,1499.019161,-4.933245,0.157895,0.363447,24.0
2015-09-06,2015,12,italy,11,52,20,1499.019161,1501.821175,2.802014,0.473684,0.356934,24.0
2015-09-20,2015,13,singapore,9,61,20,1501.821175,1507.122545,5.30137,0.578947,0.358057,24.0
2015-09-27,2015,14,japan,10,52,20,1507.122545,1511.011982,3.889436,0.526316,0.364256,24.0
2015-10-11,2015,15,russia,DNF,45,20,1511.011982,1507.148829,-3.863152,0.210526,0.371491,24.0
2015-10-25,2015,16,united-states,7,56,20,1507.148829,1514.821096,7.672266,0.684211,0.364533,24.0
2015-11-01,2015,17,mexico,13,71,20,1514.821096,1514.675771,-0.145325,0.368421,0.374476,24.0
2015-11-15,2015,18,brazil,DNF,0,20,1514.675771,1506.968574,-7.707196,0.052632,0.373765,24.0
2015-11-29,2015,19,abu-dhabi,11,55,20,1506.968574,1509.567794,2.599219,0.473684,0.365383,24.0
2016-03-20,2016,1,australia,9,57,22,1509.567794,1515.473888,5.906095,0.619048,0.37296,24.0
2016-04-03,2016,2,bahrain,DNF,29,22,1515.473888,1510.701519,-4.77237,0.190476,0.389325,24.0
2016-04-17,2016,3,china,9,56,22,1510.701519,1516.56259,5.861072,0.619048,0.374836,24.0
2016-05-01,2016,4,russia,12,52,22,1516.56259,1518.79979,2.2372,0.47619,0.382974,24.0
2016-05-15,2016,5,spain,6,66,22,1518.79979,1527.824043,9.024253,0.761905,0.385894,24.0
2016-05-29,2016,6,monaco,8,77,22,1527.824043,1534.298818,6.474775,0.666667,0.396884,24.0
2016-06-12,2016,7,canada,9,69,22,1534.298818,1539.420806,5.121988,0.619048,0.405631,24.0
2016-06-19,2016,8,europe,DNF,31,22,1539.420806,1530.656089,-8.764717,0.047619,0.412816,24.0
2016-07-03,2016,9,austria,8,71,22,1530.656089,1537.018231,6.362142,0.666667,0.401577,24.0
2016-07-10,2016,10,great-britain,8,52,22,1537.018231,1543.183928,6.165697,0.666667,0.409763,24.0
2016-07-24,2016,11,hungary,8,69,22,1543.183928,1549.146279,5.962351,0.666667,0.418235,24.0
2016-07-31,2016,12,germany,14,66,22,1549.146279,1548.050236,-1.096043,0.380952,0.426621,24.0
2016-08-28,2016,13,belgium,DNF,1,22,1548.050236,1539.63053,-8.419706,0.071429,0.42225,24.0
2016-09-04,2016,14,italy,15,52,22,1539.63053,1537.757128,-1.873402,0.333333,0.411392,24.0
2016-09-18,2016,15,singapore,14,60,22,1537.757128,1537.072219,-0.684908,0.380952,0.40949,24.0
2016-10-02,2016,16,malaysia,11,56,22,1537.072219,1539.828145,2.755926,0.52381,0.408979,24.0
2016-10-09,2016,17,japan,17,52,22,1539.828145,1535.654711,-4.173435,0.238095,0.411988,24.0
2016-10-23,2016,18,united-states,6,56,22,1535.654711,1544.173487,8.518776,0.761905,0.406956,24.0
2016-10-30,2016,19,mexico,16,70,22,1544.173487,1540.990654,-3.182833,0.285714,0.418332,24.0
2016-11-13,2016,20,brazil,6,71,22,1540.990654,1549.324863,8.334209,0.761905,0.414646,24.0
