date,year,round,grandPrixId,positionRaw,laps,nParticipants,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed
1970-06-21,1970,5,netherlands,4,79,24,1500.0,1509.754937,9.754937,0.869565,0.46311,24.0
1970-07-18,1970,7,great-britain,4,80,25,1509.754937,1519.479573,9.724636,0.875,0.469807,24.0
1970-08-02,1970,8,germany,DNF,30,25,1519.479573,1520.784655,1.305082,0.541667,0.487288,24.0
1970-08-16,1970,9,austria,2,60,24,1520.784655,1531.878344,11.093689,0.956522,0.494285,24.0
1970-09-06,1970,10,italy,1,68,27,1531.878344,1543.745593,11.86725,1.0,0.505531,24.0
1970-09-20,1970,11,canada,2,90,20,1543.745593,1554.398605,10.653012,0.947368,0.503493,24.0
1970-10-04,1970,12,united-states,13,101,27,1554.398605,1554.40922,0.010615,0.538462,0.538019,24.0
1970-10-25,1970,13,mexico,2,65,18,1554.40922,1564.875193,10.465973,0.941176,0.505094,24.0
1971-03-06,1971,1,south-africa,3,79,25,1564.875193,1573.484827,8.609635,0.916667,0.557932,24.0
1971-04-18,1971,2,spain,DNF,13,22,1573.484827,1563.579721,-9.905106,0.142857,0.55557,24.0
1971-05-23,1971,3,monaco,DNF,24,23,1563.579721,1560.41855,-3.161171,0.409091,0.540806,24.0
1971-06-20,1971,4,netherlands,3,69,25,1560.41855,1569.413469,8.994919,0.916667,0.541878,24.0
1971-07-04,1971,5,france,DNF,20,24,1569.413469,1561.416143,-7.997326,0.217391,0.550613,24.0
1971-07-17,1971,6,great-britain,DNF,48,24,1561.416143,1555.60903,-5.807113,0.304348,0.546311,24.0
1971-08-01,1971,7,germany,3,12,24,1555.60903,1564.54552,8.93649,0.913043,0.54069,24.0
1971-08-15,1971,8,austria,DNF,8,22,1564.54552,1554.695212,-9.850308,0.142857,0.553287,24.0
1971-09-05,1971,9,italy,DNF,17,24,1554.695212,1549.753898,-4.941314,0.347826,0.553714,24.0
1971-09-19,1971,10,canada,DNF,7,27,1549.753898,1541.626646,-8.127252,0.192308,0.530943,24.0
1971-10-03,1971,11,united-states,6,59,32,1541.626646,1549.078248,7.451602,0.83871,0.528226,24.0
1972-01-23,1972,1,argentina,4,95,22,1549.078248,1556.866759,7.788511,0.857143,0.532622,24.0
1972-03-04,1972,2,south-africa,12,77,27,1556.866759,1557.612362,0.745603,0.576923,0.545856,24.0
1972-05-01,1972,3,spain,3,89,26,1557.612362,1566.613904,9.001542,0.92,0.544936,24.0
1972-05-14,1972,4,monaco,DNF,51,25,1566.613904,1558.367355,-8.246549,0.208333,0.55194,24.0
1972-06-04,1972,5,belgium,DNF,57,26,1558.367355,1553.744301,-4.623054,0.36,0.552627,24.0
1972-07-30,1972,8,germany,2,14,27,1553.744301,1563.918638,10.174337,0.961538,0.537608,24.0
1972-08-13,1972,9,austria,DNF,13,26,1563.918638,1552.650493,-11.268145,0.08,0.549506,24.0
1972-09-10,1972,10,italy,DNF,16,27,1552.650493,1546.277183,-6.373311,0.269231,0.534785,24.0
1972-09-24,1972,11,canada,5,80,25,1546.277183,1553.746728,7.469545,0.833333,0.522102,24.0
1972-10-08,1972,12,united-states,8,58,32,1553.746728,1559.309063,5.562335,0.774194,0.54243,24.0
1973-01-28,1973,1,argentina,7,93,19,1559.309063,1562.641027,3.331964,0.666667,0.527835,24.0
1973-02-11,1973,2,brazil,6,39,20,1562.641027,1567.469504,4.828477,0.736842,0.535656,24.0
1973-03-03,1973,3,south-africa,DNF,2,25,1567.469504,1555.043792,-12.425712,0.041667,0.559405,24.0
1973-04-29,1973,4,spain,9,69,22,1555.043792,1557.124846,2.081054,0.619048,0.532337,24.0
1973-05-20,1973,5,belgium,10,63,23,1557.124846,1558.542086,1.41724,0.590909,0.531857,24.0
1973-06-03,1973,6,monaco,DNF,15,26,1558.542086,1547.546905,-10.995181,0.08,0.538133,24.0
1973-06-17,1973,7,sweden,9,77,22,1547.546905,1550.029687,2.482782,0.619048,0.515598,24.0
1973-07-01,1973,8,france,12,53,25,1550.029687,1550.392434,0.362746,0.541667,0.526552,24.0
1973-07-14,1973,9,great-britain,7,67,29,1550.392434,1556.60097,6.208536,0.785714,0.527025,24.0
1973-07-29,1973,10,netherlands,8,68,24,1556.60097,1560.595503,3.994533,0.695652,0.529213,24.0
1973-08-05,1973,11,germany,DNF,7,23,1560.595503,1553.795086,-6.800417,0.25,0.533351,24.0
1973-08-19,1973,12,austria,6,54,25,1553.795086,1560.187934,6.392847,0.791667,0.525298,24.0
1973-09-09,1973,13,italy,DNF,31,25,1560.187934,1553.407853,-6.78008,0.25,0.532503,24.0
1973-10-07,1973,15,united-states,8,58,28,1553.407853,1558.573319,5.165465,0.740741,0.525513,24.0
