date,year,round,grandPrixId,positionRaw,laps,nParticipants,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed
2011-07-10,2011,9,great-britain,19,49,24,1500.0,1495.587537,-4.412463,0.217391,0.401244,24.0
2011-07-24,2011,10,germany,19,57,24,1495.587537,1491.337896,-4.249641,0.217391,0.39446,24.0
2011-07-31,2011,11,hungary,18,66,24,1491.337896,1488.239675,-3.098221,0.26087,0.389962,24.0
2011-08-28,2011,12,belgium,DNF,13,24,1488.239675,1481.852838,-6.386837,0.130435,0.396553,24.0
2011-09-11,2011,13,italy,NC,39,24,1481.852838,1480.878063,-0.974774,0.347826,0.388442,24.0
2011-09-25,2011,14,singapore,19,57,24,1480.878063,1476.800682,-4.077382,0.217391,0.387282,24.0
2011-10-09,2011,15,japan,22,51,24,1476.800682,1469.712601,-7.088081,0.086957,0.382293,24.0
2011-10-16,2011,16,korea,19,54,24,1469.712601,1465.959433,-3.753168,0.217391,0.373773,24.0
2011-10-30,2011,17,india,18,57,24,1465.959433,1463.373368,-2.586065,0.26087,0.368622,24.0
2011-11-13,2011,18,abu-dhabi,DNF,48,24,1463.373368,1457.708363,-5.665005,0.130435,0.366477,24.0
2011-11-27,2011,19,brazil,20,68,24,1457.708363,1453.255531,-4.452833,0.173913,0.359448,24.0
2012-03-18,2012,1,australia,9,58,24,1453.255531,1460.641469,7.385939,0.652174,0.344426,24.0
2012-03-25,2012,2,malaysia,12,56,24,1460.641469,1464.668223,4.026754,0.521739,0.353958,24.0
2012-04-15,2012,3,china,17,56,24,1464.668223,1463.356285,-1.311938,0.304348,0.359012,24.0
2012-04-22,2012,4,bahrain,15,56,24,1463.356285,1464.168867,0.812582,0.391304,0.357447,24.0
2012-05-13,2012,5,spain,13,65,24,1464.168867,1467.038886,2.870019,0.478261,0.358677,24.0
2012-05-27,2012,6,monaco,DNF,65,24,1467.038886,1465.651139,-1.387747,0.304348,0.362171,24.0
2012-06-10,2012,7,canada,14,70,24,1465.651139,1467.42735,1.776211,0.434783,0.360774,24.0
2012-06-24,2012,8,europe,11,57,24,1467.42735,1472.2788,4.85145,0.565217,0.363074,24.0
2012-07-08,2012,9,great-britain,13,52,24,1472.2788,1474.904855,2.626055,0.478261,0.368842,24.0
