date,year,round,grandPrixId,positionRaw,laps,nParticipants,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed
2014-03-16,2014,1,australia,9,57,22,1500.0,1505.620683,5.620683,0.619048,0.384853,24.0
2014-03-30,2014,2,malaysia,10,55,22,1505.620683,1509.941684,4.321001,0.571429,0.391387,24.0
2014-04-06,2014,3,bahrain,11,57,22,1509.941684,1512.975068,3.033384,0.52381,0.397419,24.0
2014-04-20,2014,4,china,10,53,22,1512.975068,1517.057792,4.082724,0.571429,0.401315,24.0
2014-05-11,2014,5,spain,14,65,22,1517.057792,1516.435208,-0.622584,0.380952,0.406893,24.0
2014-05-25,2014,6,monaco,DNF,10,22,1516.435208,1510.113617,-6.321591,0.142857,0.406257,24.0
2014-06-08,2014,7,canada,DNF,47,22,1510.113617,1507.426549,-2.687068,0.285714,0.397675,24.0
2014-06-22,2014,8,austria,DNF,24,22,1507.426549,1497.968958,-9.457591,0.0,0.394066,24.0
2014-07-06,2014,9,great-britain,9,52,22,1497.968958,1503.670919,5.701961,0.619048,0.381466,24.0
2014-07-20,2014,10,germany,DNF,44,22,1503.670919,1496.636301,-7.034618,0.095238,0.388347,24.0
2014-07-27,2014,11,hungary,14,69,22,1496.636301,1496.673126,0.036825,0.380952,0.379418,24.0
2014-08-24,2014,12,belgium,9,44,22,1496.673126,1502.398302,5.725176,0.619048,0.380499,24.0
2014-09-07,2014,13,italy,11,53,22,1502.398302,1505.693957,3.295655,0.52381,0.386491,24.0
2014-09-21,2014,14,singapore,14,60,22,1505.693957,1505.463681,-0.230275,0.380952,0.390547,24.0
2014-10-05,2014,15,japan,11,43,22,1505.463681,1508.670366,3.206685,0.52381,0.390198,24.0
2014-10-12,2014,16,russia,14,52,21,1508.670366,1507.877959,-0.792407,0.35,0.383017,24.0
2014-11-02,2014,17,united-states,15,55,18,1507.877959,1503.822837,-4.055122,0.176471,0.345434,24.0
2014-11-09,2014,18,brazil,11,70,18,1503.822837,1505.534604,1.711767,0.411765,0.340441,24.0
