date,year,round,grandPrixId,careerRaceNumber,constructorId,constructorName,positionRaw,laps,nParticipants,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed
1950-05-13,1950,1,great-britain,1,maserati,Maserati,DNF,36,23,1000.0,986.363636,-13.636364,0.227273,0.5,50.0
1950-05-21,1950,2,monaco,2,maserati,Maserati,DNF,0,21,986.363636,977.604441,-8.759196,0.3,0.475184,50.0
1950-06-04,1950,4,switzerland,4,maserati,Maserati,6,40,18,977.604441,990.049615,12.445175,0.705882,0.456979,50.0
1950-09-03,1950,7,italy,7,maserati,Maserati,6,72,27,990.049615,1004.719211,14.669595,0.769231,0.475839,50.0
1951-05-27,1951,1,switzerland,8,alfa-romeo,Alfa Romeo,5,40,21,1004.719211,1019.832472,15.113261,0.8,0.497735,50.0
1951-07-01,1951,4,france,11,maserati,Maserati,DNF,1,23,1019.832472,995.253217,-24.579255,0.022727,0.514312,50.0
1951-07-29,1951,6,germany,13,maserati,Maserati,DNF,2,23,995.253217,973.29025,-21.962967,0.045455,0.484714,50.0
1951-09-16,1951,7,italy,14,alfa-romeo,Alfa Romeo,DNF,1,24,973.29025,961.956483,-11.333767,0.217391,0.444067,50.0
1951-10-28,1951,8,spain,15,alfa-romeo,Alfa Romeo,6,66,20,961.956483,977.84458,15.888097,0.736842,0.41908,50.0
1952-05-18,1952,1,switzerland,16,maserati,Maserati,6,58,22,977.84458,992.676683,14.832104,0.761905,0.465263,50.0
1952-07-06,1952,4,france,19,maserati,Maserati,DNF,34,21,992.676683,980.99571,-11.680973,0.25,0.483619,50.0
1952-07-19,1952,5,great-britain,20,maserati,Maserati,19,76,32,980.99571,978.59207,-2.40364,0.419355,0.467428,50.0
1952-09-07,1952,8,italy,23,maserati,Maserati,DNQ,,35,978.59207,963.236964,-15.355106,0.147059,0.454161,50.0
1953-06-07,1953,3,netherlands,26,maserati,Maserati,5,88,20,963.236964,979.720946,16.483982,0.736842,0.407162,50.0
1953-06-21,1953,4,belgium,27,maserati,Maserati,4,35,22,979.720946,1000.764784,21.043837,0.857143,0.436266,50.0
1953-07-05,1953,5,france,28,maserati,Maserati,7,58,25,1000.764784,1014.834567,14.069783,0.75,0.468604,50.0
1953-07-18,1953,6,great-britain,29,maserati,Maserati,DNF,34,29,1014.834567,1008.128956,-6.705611,0.357143,0.491255,50.0
1953-08-02,1953,7,germany,30,maserati,Maserati,5,17,35,1008.128956,1027.909784,19.780828,0.882353,0.486736,50.0
1953-08-23,1953,8,switzerland,31,maserati,Maserati,DNF,48,23,1027.909784,1028.006964,0.097181,0.5,0.498056,50.0
1953-09-13,1953,9,italy,32,maserati,Maserati,DNF,70,31,1028.006964,1018.767038,-9.239927,0.333333,0.518132,50.0
1954-01-17,1954,1,argentina,33,maserati,Maserati,8,83,18,1018.767038,1024.110615,5.343578,0.588235,0.481364,50.0
1954-10-24,1954,9,spain,41,maserati,Maserati,DNF,57,23,1024.110615,1026.906725,2.79611,0.545455,0.489532,50.0
1956-09-02,1956,8,italy,56,maserati,Maserati,7,46,26,1026.906725,1037.85874,10.952015,0.72,0.50096,50.0
