date,year,round,grandPrixId,positionRaw,laps,nParticipants,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed
1991-03-10,1991,1,united-states,DNPQ,,34,1500.0,1493.407826,-6.592174,0.166667,0.441341,24.0
1991-03-24,1991,2,brazil,DNPQ,,34,1493.407826,1487.028332,-6.379494,0.166667,0.432479,24.0
1991-04-28,1991,3,san-marino,9,57,34,1487.028332,1495.069575,8.041243,0.757576,0.422524,24.0
1991-05-12,1991,4,monaco,DNPQ,,34,1495.069575,1488.676501,-6.393074,0.166667,0.433045,24.0
1991-06-02,1991,5,canada,DNPQ,,34,1488.676501,1482.541534,-6.134967,0.166667,0.42229,24.0
1991-06-16,1991,6,mexico,DNPQ,,34,1482.541534,1476.612323,-5.929211,0.166667,0.413717,24.0
1991-07-07,1991,7,france,DNPQ,,34,1476.612323,1470.878851,-5.733472,0.166667,0.405561,24.0
1991-07-14,1991,8,great-britain,DNPQ,,34,1470.878851,1465.32392,-5.554931,0.166667,0.398122,24.0
1991-07-28,1991,9,germany,DNQ,,34,1465.32392,1457.082163,-8.241757,0.045455,0.388861,24.0
1991-08-11,1991,10,hungary,DNQ,,34,1457.082163,1449.462366,-7.619797,0.060606,0.378098,24.0
1991-08-25,1991,11,belgium,DNQ,,34,1449.462366,1441.790393,-7.671972,0.045455,0.36512,24.0
1991-09-08,1991,12,italy,DNQ,,34,1441.790393,1434.306925,-7.483469,0.045455,0.357266,24.0
1991-09-22,1991,13,portugal,DNQ,,34,1434.306925,1427.104722,-7.202203,0.045455,0.345546,24.0
1991-09-29,1991,14,spain,DNQ,,33,1427.104722,1420.220009,-6.884713,0.046875,0.333738,24.0
1991-10-20,1991,15,japan,DNQ,,32,1420.220009,1413.795637,-6.424372,0.048387,0.316069,24.0
1991-11-03,1991,16,australia,DNQ,,32,1413.795637,1407.307249,-6.488388,0.048387,0.318737,24.0
1992-03-01,1992,1,south-africa,13,68,32,1407.307249,1414.258196,6.950946,0.612903,0.32328,24.0
1992-03-22,1992,2,mexico,DNQ,,30,1414.258196,1407.67569,-6.582505,0.051724,0.325995,24.0
1992-04-05,1992,3,brazil,DNQ,,31,1407.67569,1401.209465,-6.466226,0.05,0.319426,24.0
1992-05-03,1992,4,spain,DNQ,,32,1401.209465,1394.89284,-6.316625,0.048387,0.31158,24.0
1992-05-17,1992,5,san-marino,DNQ,,32,1394.89284,1388.765171,-6.127669,0.048387,0.303707,24.0
1992-05-31,1992,6,monaco,DNQ,,32,1388.765171,1382.810153,-5.955017,0.048387,0.296513,24.0
1992-06-14,1992,7,canada,DNQ,,31,1382.810153,1377.11504,-5.695113,0.05,0.287296,24.0
1992-07-05,1992,8,france,DNQ,,30,1377.11504,1371.69207,-5.42297,0.051724,0.277681,24.0
1992-07-12,1992,9,great-britain,DNQ,,32,1371.69207,1366.226368,-5.465702,0.048387,0.276125,24.0
1992-07-26,1992,10,germany,DNQ,,32,1366.226368,1360.902478,-5.32389,0.048387,0.270216,24.0
1992-08-16,1992,11,hungary,DNF,2,31,1360.902478,1361.85162,0.949142,0.3,0.260452,24.0
1992-08-30,1992,12,belgium,10,43,30,1361.85162,1372.244928,10.393308,0.689655,0.256601,24.0
1992-09-13,1992,13,italy,DNF,0,28,1372.244928,1367.800278,-4.44465,0.074074,0.259268,24.0
