date,year,round,grandPrixId,careerRaceNumber,constructorId,constructorName,positionRaw,laps,nParticipants,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed
2013-03-17,2013,1,australia,879,sauber,Sauber,13,57,22,1000.0,1004.267517,4.267517,0.428571,0.343221,50.0
2013-03-24,2013,2,malaysia,880,sauber,Sauber,12,55,22,1004.267517,1010.59046,6.322944,0.47619,0.349732,50.0
2013-04-14,2013,3,china,881,sauber,Sauber,DNF,4,22,1010.59046,992.77029,-17.82017,0.0,0.356403,50.0
2013-04-21,2013,4,bahrain,882,sauber,Sauber,18,56,22,992.77029,985.550919,-7.219371,0.190476,0.334864,50.0
2013-05-12,2013,5,spain,883,sauber,Sauber,11,65,22,985.550919,995.412323,9.861404,0.52381,0.326581,50.0
2013-05-26,2013,6,monaco,884,sauber,Sauber,13,78,22,995.412323,999.851867,4.439544,0.428571,0.339781,50.0
2013-06-09,2013,7,canada,885,sauber,Sauber,20,63,22,999.851867,987.362398,-12.489469,0.095238,0.345027,50.0
2013-06-30,2013,8,great-britain,886,sauber,Sauber,14,52,22,987.362398,989.860493,2.498095,0.380952,0.33099,50.0
2013-07-07,2013,9,germany,887,sauber,Sauber,14,60,22,989.860493,992.238905,2.378412,0.380952,0.333384,50.0
2013-07-28,2013,10,hungary,888,sauber,Sauber,DNF,28,22,992.238905,977.779179,-14.459726,0.047619,0.336814,50.0
2013-08-25,2013,11,belgium,889,sauber,Sauber,14,44,22,977.779179,980.798395,3.019216,0.380952,0.320568,50.0
2013-09-08,2013,12,italy,890,sauber,Sauber,13,53,22,980.798395,986.011071,5.212676,0.428571,0.324318,50.0
2013-09-22,2013,13,singapore,891,sauber,Sauber,12,61,22,986.011071,993.256548,7.245478,0.47619,0.331281,50.0
2013-10-06,2013,14,korea,892,sauber,Sauber,11,55,22,993.256548,1002.413746,9.157198,0.52381,0.340666,50.0
2013-10-13,2013,15,japan,893,sauber,Sauber,7,53,22,1002.413746,1020.545795,18.132049,0.714286,0.351645,50.0
