date,year,round,grandPrixId,positionRaw,laps,nParticipants,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed
2000-03-12,2000,1,australia,DNF,40,22,1500.0,1501.318574,1.318574,0.47619,0.42125,24.0
2000-03-26,2000,2,brazil,10,69,22,1501.318574,1504.886362,3.567789,0.571429,0.422771,24.0
2000-04-09,2000,3,san-marino,13,60,22,1504.886362,1504.906603,0.02024,0.428571,0.427728,24.0
2000-04-23,2000,4,great-britain,15,59,22,1504.906603,1502.637342,-2.269261,0.333333,0.427886,24.0
2000-05-07,2000,5,spain,15,63,22,1502.637342,1500.442138,-2.195204,0.333333,0.4248,24.0
2000-05-21,2000,6,europe,8,65,22,1500.442138,1506.31581,5.873672,0.666667,0.42193,24.0
2000-06-04,2000,7,monaco,DNF,22,22,1506.31581,1500.560356,-5.755454,0.190476,0.430287,24.0
2000-06-18,2000,8,canada,12,68,22,1500.560356,1501.855626,1.29527,0.47619,0.422221,24.0
2000-07-02,2000,9,france,DNF,31,22,1501.855626,1495.10412,-6.751506,0.142857,0.42417,24.0
2000-07-16,2000,10,austria,12,68,22,1495.10412,1496.339634,1.235514,0.47619,0.424711,24.0
2000-07-30,2000,11,germany,11,45,22,1496.339634,1498.922146,2.582512,0.52381,0.416205,24.0
2000-08-13,2000,12,hungary,DNF,68,22,1498.922146,1494.565698,-4.356449,0.238095,0.419614,24.0
2000-08-27,2000,13,belgium,17,42,22,1494.565698,1490.345063,-4.220635,0.238095,0.413955,24.0
2000-09-10,2000,14,italy,10,52,22,1490.345063,1494.257267,3.912204,0.571429,0.40842,24.0
2000-09-24,2000,15,united-states,DNF,59,22,1494.257267,1493.4717,-0.785567,0.380952,0.413684,24.0
2000-10-08,2000,16,japan,15,51,22,1493.4717,1491.57101,-1.90069,0.333333,0.412529,24.0
2000-10-22,2000,17,malaysia,13,50,22,1491.57101,1492.011832,0.440821,0.428571,0.410204,24.0
2001-03-04,2001,1,australia,DNF,0,22,1492.011832,1482.121916,-9.889915,0.0,0.41208,24.0
2001-03-18,2001,2,malaysia,12,53,22,1482.121916,1483.990304,1.868387,0.47619,0.398341,24.0
2001-04-01,2001,3,brazil,DNF,54,22,1483.990304,1484.075729,0.085425,0.404762,0.401203,24.0
2001-04-15,2001,4,san-marino,DNF,28,22,1484.075729,1479.023061,-5.052669,0.190476,0.401004,24.0
