date,year,round,grandPrixId,positionRaw,laps,nParticipants,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed
1978-07-16,1978,10,great-britain,DNQ,,30,1500.0,1490.905305,-9.094695,0.051724,0.43067,24.0
1979-07-29,1979,10,germany,7,44,26,1490.905305,1499.183708,8.278403,0.76,0.415067,24.0
1980-03-01,1980,3,south-africa,13,70,28,1499.183708,1502.491748,3.30804,0.555556,0.417721,24.0
1980-03-30,1980,4,united-states-west,DNQ,,27,1502.491748,1493.359632,-9.132116,0.038462,0.418966,24.0
1980-05-04,1980,5,belgium,DNQ,,27,1493.359632,1484.440969,-8.918663,0.038462,0.410072,24.0
1980-05-18,1980,6,monaco,DNQ,,27,1484.440969,1477.663281,-6.777688,0.115385,0.397788,24.0
1980-06-29,1980,7,france,DNQ,,27,1477.663281,1469.261507,-8.401774,0.038462,0.388535,24.0
1980-08-31,1980,11,netherlands,DNF,21,29,1469.261507,1469.783201,0.521694,0.410714,0.388977,24.0
1980-09-14,1980,12,italy,DNQ,,28,1469.783201,1461.769259,-8.013942,0.055556,0.38947,24.0
1980-10-05,1980,14,united-states,DNQ,,27,1461.769259,1454.19674,-7.572519,0.057692,0.373214,24.0
1982-06-13,1982,8,canada,DNF,0,29,1454.19674,1448.381109,-5.815632,0.142857,0.385175,24.0
1982-07-25,1982,11,france,12,52,30,1448.381109,1454.10018,5.719072,0.62069,0.382395,24.0
