date,year,round,grandPrixId,positionRaw,laps,nParticipants,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed
1969-10-05,1969,10,united-states,DNF,76,18,1500.0,1500.728985,0.728985,0.470588,0.440214,24.0
1969-10-19,1969,11,mexico,DNF,6,17,1500.728985,1494.52234,-6.206644,0.1875,0.44611,24.0
1970-03-07,1970,1,south-africa,DNF,58,23,1494.52234,1491.537118,-2.985222,0.318182,0.442566,24.0
1970-04-19,1970,2,spain,DNQ,,22,1491.537118,1484.480484,-7.056634,0.142857,0.436884,24.0
1970-05-10,1970,3,monaco,DNQ,,21,1484.480484,1476.763259,-7.717225,0.1,0.421551,24.0
1970-06-21,1970,5,netherlands,DNF,26,24,1476.763259,1476.896072,0.132813,0.434783,0.429249,24.0
1970-07-05,1970,6,france,12,36,23,1476.896072,1478.729756,1.833684,0.5,0.423597,24.0
1970-07-18,1970,7,great-britain,DNF,10,25,1478.729756,1472.534213,-6.195543,0.166667,0.424814,24.0
1970-08-16,1970,9,austria,11,58,24,1472.534213,1475.922825,3.388612,0.565217,0.424025,24.0
1970-09-06,1970,10,italy,DNF,21,27,1475.922825,1477.740114,1.817289,0.5,0.42428,24.0
1970-09-20,1970,11,canada,10,85,20,1477.740114,1480.614714,2.8746,0.526316,0.406541,24.0
1970-10-04,1970,12,united-states,DNF,10,27,1480.614714,1473.980024,-6.63469,0.153846,0.430292,24.0
1971-09-19,1971,10,canada,15,59,27,1473.980024,1474.974365,0.994342,0.461538,0.420108,24.0
