date,year,round,grandPrixId,constructorId,constructorName,positionRaw,laps,nParticipants,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed
2004-03-07,2004,1,australia,jordan,Jordan,14,55,20,1000.0,996.907493,-3.092507,0.315789,0.37764,50.0
2004-03-21,2004,2,malaysia,jordan,Jordan,13,54,20,996.907493,996.623527,-0.283966,0.368421,0.3741,50.0
2004-04-04,2004,3,bahrain,jordan,Jordan,16,55,20,996.623527,988.445107,-8.17842,0.210526,0.374095,50.0
2004-04-25,2004,4,san-marino,jordan,Jordan,DNF,6,20,988.445107,970.286674,-18.158434,0.0,0.363169,50.0
2004-05-09,2004,5,spain,jordan,Jordan,DNF,51,20,970.286674,969.041999,-1.244674,0.315789,0.340683,50.0
2004-05-23,2004,6,monaco,jordan,Jordan,DNF,12,20,969.041999,965.208118,-3.833881,0.263158,0.339836,50.0
2004-05-30,2004,7,europe,jordan,Jordan,13,58,20,965.208118,966.907338,1.699219,0.368421,0.334437,50.0
2004-06-20,2004,9,united-states,jordan,Jordan,DNF,0,20,966.907338,956.595419,-10.311919,0.131579,0.337817,50.0
2004-07-04,2004,10,france,jordan,Jordan,17,67,20,956.595419,947.903132,-8.692287,0.157895,0.33174,50.0
2004-07-11,2004,11,great-britain,jordan,Jordan,DNF,47,20,947.903132,939.681995,-8.221137,0.157895,0.322317,50.0
2004-07-25,2004,12,germany,jordan,Jordan,15,63,20,939.681995,937.016169,-2.665826,0.263158,0.316474,50.0
2004-08-15,2004,13,hungary,jordan,Jordan,DNF,48,20,937.016169,932.047072,-4.969097,0.210526,0.309908,50.0
2004-08-29,2004,14,belgium,jordan,Jordan,DNF,0,20,932.047072,920.758717,-11.288355,0.078947,0.304714,50.0
2004-09-12,2004,15,italy,jordan,Jordan,DNF,33,20,920.758717,914.107845,-6.650872,0.157895,0.290912,50.0
