date,year,round,grandPrixId,positionRaw,laps,nParticipants,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed
1995-07-30,1995,9,germany,DNF,27,24,1500.0,1500.251966,0.251966,0.456522,0.446023,24.0
1995-08-13,1995,10,hungary,DNF,5,24,1500.251966,1490.676289,-9.575677,0.043478,0.442465,24.0
1995-08-27,1995,11,belgium,DNF,27,24,1490.676289,1488.73159,-1.944699,0.347826,0.428855,24.0
1995-09-10,1995,12,italy,DNF,6,24,1488.73159,1481.633738,-7.097852,0.130435,0.426179,24.0
1996-07-28,1996,11,germany,DNQ,,20,1481.633738,1472.395209,-9.238529,0.0,0.384939,24.0
1996-08-11,1996,12,hungary,10,69,20,1472.395209,1476.086867,3.691658,0.526316,0.372497,24.0
1996-08-25,1996,13,belgium,DNQ,,20,1476.086867,1467.020139,-9.066727,0.0,0.37778,24.0
1996-09-08,1996,14,italy,DNF,5,20,1467.020139,1462.666028,-4.354111,0.184211,0.365632,24.0
1996-09-22,1996,15,portugal,15,65,20,1462.666028,1460.353288,-2.31274,0.263158,0.359522,24.0
1996-10-13,1996,16,japan,DNQ,,20,1460.353288,1451.789567,-8.563721,0.0,0.356822,24.0
