date,year,round,grandPrixId,positionRaw,laps,nParticipants,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed
1966-05-22,1966,1,monaco,NC,75,17,1500.0,1506.549554,6.549554,0.6875,0.414602,24.0
1966-06-12,1966,2,belgium,NC,24,19,1506.549554,1513.76809,7.218535,0.722222,0.42145,24.0
1966-07-03,1966,3,france,NC,42,18,1513.76809,1515.536751,1.768661,0.529412,0.455718,24.0
1966-07-16,1966,4,great-britain,10,75,20,1515.536751,1517.039756,1.503005,0.526316,0.463691,24.0
1966-07-24,1966,5,netherlands,9,84,18,1517.039756,1519.010012,1.970256,0.529412,0.447318,24.0
1966-08-07,1966,6,germany,DNS,,30,1519.010012,1508.199423,-10.810588,0.034483,0.484924,24.0
1967-06-18,1967,4,belgium,10,25,18,1508.199423,1508.711869,0.512445,0.470588,0.449236,24.0
1967-07-02,1967,5,france,NC,68,15,1508.711869,1511.814376,3.102507,0.571429,0.442157,24.0
1967-07-15,1967,6,great-britain,10,76,21,1511.814376,1513.924166,2.10979,0.55,0.462092,24.0
1967-08-06,1967,7,germany,8,14,26,1513.924166,1519.816418,5.892252,0.72,0.47449,24.0
1967-09-10,1967,9,italy,DNF,26,18,1519.816418,1512.959837,-6.856581,0.176471,0.462161,24.0
1967-10-01,1967,10,united-states,DNF,43,18,1512.959837,1510.566734,-2.393103,0.352941,0.452654,24.0
1967-10-22,1967,11,mexico,11,61,19,1510.566734,1510.390544,-0.176189,0.444444,0.451786,24.0
