date,year,round,grandPrixId,constructorId,constructorName,positionRaw,laps,nParticipants,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed
1976-08-15,1976,11,austria,ensign,Ensign,DNF,47,25,1000.0,1003.696934,3.696934,0.5,0.426061,50.0
1976-10-24,1976,16,japan,wolf-williams,Wolf-Williams,DNF,49,27,1003.696934,1009.932898,6.235963,0.538462,0.413742,50.0
1977-01-09,1977,1,argentina,surtees,Surtees,DNF,18,21,1009.932898,995.372952,-14.559945,0.1,0.391199,50.0
1977-01-23,1977,2,brazil,surtees,Surtees,DNF,32,22,995.372952,1004.945577,9.572625,0.571429,0.379976,50.0
1977-03-05,1977,3,south-africa,surtees,Surtees,11,77,23,1004.945577,1012.640476,7.694899,0.545455,0.391557,50.0
1977-04-03,1977,4,united-states-west,surtees,Surtees,11,77,22,1012.640476,1018.971152,6.330676,0.52381,0.397196,50.0
1977-05-08,1977,5,spain,surtees,Surtees,9,73,31,1018.971152,1032.989579,14.018427,0.733333,0.452965,50.0
1977-05-22,1977,6,monaco,surtees,Surtees,DNF,41,26,1032.989579,1030.462845,-2.526734,0.4,0.450535,50.0
1977-08-14,1977,12,austria,penske,Penske,12,53,30,1030.462845,1038.464271,8.001426,0.62069,0.460661,50.0
1977-08-28,1977,13,netherlands,penske,Penske,8,73,34,1038.464271,1053.773406,15.309135,0.787879,0.481696,50.0
1977-09-11,1977,14,italy,penske,Penske,DNQ,,34,1053.773406,1035.827048,-17.946358,0.136364,0.495291,50.0
1977-10-02,1977,15,united-states,surtees,Surtees,11,57,27,1035.827048,1044.738403,8.911354,0.615385,0.437158,50.0
1977-10-09,1977,16,canada,surtees,Surtees,DNF,31,27,1044.738403,1040.705171,-4.033231,0.384615,0.46528,50.0
1977-10-23,1977,17,japan,surtees,Surtees,DNF,1,23,1040.705171,1020.98306,-19.722111,0.045455,0.439897,50.0
1978-08-13,1978,12,austria,ats-wheels,ATS,DNQ,,31,1020.98306,1002.325427,-18.657633,0.05,0.423153,50.0
