date,year,round,grandPrixId,positionRaw,laps,nParticipants,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed
1971-03-06,1971,1,south-africa,DNF,42,25,1500.0,1496.891242,-3.108758,0.333333,0.462865,24.0
1971-04-18,1971,2,spain,10,71,22,1496.891242,1499.974889,3.083646,0.571429,0.442943,24.0
1971-05-23,1971,3,monaco,DNQ,,23,1499.974889,1491.42133,-8.553558,0.090909,0.447307,24.0
1971-06-20,1971,4,netherlands,7,66,25,1491.42133,1498.8367,7.415369,0.75,0.441026,24.0
1971-07-04,1971,5,france,10,54,24,1498.8367,1502.707929,3.87123,0.608696,0.447394,24.0
1971-07-17,1971,6,great-britain,8,66,24,1502.707929,1508.357551,5.649622,0.695652,0.460251,24.0
1971-08-01,1971,7,germany,DNF,2,24,1508.357551,1502.788032,-5.569519,0.23913,0.471194,24.0
1971-08-15,1971,8,austria,DNF,6,22,1502.788032,1493.980224,-8.807808,0.095238,0.46223,24.0
1971-09-05,1971,9,italy,5,55,24,1493.980224,1502.656196,8.675972,0.826087,0.464588,24.0
1971-09-19,1971,10,canada,DNS,,27,1502.656196,1492.497293,-10.158903,0.038462,0.461749,24.0
1971-10-03,1971,11,united-states,4,59,32,1492.497293,1503.216778,10.719485,0.903226,0.456581,24.0
1972-01-23,1972,1,argentina,9,93,22,1503.216778,1506.913974,3.697196,0.619048,0.464998,24.0
1972-03-04,1972,2,south-africa,NC,70,27,1506.913974,1503.874816,-3.039158,0.346154,0.472785,24.0
1972-05-01,1972,3,spain,DNF,38,26,1503.874816,1501.32312,-2.551697,0.36,0.466321,24.0
1972-05-14,1972,4,monaco,DNF,47,25,1501.32312,1493.377142,-7.945977,0.125,0.456082,24.0
1972-06-04,1972,5,belgium,8,83,26,1493.377142,1499.687297,6.310155,0.72,0.457077,24.0
1972-07-02,1972,6,france,DNS,,29,1499.687297,1489.734243,-9.953054,0.053571,0.468282,24.0
1972-07-30,1972,8,germany,4,14,27,1489.734243,1500.298152,10.563909,0.884615,0.444453,24.0
1972-08-13,1972,9,austria,6,54,26,1500.298152,1508.535171,8.237019,0.8,0.456791,24.0
1972-09-10,1972,10,italy,11,52,27,1508.535171,1512.01033,3.475159,0.615385,0.470586,24.0
1972-09-24,1972,11,canada,10,78,25,1512.01033,1515.681086,3.670756,0.625,0.472052,24.0
1972-10-08,1972,12,united-states,DNF,44,32,1515.681086,1511.342011,-4.339075,0.306452,0.487246,24.0
1973-01-28,1973,1,argentina,NC,79,19,1511.342011,1508.374478,-2.967532,0.333333,0.456981,24.0
1973-02-11,1973,2,brazil,7,39,20,1508.374478,1513.853692,5.479213,0.684211,0.45591,24.0
1973-03-03,1973,3,south-africa,10,73,25,1513.853692,1517.29443,3.440739,0.625,0.481636,24.0
1973-04-29,1973,4,spain,DNF,63,22,1517.29443,1514.981999,-2.312431,0.380952,0.477304,24.0
1973-05-20,1973,5,belgium,DNF,16,23,1514.981999,1510.233286,-4.748713,0.272727,0.47059,24.0
1973-06-03,1973,6,monaco,DNF,41,26,1510.233286,1507.637524,-2.595763,0.36,0.468157,24.0
1973-06-17,1973,7,sweden,11,76,22,1507.637524,1509.230515,1.592991,0.52381,0.457435,24.0
1973-07-01,1973,8,france,14,51,25,1509.230515,1509.014708,-0.215807,0.458333,0.467325,24.0
1973-07-14,1973,9,great-britain,9,66,29,1509.014708,1514.944104,5.929396,0.714286,0.467228,24.0
1973-07-29,1973,10,netherlands,9,68,24,1514.944104,1519.344294,4.40019,0.652174,0.468833,24.0
1973-08-05,1973,11,germany,DNS,,23,1519.344294,1507.977808,-11.366486,0.0,0.473604,24.0
1973-08-19,1973,12,austria,NC,44,25,1507.977808,1509.963422,1.985614,0.541667,0.458933,24.0
1973-09-09,1973,13,italy,NC,44,25,1509.963422,1507.926663,-2.036759,0.375,0.459865,24.0
1973-09-23,1973,14,canada,6,79,26,1507.926663,1515.925561,7.998898,0.8,0.466713,24.0
1973-10-07,1973,15,united-states,12,57,28,1515.925561,1518.834377,2.908816,0.592593,0.471392,24.0
1974-01-13,1974,1,argentina,8,52,26,1518.834377,1524.458971,5.624594,0.72,0.485642,24.0
1974-01-27,1974,2,brazil,DNF,9,25,1524.458971,1514.698839,-9.760132,0.083333,0.490006,24.0
1974-07-20,1974,10,great-britain,DNQ,,35,1514.698839,1506.00964,-8.689199,0.132353,0.494403,24.0
1974-08-04,1974,11,germany,DNQ,,32,1506.00964,1497.408921,-8.600719,0.112903,0.471267,24.0
