date,year,round,grandPrixId,positionRaw,laps,nParticipants,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed
1965-01-01,1965,1,south-africa,6,83,28,1500.0,1508.470281,8.470281,0.814815,0.461886,24.0
1965-05-30,1965,2,monaco,3,100,17,1508.470281,1518.46145,9.991169,0.875,0.458701,24.0
1965-06-13,1965,3,belgium,2,32,21,1518.46145,1530.045131,11.583681,0.95,0.467347,24.0
1965-06-27,1965,4,france,2,40,17,1530.045131,1541.221694,11.176562,0.9375,0.47181,24.0
1965-07-10,1965,5,great-britain,5,80,24,1541.221694,1548.821969,7.600275,0.826087,0.509409,24.0
1965-07-18,1965,6,netherlands,2,80,17,1548.821969,1559.469165,10.647197,0.9375,0.493867,24.0
1965-08-01,1965,7,germany,DNF,2,22,1559.469165,1551.144311,-8.324854,0.190476,0.537345,24.0
1965-09-12,1965,8,italy,1,76,23,1551.144311,1562.659774,11.515463,1.0,0.520189,24.0
1965-10-03,1965,9,united-states,DNF,12,18,1562.659774,1555.922431,-6.737342,0.235294,0.516017,24.0
1965-10-24,1965,10,mexico,DNF,35,19,1555.922431,1550.349002,-5.573429,0.277778,0.510004,24.0
1966-05-22,1966,1,monaco,1,100,17,1550.349002,1562.60949,12.260488,1.0,0.489146,24.0
1966-06-12,1966,2,belgium,DNF,0,19,1562.60949,1560.50893,-2.10056,0.416667,0.50419,24.0
1966-07-16,1966,4,great-britain,DNF,17,20,1560.50893,1551.572328,-8.936602,0.157895,0.530253,24.0
1966-07-24,1966,5,netherlands,4,88,18,1551.572328,1559.3679,7.795572,0.823529,0.498714,24.0
1966-08-07,1966,6,germany,5,15,30,1559.3679,1567.006694,7.638794,0.862069,0.543786,24.0
1966-09-04,1966,7,italy,DNF,5,22,1567.006694,1558.805379,-8.201316,0.190476,0.532198,24.0
1966-10-02,1966,8,united-states,DNF,53,19,1558.805379,1554.69961,-4.105769,0.333333,0.504407,24.0
1966-10-23,1966,9,mexico,DNF,26,19,1554.69961,1549.229615,-5.469995,0.277778,0.505694,24.0
1967-01-02,1967,1,south-africa,DNF,2,18,1549.229615,1536.988613,-12.241003,0.0,0.510042,24.0
1967-05-07,1967,2,monaco,DNF,14,19,1536.988613,1534.155189,-2.833424,0.361111,0.47917,24.0
1967-06-04,1967,3,netherlands,DNF,51,17,1534.155189,1530.088875,-4.066314,0.3125,0.48193,24.0
1967-06-18,1967,4,belgium,2,28,18,1530.088875,1541.111841,11.022966,0.941176,0.481886,24.0
1967-07-02,1967,5,france,3,79,15,1541.111841,1549.896798,8.784956,0.857143,0.491103,24.0
1967-07-15,1967,6,great-britain,DNF,20,21,1549.896798,1542.247105,-7.649693,0.2,0.518737,24.0
1967-08-06,1967,7,germany,DNF,5,26,1542.247105,1537.53603,-4.711075,0.32,0.516295,24.0
1967-08-27,1967,8,canada,DNF,65,19,1537.53603,1533.492465,-4.043565,0.333333,0.501815,24.0
1967-09-10,1967,9,italy,DNF,45,18,1533.492465,1528.96838,-4.524086,0.294118,0.482621,24.0
1967-10-01,1967,10,united-states,DNF,72,18,1528.96838,1528.825709,-0.142671,0.470588,0.476533,24.0
1967-10-22,1967,11,mexico,DNF,24,19,1528.825709,1522.665531,-6.160178,0.222222,0.478896,24.0
1968-01-01,1968,1,south-africa,DNF,43,23,1522.665531,1520.950651,-1.71488,0.409091,0.480544,24.0
1968-06-09,1968,4,belgium,4,27,18,1520.950651,1529.21472,8.264069,0.823529,0.479193,24.0
1968-06-23,1968,5,netherlands,1,90,19,1529.21472,1541.420122,12.205402,1.0,0.491442,24.0
1968-07-07,1968,6,france,3,59,18,1541.420122,1550.368451,8.948329,0.882353,0.509506,24.0
1968-07-20,1968,7,great-britain,6,78,20,1550.368451,1555.485472,5.117021,0.736842,0.523633,24.0
1968-08-04,1968,8,germany,1,14,21,1555.485472,1566.665035,11.179563,1.0,0.534185,24.0
1968-09-08,1968,9,italy,DNF,42,24,1566.665035,1568.410392,1.745357,0.630435,0.557712,24.0
