date,year,round,grandPrixId,positionRaw,laps,nParticipants,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed
1997-03-09,1997,1,australia,9,55,24,1500.0,1505.270247,5.270247,0.652174,0.43258,24.0
1997-03-30,1997,2,brazil,12,71,22,1505.270247,1506.347503,1.077256,0.47619,0.431305,24.0
1997-04-13,1997,3,argentina,9,71,22,1506.347503,1510.814495,4.466992,0.619048,0.432923,24.0
1997-04-27,1997,4,san-marino,DNS,,22,1510.814495,1500.279471,-10.535024,0.0,0.438959,24.0
1997-05-11,1997,5,monaco,DNF,7,22,1500.279471,1494.67969,-5.599781,0.190476,0.4238,24.0
1997-05-25,1997,6,spain,15,62,22,1494.67969,1492.752081,-1.927609,0.333333,0.41365,24.0
1997-06-15,1997,7,canada,DNF,32,22,1492.752081,1489.535031,-3.21705,0.285714,0.419758,24.0
1997-06-29,1997,8,france,10,70,22,1489.535031,1493.070419,3.535389,0.571429,0.424121,24.0
1997-07-13,1997,9,great-britain,8,58,22,1493.070419,1498.765347,5.694927,0.666667,0.429378,24.0
1997-07-27,1997,10,germany,4,45,22,1498.765347,1509.035362,10.270015,0.857143,0.429226,24.0
1997-08-10,1997,11,hungary,7,77,22,1509.035362,1515.545528,6.510166,0.714286,0.443029,24.0
1997-08-24,1997,12,belgium,15,42,22,1515.545528,1512.685715,-2.859813,0.333333,0.452492,24.0
1997-09-07,1997,13,italy,10,53,22,1512.685715,1515.635492,2.949777,0.571429,0.448521,24.0
1997-09-21,1997,14,austria,DNF,58,22,1515.635492,1512.196363,-3.439129,0.309524,0.452821,24.0
1998-03-08,1998,1,australia,DNF,26,22,1512.196363,1512.987498,0.791135,0.47619,0.443227,24.0
1998-03-29,1998,2,brazil,DNF,17,22,1512.987498,1505.752667,-7.234831,0.142857,0.444308,24.0
1998-04-12,1998,3,argentina,11,70,22,1505.752667,1507.906387,2.15372,0.52381,0.434071,24.0
1998-04-26,1998,4,san-marino,DNF,34,22,1507.906387,1506.555374,-1.351013,0.380952,0.437245,24.0
1998-05-10,1998,5,spain,9,63,22,1506.555374,1510.960107,4.404733,0.619048,0.435517,24.0
1998-05-24,1998,6,monaco,DNF,56,22,1510.960107,1510.640089,-0.320018,0.428571,0.441906,24.0
1998-06-07,1998,7,canada,DNF,0,22,1510.640089,1502.333778,-8.306311,0.095238,0.441334,24.0
1998-06-28,1998,8,france,DNF,55,22,1502.333778,1495.475441,-6.858337,0.142857,0.428621,24.0
1998-07-12,1998,9,great-britain,DNF,37,22,1495.475441,1492.843775,-2.631666,0.309524,0.419177,24.0
1998-07-26,1998,10,austria,10,70,22,1492.843775,1496.584609,3.740835,0.571429,0.41556,24.0
1998-08-02,1998,11,germany,12,44,22,1496.584609,1497.908649,1.32404,0.47619,0.421022,24.0
1998-08-16,1998,12,hungary,DNF,28,22,1497.908649,1492.323744,-5.584904,0.190476,0.423181,24.0
1998-08-30,1998,13,belgium,6,42,22,1492.323744,1500.632577,8.308833,0.761905,0.415703,24.0
1998-09-13,1998,14,italy,13,50,22,1500.632577,1500.665701,0.033124,0.428571,0.427191,24.0
1998-09-27,1998,15,luxembourg,DNF,6,22,1500.665701,1490.980209,-9.685491,0.02381,0.427372,24.0
1998-11-01,1998,16,japan,12,48,22,1490.980209,1492.468395,1.488186,0.47619,0.414183,24.0
1999-03-07,1999,1,australia,DNF,25,22,1492.468395,1492.418267,-0.050128,0.404762,0.406851,24.0
1999-04-11,1999,2,brazil,DNF,21,22,1492.418267,1486.146974,-6.271293,0.142857,0.404161,24.0
1999-05-02,1999,3,san-marino,DNF,0,22,1486.146974,1477.131047,-9.015927,0.02381,0.399473,24.0
1999-05-16,1999,4,monaco,7,77,22,1477.131047,1484.988753,7.857706,0.714286,0.386881,24.0
1999-05-30,1999,5,spain,6,64,22,1484.988753,1493.72379,8.735037,0.761905,0.397945,24.0
1999-06-13,1999,6,canada,DNF,0,22,1493.72379,1485.045797,-8.677993,0.047619,0.409202,24.0
1999-06-27,1999,7,france,7,72,22,1485.045797,1492.662202,7.616405,0.714286,0.396935,24.0
1999-07-11,1999,8,great-britain,9,60,22,1492.662202,1497.737236,5.075034,0.619048,0.407588,24.0
1999-07-25,1999,9,austria,7,70,22,1497.737236,1504.569988,6.832753,0.714286,0.429588,24.0
1999-08-01,1999,10,germany,DNF,10,22,1504.569988,1498.591407,-5.978582,0.190476,0.439584,24.0
1999-08-15,1999,11,hungary,8,76,22,1498.591407,1504.246217,5.65481,0.666667,0.43105,24.0
1999-08-29,1999,12,belgium,12,44,22,1504.246217,1505.129391,0.883175,0.47619,0.439392,24.0
1999-09-12,1999,13,italy,DNF,29,22,1505.129391,1501.974584,-3.154807,0.309524,0.440974,24.0
1999-09-26,1999,14,europe,2,66,22,1501.974584,1514.356061,12.381477,0.952381,0.436486,24.0
1999-10-17,1999,15,malaysia,DNS,,22,1514.356061,1503.778688,-10.577373,0.0,0.440724,24.0
1999-10-31,1999,16,japan,DNF,3,22,1503.778688,1494.696861,-9.081828,0.047619,0.426029,24.0
2000-03-12,2000,1,australia,DNF,35,22,1494.696861,1493.907883,-0.788977,0.380952,0.413826,24.0
2000-03-26,2000,2,brazil,4,71,22,1493.907883,1504.582327,10.674444,0.857143,0.412374,24.0
2000-04-09,2000,3,san-marino,15,58,22,1504.582327,1502.327157,-2.25517,0.333333,0.427299,24.0
2000-04-23,2000,4,great-britain,6,60,22,1502.327157,1510.43096,8.103803,0.761905,0.424246,24.0
2000-05-07,2000,5,spain,12,64,22,1510.43096,1511.400188,0.969228,0.47619,0.435806,24.0
2000-05-21,2000,6,europe,DNF,0,22,1511.400188,1502.046414,-9.353774,0.047619,0.43736,24.0
2000-06-04,2000,7,monaco,DNF,36,22,1502.046414,1499.863724,-2.182689,0.333333,0.424279,24.0
2000-06-18,2000,8,canada,6,69,22,1499.863724,1508.039568,8.175843,0.761905,0.421245,24.0
2000-07-02,2000,9,france,6,72,22,1508.039568,1515.93641,7.896842,0.761905,0.43287,24.0
2000-07-16,2000,10,austria,DNF,0,22,1515.93641,1506.177852,-9.758558,0.047619,0.454226,24.0
2000-07-30,2000,11,germany,9,45,22,1506.177852,1510.71467,4.536818,0.619048,0.430014,24.0
2000-08-13,2000,12,hungary,7,76,22,1510.71467,1517.38812,6.67345,0.714286,0.436225,24.0
2000-08-27,2000,13,belgium,DNF,4,22,1517.38812,1506.683495,-10.704625,0.0,0.446026,24.0
2000-09-10,2000,14,italy,DNF,0,22,1506.683495,1499.191196,-7.492299,0.119048,0.431227,24.0
2000-09-24,2000,15,united-states,DNF,12,22,1499.191196,1489.097197,-10.093999,0.0,0.420583,24.0
2000-10-08,2000,16,japan,13,52,22,1489.097197,1489.628369,0.531172,0.428571,0.406439,24.0
2000-10-22,2000,17,malaysia,12,55,22,1489.628369,1491.276828,1.648459,0.47619,0.407505,24.0
2001-03-04,2001,1,australia,DNF,38,22,1491.276828,1488.26857,-3.008258,0.285714,0.411058,24.0
2001-03-18,2001,2,malaysia,8,54,22,1488.26857,1494.504424,6.235854,0.666667,0.406839,24.0
2001-04-01,2001,3,brazil,5,70,22,1494.504424,1503.954297,9.449874,0.809524,0.415779,24.0
2001-04-15,2001,4,san-marino,5,62,22,1503.954297,1513.093438,9.13914,0.809524,0.428726,24.0
2001-04-29,2001,5,spain,4,65,22,1513.093438,1523.02098,9.927542,0.857143,0.443495,24.0
2001-05-13,2001,6,austria,DSQ,14,22,1523.02098,1512.041339,-10.979641,0.0,0.457485,24.0
2001-05-27,2001,7,monaco,DNF,30,22,1512.041339,1508.291389,-3.74995,0.285714,0.441962,24.0
2001-06-10,2001,8,canada,11,63,22,1508.291389,1510.270241,1.978852,0.52381,0.441357,24.0
2001-06-24,2001,9,europe,DNF,44,22,1510.270241,1503.139249,-7.130992,0.142857,0.439982,24.0
2001-07-01,2001,10,france,5,72,22,1503.139249,1512.241376,9.102126,0.809524,0.430269,24.0
