date,year,round,grandPrixId,careerRaceNumber,constructorId,constructorName,positionRaw,laps,nParticipants,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed
1995-05-28,1995,5,monaco,569,sauber,Sauber,8,74,26,1000.0,1014.916217,14.916217,0.72,0.421676,50.0
1995-06-11,1995,6,canada,570,sauber,Sauber,DNF,19,24,1014.916217,1001.960477,-12.95574,0.173913,0.433028,50.0
1995-07-02,1995,7,france,571,sauber,Sauber,DNF,48,24,1001.960477,994.262424,-7.698053,0.26087,0.414831,50.0
1995-07-16,1995,8,great-britain,572,sauber,Sauber,9,60,24,994.262424,1006.43672,12.174297,0.652174,0.408688,50.0
1995-07-30,1995,9,germany,573,sauber,Sauber,5,44,24,1006.43672,1026.665275,20.228555,0.826087,0.421516,50.0
1995-08-13,1995,10,hungary,574,sauber,Sauber,10,74,24,1026.665275,1034.745499,8.080224,0.608696,0.447091,50.0
1995-08-27,1995,11,belgium,575,sauber,Sauber,11,43,24,1034.745499,1040.076936,5.331437,0.565217,0.458589,50.0
1995-09-10,1995,12,italy,576,sauber,Sauber,6,52,24,1040.076936,1055.892417,15.815481,0.782609,0.466299,50.0
1995-09-24,1995,13,portugal,577,sauber,Sauber,12,70,24,1055.892417,1057.689024,1.796607,0.521739,0.485807,50.0
1995-10-01,1995,14,europe,578,sauber,Sauber,DNF,44,24,1057.689024,1046.231159,-11.457865,0.26087,0.490027,50.0
1995-10-22,1995,15,pacific,579,sauber,Sauber,DNF,7,24,1046.231159,1024.265984,-21.965175,0.043478,0.482782,50.0
