date,year,round,grandPrixId,constructorId,constructorName,positionRaw,laps,nParticipants,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed
2000-03-12,2000,1,australia,williams,Williams,DNF,46,22,1000.0,1009.089011,9.089011,0.571429,0.389648,50.0
2000-03-26,2000,2,brazil,williams,Williams,6,70,22,1009.089011,1027.15944,18.070429,0.761905,0.400496,50.0
2000-04-09,2000,3,san-marino,williams,Williams,DNF,5,22,1027.15944,1009.485608,-17.673832,0.071429,0.424905,50.0
2000-04-23,2000,4,great-britain,williams,Williams,5,60,22,1009.485608,1029.929216,20.443608,0.809524,0.400652,50.0
2000-05-07,2000,5,spain,williams,Williams,17,61,22,1029.929216,1020.394,-9.535216,0.238095,0.4288,50.0
2000-05-21,2000,6,europe,williams,Williams,10,62,22,1020.394,1028.151822,7.757822,0.571429,0.416272,50.0
2000-06-04,2000,7,monaco,williams,Williams,DNF,16,22,1028.151822,1009.18432,-18.967502,0.047619,0.426969,50.0
2000-06-18,2000,8,canada,williams,Williams,11,68,22,1009.18432,1015.31678,6.13246,0.52381,0.40116,50.0
2000-07-02,2000,9,france,williams,Williams,8,71,22,1015.31678,1028.159088,12.842309,0.666667,0.40982,50.0
2000-07-16,2000,10,austria,williams,Williams,5,70,22,1028.159088,1046.65713,18.498041,0.809524,0.439563,50.0
2000-07-30,2000,11,germany,williams,Williams,4,45,22,1046.65713,1066.89216,20.235031,0.857143,0.452442,50.0
2000-08-13,2000,12,hungary,williams,Williams,9,76,22,1066.89216,1073.815181,6.923021,0.619048,0.480587,50.0
2000-08-27,2000,13,belgium,williams,Williams,5,44,22,1073.815181,1089.756035,15.940854,0.809524,0.490707,50.0
2000-09-10,2000,14,italy,williams,Williams,DNF,10,22,1089.756035,1080.776657,-8.979378,0.333333,0.512921,50.0
2000-09-24,2000,15,united-states,williams,Williams,DNF,14,22,1080.776657,1058.128786,-22.647871,0.047619,0.500576,50.0
2000-10-08,2000,16,japan,williams,Williams,5,53,22,1058.128786,1075.175192,17.046406,0.809524,0.468596,50.0
2000-10-22,2000,17,malaysia,williams,Williams,DNF,18,22,1075.175192,1060.05929,-15.115902,0.190476,0.492794,50.0
2001-03-04,2001,1,australia,benetton,Benetton,14,52,22,1060.05929,1054.829035,-5.230255,0.380952,0.485557,50.0
2001-03-18,2001,2,malaysia,benetton,Benetton,11,53,22,1054.829035,1057.110365,2.28133,0.52381,0.478183,50.0
2001-04-01,2001,3,brazil,benetton,Benetton,10,64,22,1057.110365,1061.588679,4.478314,0.571429,0.481862,50.0
2001-04-15,2001,4,san-marino,benetton,Benetton,12,60,22,1061.588679,1061.026918,-0.561761,0.47619,0.487426,50.0
2001-04-29,2001,5,spain,benetton,Benetton,15,62,22,1061.026918,1053.27029,-7.756628,0.333333,0.488466,50.0
2001-05-13,2001,6,austria,benetton,Benetton,DNF,60,22,1053.27029,1053.205017,-0.065273,0.47619,0.477496,50.0
2001-05-27,2001,7,monaco,benetton,Benetton,7,77,22,1053.205017,1065.040577,11.83556,0.714286,0.477575,50.0
2001-06-10,2001,8,canada,benetton,Benetton,DNF,17,22,1065.040577,1049.78923,-15.251347,0.190476,0.495503,50.0
2001-06-24,2001,9,europe,benetton,Benetton,13,65,22,1049.78923,1047.534282,-2.254948,0.428571,0.47367,50.0
2001-07-01,2001,10,france,benetton,Benetton,16,68,22,1047.534282,1038.263177,-9.271105,0.285714,0.471136,50.0
2001-07-15,2001,11,great-britain,benetton,Benetton,15,58,22,1038.263177,1032.011758,-6.25142,0.333333,0.458362,50.0
2001-07-29,2001,12,germany,benetton,Benetton,5,45,22,1032.011758,1049.986581,17.974823,0.809524,0.450027,50.0
2001-08-19,2001,13,hungary,benetton,Benetton,DNF,34,22,1049.986581,1033.5331,-16.45348,0.142857,0.471927,50.0
2001-09-02,2001,14,belgium,benetton,Benetton,DNF,17,22,1033.5331,1027.708098,-5.825003,0.333333,0.449833,50.0
2001-09-16,2001,15,italy,benetton,Benetton,DNF,4,22,1027.708098,1008.214131,-19.493967,0.047619,0.437498,50.0
2001-09-30,2001,16,united-states,benetton,Benetton,9,72,22,1008.214131,1018.653973,10.439842,0.619048,0.410251,50.0
2001-10-14,2001,17,japan,benetton,Benetton,7,53,22,1018.653973,1033.152565,14.498593,0.714286,0.424314,50.0
2002-03-03,2002,1,australia,renault,Renault,DNF,0,22,1033.152565,1023.563024,-9.589541,0.261905,0.453696,50.0
2002-03-17,2002,2,malaysia,renault,Renault,4,56,22,1023.563024,1044.430124,20.8671,0.857143,0.439801,50.0
2002-03-31,2002,3,brazil,renault,Renault,4,71,22,1044.430124,1063.859328,19.429204,0.857143,0.468559,50.0
2002-04-14,2002,4,san-marino,renault,Renault,5,62,22,1063.859328,1079.528017,15.668689,0.809524,0.49615,50.0
2002-04-28,2002,5,spain,renault,Renault,12,60,22,1079.528017,1077.410279,-2.117738,0.47619,0.518545,50.0
2002-05-12,2002,6,austria,renault,Renault,7,71,22,1077.410279,1087.34131,9.931032,0.714286,0.515665,50.0
2002-05-26,2002,7,monaco,renault,Renault,DNF,51,22,1087.34131,1076.338892,-11.002418,0.309524,0.529572,50.0
2002-06-09,2002,8,canada,renault,Renault,15,65,22,1076.338892,1067.275364,-9.063528,0.333333,0.514604,50.0
2002-06-23,2002,9,europe,renault,Renault,5,60,22,1067.275364,1082.628862,15.353498,0.809524,0.502454,50.0
2002-07-07,2002,10,great-britain,renault,Renault,12,54,22,1082.628862,1080.252587,-2.376275,0.47619,0.523716,50.0
2002-07-21,2002,11,france,renault,Renault,6,71,22,1080.252587,1092.328896,12.076309,0.761905,0.520379,50.0
2002-07-28,2002,12,germany,renault,Renault,DNF,24,22,1092.328896,1077.372845,-14.956051,0.238095,0.537216,50.0
2002-08-18,2002,13,hungary,renault,Renault,DNF,30,20,1077.372845,1057.828362,-19.544483,0.105263,0.496153,50.0
2002-09-01,2002,14,belgium,renault,Renault,DNF,10,20,1057.828362,1036.990654,-20.837709,0.052632,0.469386,50.0
2002-09-15,2002,15,italy,renault,Renault,5,53,20,1036.990654,1054.19858,17.207926,0.789474,0.445315,50.0
2002-09-29,2002,16,united-states,renault,Renault,8,72,20,1054.19858,1062.183732,7.985152,0.631579,0.471876,50.0
2002-10-13,2002,17,japan,renault,Renault,6,52,20,1062.183732,1075.05222,12.868488,0.736842,0.479472,50.0
2003-03-09,2003,1,australia,bar,BAR,10,58,20,1075.05222,1076.552279,1.50006,0.526316,0.496315,50.0
2003-03-23,2003,2,malaysia,bar,BAR,7,55,20,1076.552279,1085.867218,9.314939,0.684211,0.497912,50.0
2003-04-06,2003,3,brazil,bar,BAR,DNF,32,20,1085.867218,1081.404736,-4.462483,0.421053,0.510302,50.0
2003-04-20,2003,4,san-marino,bar,BAR,8,61,20,1081.404736,1087.845803,6.441067,0.631579,0.502758,50.0
2003-05-04,2003,5,spain,bar,BAR,9,63,20,1087.845803,1091.194233,3.348431,0.578947,0.511979,50.0
2003-05-18,2003,6,austria,bar,BAR,4,69,20,1091.194233,1107.444123,16.249889,0.842105,0.517107,50.0
2003-06-01,2003,7,monaco,bar,BAR,DNS,,20,1107.444123,1080.450722,-26.993401,0.0,0.539868,50.0
2003-06-15,2003,8,canada,bar,BAR,DNF,51,20,1080.450722,1073.744016,-6.706706,0.368421,0.502555,50.0
2003-06-29,2003,9,europe,bar,BAR,7,59,20,1073.744016,1083.263048,9.519032,0.684211,0.49383,50.0
2003-07-06,2003,10,france,bar,BAR,DNF,21,20,1083.263048,1057.912929,-25.350119,0.0,0.507002,50.0
2003-07-20,2003,11,great-britain,bar,BAR,8,60,20,1057.912929,1065.855009,7.94208,0.631579,0.472737,50.0
2003-08-03,2003,12,germany,bar,BAR,8,66,20,1065.855009,1073.340735,7.485726,0.631579,0.481864,50.0
2003-08-24,2003,13,hungary,bar,BAR,10,69,20,1073.340735,1075.250552,1.909817,0.526316,0.488119,50.0
2003-09-14,2003,14,italy,bar,BAR,DNF,24,20,1075.250552,1057.773852,-17.4767,0.157895,0.507429,50.0
2003-09-28,2003,15,united-states,bar,BAR,DNF,41,20,1057.773852,1044.787382,-12.98647,0.210526,0.470256,50.0
2003-10-12,2003,16,japan,bar,BAR,4,53,20,1044.787382,1064.340392,19.55301,0.842105,0.451045,50.0
2004-03-07,2004,1,australia,bar,BAR,6,58,20,1064.340392,1077.874297,13.533905,0.736842,0.466164,50.0
2004-03-21,2004,2,malaysia,bar,BAR,3,56,20,1077.874297,1098.343006,20.468709,0.894737,0.485363,50.0
2004-04-04,2004,3,bahrain,bar,BAR,3,57,20,1098.343006,1117.373219,19.030213,0.894737,0.514133,50.0
2004-04-25,2004,4,san-marino,bar,BAR,2,62,20,1117.373219,1137.717088,20.343869,0.947368,0.540491,50.0
2004-05-09,2004,5,spain,bar,BAR,8,65,20,1137.717088,1140.893199,3.176111,0.631579,0.568057,50.0
2004-05-23,2004,6,monaco,bar,BAR,2,77,20,1140.893199,1159.668863,18.775664,0.947368,0.571855,50.0
2004-05-30,2004,7,europe,bar,BAR,3,60,20,1159.668863,1174.588888,14.920025,0.894737,0.596336,50.0
