date,year,round,grandPrixId,constructorId,constructorName,positionRaw,laps,nParticipants,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed
1964-08-23,1964,7,austria,brabham,Brabham,DNF,58,20,1000.0,1005.189546,5.189546,0.5,0.396209,50.0
1965-01-01,1965,1,south-africa,cooper,Cooper,DNF,39,28,1005.189546,1001.416772,-3.772773,0.37037,0.445826,50.0
1965-05-30,1965,2,monaco,cooper,Cooper,DNQ,,17,1001.416772,980.732012,-20.68476,0.0,0.413695,50.0
1965-06-13,1965,3,belgium,cooper,Cooper,11,29,21,980.732012,986.930374,6.198361,0.5,0.376033,50.0
1965-06-27,1965,4,france,cooper,Cooper,DNF,3,17,986.930374,968.771052,-18.159322,0.0,0.363186,50.0
1965-07-10,1965,5,great-britain,cooper,Cooper,14,63,24,968.771052,971.780401,3.009349,0.434783,0.374596,50.0
1965-07-18,1965,6,netherlands,cooper,Cooper,DNF,48,17,971.780401,964.370073,-7.410328,0.1875,0.335707,50.0
1965-08-01,1965,7,germany,cooper,Cooper,4,15,22,964.370073,988.775125,24.405052,0.857143,0.369042,50.0
1965-09-12,1965,8,italy,cooper,Cooper,8,74,23,988.775125,1003.078376,14.303251,0.681818,0.395753,50.0
1965-10-03,1965,9,united-states,cooper,Cooper,6,108,18,1003.078376,1019.140947,16.062571,0.705882,0.384631,50.0
1965-10-24,1965,10,mexico,cooper,Cooper,DNF,39,19,1019.140947,1017.951892,-1.189055,0.388889,0.41267,50.0
1966-05-22,1966,1,monaco,cooper,Cooper,DNF,56,17,1017.951892,1023.149094,5.197203,0.5,0.396056,50.0
1966-06-12,1966,2,belgium,cooper,Cooper,2,28,19,1023.149094,1050.46847,27.319375,0.944444,0.398057,50.0
1966-07-03,1966,3,france,cooper,Cooper,4,46,18,1050.46847,1068.423785,17.955316,0.823529,0.464423,50.0
1966-07-16,1966,4,great-britain,cooper,Cooper,5,79,20,1068.423785,1082.735402,14.311617,0.789474,0.503241,50.0
1966-07-24,1966,5,netherlands,cooper,Cooper,DNF,2,18,1082.735402,1060.843239,-21.892163,0.058824,0.496667,50.0
1966-08-07,1966,6,germany,cooper,Cooper,3,15,30,1060.843239,1081.599264,20.756025,0.931034,0.515914,50.0
1966-09-04,1966,7,italy,cooper,Cooper,4,67,22,1081.599264,1098.859338,17.260075,0.857143,0.511941,50.0
1966-10-02,1966,8,united-states,cooper,Cooper,2,107,19,1098.859338,1120.328392,21.469053,0.944444,0.515063,50.0
1966-10-23,1966,9,mexico,cooper,Cooper,DNF,32,19,1120.328392,1111.908503,-8.419888,0.388889,0.557287,50.0
1967-01-02,1967,1,south-africa,cooper,Cooper,DNF,38,18,1111.908503,1098.415564,-13.492939,0.294118,0.563976,50.0
1967-05-07,1967,2,monaco,cooper,Cooper,DNF,14,19,1098.415564,1090.023996,-8.391568,0.361111,0.528942,50.0
1967-06-04,1967,3,netherlands,cooper,Cooper,DNF,41,17,1090.023996,1076.324703,-13.699293,0.25,0.523986,50.0
1967-06-18,1967,4,belgium,cooper,Cooper,4,28,18,1076.324703,1092.03192,15.707216,0.823529,0.509385,50.0
1967-07-02,1967,5,france,cooper,Cooper,DNF,33,15,1092.03192,1083.566055,-8.465865,0.357143,0.52646,50.0
1967-07-15,1967,6,great-britain,cooper,Cooper,DNF,26,21,1083.566055,1069.25321,-14.312845,0.25,0.536257,50.0
1967-08-06,1967,7,germany,cooper,Cooper,DNF,4,26,1069.25321,1054.758919,-14.494291,0.24,0.529886,50.0
1967-08-27,1967,8,canada,cooper,Cooper,DNF,4,19,1054.758919,1038.09766,-16.66126,0.166667,0.499892,50.0
1967-09-10,1967,9,italy,cooper,Cooper,4,68,18,1038.09766,1056.620137,18.522477,0.823529,0.45308,50.0
1967-10-01,1967,10,united-states,cooper,Cooper,DNF,33,18,1056.620137,1041.272791,-15.347346,0.176471,0.483417,50.0
1968-01-01,1968,1,south-africa,brabham,Brabham,3,80,23,1041.272791,1062.86306,21.590269,0.909091,0.477286,50.0
1968-05-12,1968,2,spain,brabham,Brabham,DNF,10,14,1062.86306,1042.173533,-20.689527,0.076923,0.490714,50.0
1968-05-26,1968,3,monaco,brabham,Brabham,DNF,8,18,1042.173533,1035.648724,-6.524809,0.352941,0.483437,50.0
1968-06-09,1968,4,belgium,brabham,Brabham,DNF,5,18,1035.648724,1016.760961,-18.887764,0.088235,0.465991,50.0
1968-06-23,1968,5,netherlands,brabham,Brabham,DNF,39,19,1016.760961,1005.802118,-10.958843,0.222222,0.441399,50.0
1968-07-07,1968,6,france,brabham,Brabham,DNF,45,18,1005.802118,999.349428,-6.452689,0.294118,0.423171,50.0
1968-07-20,1968,7,great-britain,brabham,Brabham,DNF,55,20,999.349428,1007.419744,8.070316,0.578947,0.417541,50.0
1968-08-04,1968,8,germany,brabham,Brabham,3,14,21,1007.419744,1030.766286,23.346542,0.9,0.433069,50.0
1968-09-08,1968,9,italy,brabham,Brabham,DNF,33,24,1030.766286,1030.629423,-0.136863,0.478261,0.480998,50.0
1968-09-22,1968,10,canada,brabham,Brabham,DNF,39,22,1030.629423,1031.010003,0.38058,0.47619,0.468579,50.0
1968-10-06,1968,11,united-states,brabham,Brabham,DNF,73,21,1031.010003,1032.327695,1.317693,0.5,0.473646,50.0
1968-11-03,1968,12,mexico,brabham,Brabham,DNF,2,21,1032.327695,1009.093906,-23.233789,0.0,0.464676,50.0
1969-03-01,1969,1,south-africa,lotus,Lotus,DNF,44,18,1009.093906,1011.543318,2.449412,0.470588,0.4216,50.0
1969-05-04,1969,2,spain,lotus,Lotus,DNF,19,14,1011.543318,1003.636378,-7.90694,0.230769,0.388908,50.0
1969-06-21,1969,4,netherlands,lotus,Lotus,DNF,16,15,1003.636378,990.686778,-12.9496,0.142857,0.401849,50.0
1969-07-06,1969,5,france,lotus,Lotus,DNF,22,13,990.686778,980.139698,-10.547079,0.166667,0.377608,50.0
1969-07-19,1969,6,great-britain,lotus,Lotus,4,83,17,980.139698,1001.938162,21.798463,0.8125,0.376531,50.0
1969-08-03,1969,7,germany,lotus,Lotus,DNF,10,26,1001.938162,1001.671249,-0.266913,0.44,0.445338,50.0
1969-09-07,1969,8,italy,lotus,Lotus,2,68,16,1001.671249,1028.157615,26.486366,0.933333,0.403606,50.0
1969-09-20,1969,9,canada,lotus,Lotus,3,90,20,1028.157615,1049.743577,21.585962,0.894737,0.463018,50.0
1969-10-05,1969,10,united-states,lotus,Lotus,1,108,18,1049.743577,1075.656309,25.912732,1.0,0.481745,50.0
1969-10-19,1969,11,mexico,lotus,Lotus,DNF,21,17,1075.656309,1061.974995,-13.681314,0.25,0.523626,50.0
1970-03-07,1970,1,south-africa,lotus,Lotus,13,72,23,1061.974995,1059.061589,-2.913407,0.454545,0.512814,50.0
1970-04-19,1970,2,spain,lotus,Lotus,DNF,9,22,1059.061589,1055.086905,-3.974683,0.428571,0.508065,50.0
1970-05-10,1970,3,monaco,lotus,Lotus,1,80,21,1055.086905,1080.351479,25.264573,1.0,0.494709,50.0
1970-06-07,1970,4,belgium,lotus,Lotus,DNF,10,18,1080.351479,1065.105643,-15.245836,0.235294,0.540211,50.0
1970-06-21,1970,5,netherlands,lotus,Lotus,1,80,24,1065.105643,1088.264562,23.15892,1.0,0.536822,50.0
1970-07-05,1970,6,france,lotus,Lotus,1,38,23,1088.264562,1110.218412,21.953849,1.0,0.560923,50.0
1970-07-18,1970,7,great-britain,lotus,Lotus,1,80,25,1110.218412,1130.697389,20.478977,1.0,0.59042,50.0
1970-08-02,1970,8,germany,lotus,Lotus,1,50,25,1130.697389,1149.635334,18.937946,1.0,0.621241,50.0
1970-08-16,1970,9,austria,lotus,Lotus,DNF,21,24,1149.635334,1127.927497,-21.707838,0.217391,0.651548,50.0
1970-09-06,1970,10,italy,lotus,Lotus,DNS,,27,1127.927497,1099.944911,-27.982586,0.057692,0.617344,50.0
