date,year,round,grandPrixId,positionRaw,laps,nParticipants,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed
1960-05-29,1960,2,monaco,DNF,17,25,1500.0,1499.960596,-0.039404,0.479167,0.480808,24.0
1960-07-16,1960,7,great-britain,2,77,25,1499.960596,1511.303881,11.343284,0.958333,0.485696,24.0
1960-08-14,1960,8,portugal,DNF,36,16,1511.303881,1511.168683,-0.135197,0.466667,0.4723,24.0
1960-11-20,1960,10,united-states,DNF,3,23,1511.168683,1499.435277,-11.733407,0.0,0.488892,24.0
1961-05-14,1961,1,monaco,11,68,21,1499.435277,1500.401936,0.966659,0.5,0.459723,24.0
1961-05-22,1961,2,netherlands,7,75,17,1500.401936,1504.304254,3.902318,0.625,0.462403,24.0
1961-06-18,1961,3,belgium,5,30,26,1504.304254,1513.046244,8.74199,0.84,0.47575,24.0
1961-07-02,1961,4,france,DNF,4,28,1513.046244,1503.855982,-9.190262,0.111111,0.494039,24.0
1961-07-15,1961,5,great-britain,DNF,23,30,1503.855982,1497.173531,-6.682451,0.206897,0.485332,24.0
1961-08-06,1961,6,germany,5,15,27,1497.173531,1506.312874,9.139344,0.846154,0.465348,24.0
1961-09-10,1961,7,italy,DNF,2,34,1506.312874,1500.448425,-5.864449,0.242424,0.486776,24.0
1961-10-08,1961,8,united-states,DNF,0,19,1500.448425,1489.260079,-11.188346,0.0,0.466181,24.0
1962-05-20,1962,1,netherlands,DNF,8,20,1489.260079,1480.935353,-8.324726,0.105263,0.452127,24.0
1962-06-03,1962,2,monaco,4,99,22,1480.935353,1491.032556,10.097203,0.857143,0.436426,24.0
1962-06-17,1962,3,belgium,5,31,20,1491.032556,1499.133124,8.100569,0.789474,0.45195,24.0
1962-07-08,1962,4,france,5,51,17,1499.133124,1505.972211,6.839086,0.75,0.465038,24.0
1962-07-21,1962,5,great-britain,2,75,21,1505.972211,1517.256339,11.284128,0.95,0.479828,24.0
1962-08-05,1962,6,germany,2,15,30,1517.256339,1528.312354,11.056015,0.965517,0.50485,24.0
1962-09-16,1962,7,italy,DNF,42,30,1528.312354,1527.430993,-0.881361,0.482759,0.519482,24.0
1962-10-07,1962,8,united-states,DNF,19,21,1527.430993,1520.34039,-7.090604,0.2,0.495442,24.0
1962-12-29,1962,9,south-africa,DNF,26,17,1520.34039,1509.96474,-10.375649,0.0625,0.494819,24.0
1963-05-26,1963,1,monaco,4,100,17,1509.96474,1518.206076,8.241336,0.8125,0.469111,24.0
