date,year,round,grandPrixId,careerRaceNumber,constructorId,constructorName,positionRaw,laps,nParticipants,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed
1986-03-23,1986,1,brazil,421,lotus,Lotus,9,58,25,1000.0,1013.868685,13.868685,0.666667,0.389293,50.0
1986-04-13,1986,2,spain,422,lotus,Lotus,DNF,52,25,1013.868685,1026.813283,12.944598,0.666667,0.407775,50.0
1986-04-27,1986,3,san-marino,423,lotus,Lotus,DNF,8,26,1026.813283,1012.352695,-14.460589,0.14,0.429212,50.0
1986-05-11,1986,4,monaco,424,lotus,Lotus,DNQ,,26,1012.352695,996.876576,-15.476119,0.1,0.409522,50.0
1986-05-25,1986,5,belgium,425,lotus,Lotus,DNF,7,25,996.876576,986.625013,-10.251563,0.1875,0.392531,50.0
1986-06-15,1986,6,canada,426,lotus,Lotus,DNF,28,25,986.625013,980.107064,-6.517948,0.25,0.380359,50.0
1986-06-22,1986,7,detroit,427,lotus,Lotus,7,61,26,980.107064,999.147508,19.040444,0.76,0.379191,50.0
1986-07-06,1986,8,france,428,lotus,Lotus,DNF,56,26,999.147508,1003.038898,3.89139,0.48,0.402172,50.0
1986-07-13,1986,9,great-britain,429,lotus,Lotus,7,72,26,1003.038898,1020.651074,17.612176,0.76,0.407756,50.0
1986-07-27,1986,10,germany,430,lotus,Lotus,DNF,17,26,1020.651074,1010.427633,-10.223441,0.24,0.444469,50.0
1986-08-10,1986,11,hungary,431,lotus,Lotus,5,74,26,1010.427633,1030.884317,20.456684,0.84,0.430866,50.0
1986-08-17,1986,12,austria,432,lotus,Lotus,DNF,9,26,1030.884317,1015.969151,-14.915165,0.16,0.458303,50.0
1986-09-07,1986,13,italy,433,lotus,Lotus,DNF,18,27,1015.969151,1009.49513,-6.474021,0.307692,0.437173,50.0
1986-09-21,1986,14,portugal,434,lotus,Lotus,9,68,27,1009.49513,1022.561016,13.065886,0.692308,0.43099,50.0
1986-10-12,1986,15,mexico,435,lotus,Lotus,DNF,53,26,1022.561016,1018.250258,-4.310758,0.36,0.446215,50.0
1986-10-26,1986,16,australia,436,lotus,Lotus,6,80,26,1018.250258,1036.215121,17.964864,0.8,0.440703,50.0
