date,year,round,grandPrixId,careerRaceNumber,constructorId,constructorName,positionRaw,laps,nParticipants,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed
1967-05-07,1967,2,monaco,152,matra,Matra,DNF,4,19,1000.0,993.166505,-6.833495,0.25,0.38667,50.0
1968-05-26,1968,3,monaco,164,matra,Matra,DNF,3,18,993.166505,984.323723,-8.842782,0.235294,0.41215,50.0
1968-07-07,1968,6,france,167,cooper,Cooper,DNF,14,18,984.323723,972.067868,-12.255855,0.147059,0.392176,50.0
1968-09-08,1968,9,italy,170,matra,Matra,2,68,24,972.067868,1000.07022,28.002352,0.956522,0.396475,50.0
1968-09-22,1968,10,canada,171,matra,Matra,DNF,71,22,1000.07022,1009.818043,9.747822,0.619048,0.424091,50.0
1968-11-03,1968,12,mexico,173,matra,Matra,DNF,57,21,1009.818043,1013.221237,3.403195,0.5,0.431936,50.0
1969-08-03,1969,7,germany,180,matra,Matra,DNF,6,26,1013.221237,1008.145343,-5.075894,0.36,0.461518,50.0
1969-09-20,1969,9,canada,182,matra,Matra,6,84,20,1008.145343,1023.2651,15.119757,0.736842,0.434447,50.0
1969-10-05,1969,10,united-states,183,matra,Matra,NC,92,18,1023.2651,1033.435937,10.170837,0.647059,0.443642,50.0
1969-10-19,1969,11,mexico,184,matra,Matra,8,63,17,1033.435937,1038.479498,5.043561,0.5625,0.461629,50.0
1970-03-07,1970,1,south-africa,185,march,March,DNF,57,23,1038.479498,1028.175731,-10.303766,0.272727,0.478803,50.0
1970-04-19,1970,2,spain,186,march,March,5,88,22,1028.175731,1045.473152,17.297421,0.809524,0.463575,50.0
1970-05-10,1970,3,monaco,187,march,March,DNQ,,21,1045.473152,1026.432935,-19.040217,0.1,0.480804,50.0
