date,year,round,grandPrixId,constructorId,constructorName,positionRaw,laps,nParticipants,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed
2013-03-17,2013,1,australia,marussia,Marussia,15,57,22,1000.0,999.505612,-0.494388,0.333333,0.343221,50.0
2013-03-24,2013,2,malaysia,marussia,Marussia,13,55,22,999.505612,1003.740666,4.235054,0.428571,0.34387,50.0
2013-04-14,2013,3,china,marussia,Marussia,15,55,22,1003.740666,1003.012605,-0.728061,0.333333,0.347895,50.0
2013-04-21,2013,4,bahrain,marussia,Marussia,19,56,22,1003.012605,992.78384,-10.228766,0.142857,0.347432,50.0
2013-05-12,2013,5,spain,marussia,Marussia,18,64,22,992.78384,985.541716,-7.242124,0.190476,0.335319,50.0
2013-05-26,2013,6,monaco,marussia,Marussia,DNF,58,22,985.541716,976.290389,-9.251327,0.142857,0.327884,50.0
2013-06-09,2013,7,canada,marussia,Marussia,17,68,22,976.290389,972.355503,-3.934887,0.238095,0.316793,50.0
2013-06-30,2013,8,great-britain,marussia,Marussia,16,52,22,972.355503,970.976635,-1.378867,0.285714,0.313292,50.0
2013-07-07,2013,9,germany,marussia,Marussia,DNF,21,22,970.976635,957.800437,-13.176198,0.047619,0.311143,50.0
2013-07-28,2013,10,hungary,marussia,Marussia,16,67,22,957.800437,957.252282,-0.548154,0.285714,0.296677,50.0
2013-08-25,2013,11,belgium,marussia,Marussia,18,43,22,957.252282,951.932052,-5.32023,0.190476,0.296881,50.0
2013-09-08,2013,12,italy,marussia,Marussia,19,52,22,951.932052,944.515764,-7.416288,0.142857,0.291183,50.0
2013-09-22,2013,13,singapore,marussia,Marussia,18,60,22,944.515764,939.845045,-4.670719,0.190476,0.283891,50.0
2013-10-06,2013,14,korea,marussia,Marussia,16,55,22,939.845045,940.150272,0.305226,0.285714,0.27961,50.0
2013-10-13,2013,15,japan,marussia,Marussia,DNF,0,22,940.150272,927.344904,-12.805368,0.02381,0.279917,50.0
2013-10-27,2013,16,india,marussia,Marussia,18,58,22,927.344904,923.548157,-3.796746,0.190476,0.266411,50.0
2013-11-03,2013,17,abu-dhabi,marussia,Marussia,20,53,22,923.548157,915.212444,-8.335714,0.095238,0.261952,50.0
2013-11-17,2013,18,united-states,marussia,Marussia,18,55,22,915.212444,911.259147,-3.953297,0.190476,0.269542,50.0
2013-11-24,2013,19,brazil,marussia,Marussia,17,69,22,911.259147,909.843138,-1.416009,0.238095,0.266415,50.0
2014-03-16,2014,1,australia,marussia,Marussia,NC,49,22,909.843138,916.486524,6.643387,0.380952,0.248085,50.0
2014-03-30,2014,2,malaysia,marussia,Marussia,DNF,8,22,916.486524,908.637478,-7.849046,0.095238,0.252219,50.0
2014-04-06,2014,3,bahrain,marussia,Marussia,16,56,22,908.637478,910.678685,2.041206,0.285714,0.24489,50.0
2014-04-20,2014,4,china,marussia,Marussia,17,53,22,910.678685,910.230457,-0.448228,0.238095,0.24706,50.0
2014-05-11,2014,5,spain,marussia,Marussia,18,64,22,910.230457,907.394384,-2.836073,0.190476,0.247198,50.0
2014-05-25,2014,6,monaco,marussia,Marussia,9,77,22,907.394384,926.076775,18.682391,0.619048,0.2454,50.0
2014-06-08,2014,7,canada,marussia,Marussia,DNF,0,22,926.076775,914.044372,-12.032402,0.02381,0.264458,50.0
2014-06-22,2014,8,austria,marussia,Marussia,15,69,22,914.044372,918.11549,4.071117,0.333333,0.251911,50.0
2014-07-06,2014,9,great-britain,marussia,Marussia,14,51,22,918.11549,924.367996,6.252507,0.380952,0.255902,50.0
2014-07-20,2014,10,germany,marussia,Marussia,15,66,22,924.367996,927.973962,3.605966,0.333333,0.261214,50.0
2014-07-27,2014,11,hungary,marussia,Marussia,15,69,22,927.973962,931.343073,3.369111,0.333333,0.265951,50.0
2014-08-24,2014,12,belgium,marussia,Marussia,18,39,22,931.343073,927.324426,-4.018647,0.190476,0.270849,50.0
2014-09-07,2014,13,italy,marussia,Marussia,18,52,22,927.324426,923.59799,-3.726436,0.190476,0.265005,50.0
2014-09-21,2014,14,singapore,marussia,Marussia,16,60,22,923.59799,924.818284,1.220294,0.285714,0.261308,50.0
2014-10-05,2014,15,japan,marussia,Marussia,20,41,22,924.818284,916.459886,-8.358398,0.095238,0.262406,50.0
