date,year,round,grandPrixId,constructorId,constructorName,positionRaw,laps,nParticipants,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed
2010-03-14,2010,1,bahrain,hrt,HRT,DNF,1,24,1000.0,981.106592,-18.893408,0.0,0.377868,50.0
2010-03-28,2010,2,australia,hrt,HRT,14,53,24,981.106592,985.113019,4.006427,0.434783,0.354654,50.0
2010-04-04,2010,3,malaysia,hrt,HRT,15,53,24,985.113019,986.659231,1.546211,0.391304,0.36038,50.0
2010-04-18,2010,4,china,hrt,HRT,17,52,24,986.659231,983.772308,-2.886923,0.304348,0.362086,50.0
2010-05-09,2010,5,spain,hrt,HRT,DNF,27,24,983.772308,972.321928,-11.45038,0.130435,0.359442,50.0
2010-05-16,2010,6,monaco,hrt,HRT,14,70,24,972.321928,976.763722,4.441794,0.434783,0.345947,50.0
2010-05-30,2010,7,turkey,hrt,HRT,20,52,24,976.763722,967.881269,-8.882454,0.173913,0.351562,50.0
2010-06-13,2010,8,canada,hrt,HRT,18,66,24,967.881269,963.868924,-4.012345,0.26087,0.341116,50.0
2010-06-27,2010,9,europe,hrt,HRT,18,55,24,963.868924,960.058894,-3.81003,0.26087,0.33707,50.0
2010-07-11,2010,10,great-britain,hrt,HRT,19,50,24,960.058894,954.212719,-5.846175,0.217391,0.334315,50.0
2011-07-24,2011,10,germany,lotus-racing,Lotus Racing,20,56,24,954.212719,947.051646,-7.161072,0.173913,0.317134,50.0
