date,year,round,grandPrixId,positionRaw,laps,nParticipants,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed
1978-03-04,1978,3,south-africa,DNF,15,30,1500.0,1495.386333,-4.613667,0.241379,0.433615,24.0
1978-04-02,1978,4,united-states-west,DNPQ,,30,1495.386333,1489.721142,-5.665191,0.189655,0.425705,24.0
1978-05-07,1978,5,monaco,DNPQ,,30,1489.721142,1485.174373,-4.546769,0.224138,0.413587,24.0
1978-05-21,1978,6,belgium,DNQ,,32,1485.174373,1476.397397,-8.776976,0.048387,0.414094,24.0
1978-06-04,1978,7,spain,DNPQ,,29,1476.397397,1470.361451,-6.035946,0.142857,0.394355,24.0
1978-06-17,1978,8,sweden,15,63,27,1470.361451,1472.394302,2.032851,0.461538,0.376836,24.0
1978-07-02,1978,9,france,16,52,29,1472.394302,1474.230223,1.835921,0.464286,0.387789,24.0
1978-07-16,1978,10,great-britain,DNF,59,30,1474.230223,1479.652405,5.422182,0.62069,0.394765,24.0
1978-07-30,1978,11,germany,10,42,30,1479.652405,1486.630965,6.97856,0.689655,0.398882,24.0
1978-08-13,1978,12,austria,NC,49,31,1486.630965,1492.730429,6.099465,0.666667,0.412522,24.0
1978-08-27,1978,13,netherlands,DNF,21,33,1492.730429,1493.025132,0.294703,0.4375,0.425221,24.0
1978-09-10,1978,14,italy,DNPQ,,31,1493.025132,1486.493133,-6.531999,0.15,0.422167,24.0
1978-10-01,1978,15,united-states,DNF,21,27,1486.493133,1479.399841,-7.093291,0.115385,0.410938,24.0
1978-10-08,1978,16,canada,NC,58,28,1479.399841,1483.117111,3.717269,0.555556,0.400669,24.0
1979-07-01,1979,8,france,9,79,27,1483.117111,1490.06608,6.948969,0.692308,0.402767,24.0
1979-07-14,1979,9,great-britain,DNF,44,26,1490.06608,1489.33679,-0.72929,0.38,0.410387,24.0
1979-07-29,1979,10,germany,DNF,29,26,1489.33679,1489.987771,0.650981,0.44,0.412876,24.0
1979-08-12,1979,11,austria,DNF,15,26,1489.987771,1485.294505,-4.693266,0.22,0.415553,24.0
1979-08-26,1979,12,netherlands,DNF,33,26,1485.294505,1489.985686,4.691181,0.6,0.404534,24.0
1979-09-09,1979,13,italy,DNF,41,28,1489.985686,1491.185252,1.199566,0.462963,0.412981,24.0
1979-09-30,1979,14,canada,DNQ,,29,1491.185252,1482.661832,-8.52342,0.071429,0.426571,24.0
1979-10-07,1979,15,united-states,DNF,20,30,1482.661832,1483.019852,0.35802,0.431034,0.416117,24.0
1980-01-13,1980,1,argentina,3,53,28,1483.019852,1495.72877,12.708918,0.925926,0.396388,24.0
1980-01-27,1980,2,brazil,9,39,28,1495.72877,1502.679608,6.950838,0.703704,0.414085,24.0
1980-03-01,1980,3,south-africa,DNF,58,28,1502.679608,1502.313438,-0.366171,0.407407,0.422665,24.0
1980-03-30,1980,4,united-states-west,DNF,58,27,1502.313438,1507.033528,4.720091,0.615385,0.418714,24.0
1980-05-04,1980,5,belgium,7,71,27,1507.033528,1515.189182,8.155654,0.769231,0.429412,24.0
1980-05-18,1980,6,monaco,DNQ,,27,1515.189182,1507.370619,-7.818563,0.115385,0.441158,24.0
1980-06-29,1980,7,france,DNF,8,27,1507.370619,1503.971323,-3.399295,0.288462,0.430099,24.0
1980-07-13,1980,8,great-britain,DNQ,,27,1503.971323,1494.654582,-9.316741,0.038462,0.426659,24.0
1980-08-10,1980,9,germany,DNF,8,26,1494.654582,1487.516509,-7.138073,0.12,0.41742,24.0
1980-08-17,1980,10,austria,16,52,26,1487.516509,1487.381976,-0.134533,0.4,0.405606,24.0
1980-08-31,1980,11,netherlands,DNQ,,29,1487.381976,1479.588127,-7.793849,0.089286,0.414029,24.0
1980-09-14,1980,12,italy,5,59,28,1479.588127,1490.361707,10.773579,0.851852,0.402953,24.0
1980-09-28,1980,13,canada,9,68,28,1490.361707,1497.326761,6.965054,0.703704,0.413493,24.0
1980-10-05,1980,14,united-states,10,57,27,1497.326761,1502.888301,5.56154,0.653846,0.422115,24.0
1981-03-15,1981,1,united-states-west,DNF,41,29,1502.888301,1504.661091,1.77279,0.517857,0.443991,24.0
1981-03-29,1981,2,brazil,9,61,31,1504.661091,1511.466368,6.805277,0.733333,0.44978,24.0
1981-04-12,1981,3,argentina,DNF,4,29,1511.466368,1507.299227,-4.167141,0.285714,0.459345,24.0
1981-05-03,1981,4,san-marino,DNF,14,30,1507.299227,1503.711476,-3.587751,0.310345,0.459834,24.0
1981-05-17,1981,5,belgium,DNF,10,31,1503.711476,1501.306389,-2.405087,0.35,0.450212,24.0
1981-05-31,1981,6,monaco,DNQ,,31,1501.306389,1492.581878,-8.724511,0.083333,0.446855,24.0
1981-06-21,1981,7,spain,12,78,30,1492.581878,1497.045087,4.463209,0.62069,0.434723,24.0
1981-07-05,1981,8,france,DNF,11,29,1497.045087,1492.592049,-4.453038,0.25,0.435543,24.0
1981-07-18,1981,9,great-britain,DNF,56,30,1492.592049,1496.403915,3.811866,0.586207,0.427379,24.0
1981-08-02,1981,10,germany,DNQ,,30,1496.403915,1488.088213,-8.315702,0.086207,0.432694,24.0
1981-08-30,1981,12,netherlands,DNQ,,30,1488.088213,1480.458066,-7.630147,0.103448,0.421371,24.0
1981-09-13,1981,13,italy,DNQ,,30,1480.458066,1472.670385,-7.787681,0.086207,0.410694,24.0
1981-09-27,1981,14,canada,DNQ,,30,1472.670385,1465.162777,-7.507609,0.086207,0.399024,24.0
1981-10-17,1981,15,caesars-palace,10,73,30,1465.162777,1472.380064,7.217288,0.689655,0.388935,24.0
1982-01-23,1982,1,south-africa,5,77,30,1472.380064,1483.398783,11.018719,0.862069,0.402956,24.0
1982-03-21,1982,2,brazil,DSQ,63,31,1483.398783,1476.916915,-6.481868,0.15,0.420078,24.0
1982-04-04,1982,3,united-states-west,2,75,31,1476.916915,1490.150238,13.233323,0.966667,0.415278,24.0
1982-05-09,1982,5,belgium,2,70,32,1490.150238,1502.732643,12.582405,0.967742,0.443475,24.0
1982-05-23,1982,6,monaco,DNF,64,31,1502.732643,1507.596237,4.863594,0.666667,0.464017,24.0
1982-06-06,1982,7,detroit,4,62,29,1507.596237,1517.93575,10.339513,0.892857,0.462044,24.0
1982-06-13,1982,8,canada,DNF,52,29,1517.93575,1520.249676,2.313926,0.571429,0.475015,24.0
1982-07-03,1982,9,netherlands,3,72,31,1520.249676,1530.972209,10.722533,0.933333,0.486561,24.0
1982-07-18,1982,10,great-britain,DNF,50,30,1530.972209,1532.335953,1.363745,0.551724,0.494901,24.0
1982-07-25,1982,11,france,5,54,30,1532.335953,1541.016086,8.680132,0.862069,0.500397,24.0
1982-08-08,1982,12,germany,3,44,30,1541.016086,1551.1127,10.096615,0.931034,0.510342,24.0
1982-08-15,1982,13,austria,2,53,29,1551.1127,1561.546197,10.433496,0.964286,0.529557,24.0
1982-08-29,1982,14,switzerland,1,80,29,1561.546197,1572.477115,10.930918,1.0,0.544545,24.0
1982-09-12,1982,15,italy,8,50,30,1572.477115,1577.320297,4.843182,0.758621,0.556821,24.0
1982-09-25,1982,16,caesars-palace,5,75,30,1577.320297,1584.484967,7.16467,0.862069,0.563541,24.0
1983-03-13,1983,1,brazil,DSQ,63,28,1584.484967,1572.614731,-11.870236,0.074074,0.568667,24.0
1983-03-27,1983,2,united-states-west,DNF,25,28,1572.614731,1564.131268,-8.483464,0.185185,0.538663,24.0
1983-04-17,1983,3,france,5,53,29,1564.131268,1571.712484,7.581217,0.857143,0.541259,24.0
1983-05-01,1983,4,san-marino,4,59,28,1571.712484,1579.855185,8.1427,0.888889,0.54961,24.0
1983-05-15,1983,5,monaco,1,76,28,1579.855185,1590.387135,10.53195,1.0,0.561169,24.0
1983-05-22,1983,6,belgium,5,40,28,1590.387135,1597.042433,6.655298,0.851852,0.574548,24.0
