date,year,round,grandPrixId,positionRaw,laps,nParticipants,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed
2017-03-26,2017,1,australia,DNF,40,20,1500.0,1496.294173,-3.705827,0.210526,0.364936,24.0
2017-04-09,2017,2,china,DNF,0,20,1496.294173,1487.643436,-8.650737,0.0,0.360447,24.0
2017-04-16,2017,3,bahrain,DNF,12,20,1487.643436,1483.580168,-4.063267,0.184211,0.353513,24.0
2017-04-30,2017,4,russia,11,51,20,1483.580168,1486.575248,2.995079,0.473684,0.348889,24.0
2017-05-14,2017,5,spain,16,64,20,1486.575248,1483.158369,-3.416879,0.210526,0.352896,24.0
2017-05-28,2017,6,monaco,15,71,20,1483.158369,1481.061003,-2.097366,0.263158,0.350548,24.0
2017-06-11,2017,7,canada,9,69,20,1481.061003,1486.667265,5.606262,0.578947,0.345353,24.0
2017-06-25,2017,8,azerbaijan,3,51,20,1486.667265,1499.674981,13.007716,0.894737,0.352749,24.0
2017-07-09,2017,9,austria,10,70,20,1499.674981,1503.445513,3.770532,0.526316,0.36921,24.0
2017-07-16,2017,10,great-britain,16,50,20,1503.445513,1499.509874,-3.935639,0.210526,0.374511,24.0
2017-07-30,2017,11,hungary,14,69,20,1499.509874,1498.12021,-1.389664,0.315789,0.373692,24.0
2017-08-27,2017,12,belgium,11,44,20,1498.12021,1500.668733,2.548523,0.473684,0.367496,24.0
2017-09-03,2017,13,italy,7,53,20,1500.668733,1508.18107,7.512337,0.684211,0.371197,24.0
2017-09-17,2017,14,singapore,8,58,20,1508.18107,1514.183022,6.001952,0.631579,0.381498,24.0
2017-10-01,2017,15,malaysia,8,55,20,1514.183022,1519.988613,5.805591,0.631579,0.389679,24.0
2017-10-08,2017,16,japan,DNF,45,20,1519.988613,1515.504124,-4.484489,0.210526,0.39738,24.0
2017-10-22,2017,17,united-states,11,55,20,1515.504124,1517.571664,2.06754,0.473684,0.387537,24.0
2017-10-29,2017,18,mexico,6,70,20,1517.571664,1525.85323,8.281566,0.736842,0.391777,24.0
2017-11-12,2017,19,brazil,16,69,20,1525.85323,1521.249563,-4.603667,0.210526,0.402346,24.0
2017-11-26,2017,20,abu-dhabi,18,54,20,1521.249563,1514.251537,-6.998027,0.105263,0.396848,24.0
2018-03-25,2018,1,australia,14,58,20,1514.251537,1512.413589,-1.837948,0.315789,0.392371,24.0
2018-04-08,2018,2,bahrain,14,56,20,1512.413589,1510.621993,-1.791596,0.315789,0.390439,24.0
2018-04-15,2018,3,china,14,56,20,1510.621993,1508.898514,-1.723479,0.315789,0.387601,24.0
2018-04-29,2018,4,azerbaijan,8,51,20,1508.898514,1514.80057,5.902056,0.631579,0.38566,24.0
2018-05-13,2018,5,spain,11,64,20,1514.80057,1516.731458,1.930889,0.473684,0.393231,24.0
2018-05-27,2018,6,monaco,17,76,20,1516.731458,1511.017028,-5.71443,0.157895,0.395996,24.0
2018-06-10,2018,7,canada,DNF,0,20,1511.017028,1502.313633,-8.703395,0.026316,0.388957,24.0
2018-06-24,2018,8,france,17,48,20,1502.313633,1497.029474,-5.284159,0.157895,0.378068,24.0
2018-07-01,2018,9,austria,14,69,20,1497.029474,1495.689948,-1.339526,0.315789,0.371603,24.0
2018-07-08,2018,10,great-britain,12,52,20,1495.689948,1496.947122,1.257174,0.421053,0.36867,24.0
2018-07-22,2018,11,germany,DNF,53,20,1496.947122,1491.837322,-5.1098,0.157895,0.370803,24.0
2018-07-29,2018,12,hungary,17,68,20,1491.837322,1486.895946,-4.941376,0.157895,0.363785,24.0
2018-08-26,2018,13,belgium,13,43,20,1486.895946,1487.149545,0.253599,0.368421,0.357854,24.0
2018-09-02,2018,14,italy,9,52,20,1487.149545,1492.448629,5.299084,0.578947,0.358152,24.0
2018-09-16,2018,15,singapore,14,60,20,1492.448629,1491.259015,-1.189614,0.315789,0.365357,24.0
2018-09-30,2018,16,russia,15,52,20,1491.259015,1488.830759,-2.428255,0.263158,0.364335,24.0
2018-10-07,2018,17,japan,17,52,20,1488.830759,1483.934212,-4.896547,0.157895,0.361918,24.0
2018-10-21,2018,18,united-states,14,54,20,1483.934212,1482.961131,-0.973081,0.315789,0.356335,24.0
2018-10-28,2018,19,mexico,12,69,20,1482.961131,1484.536298,1.575167,0.421053,0.355421,24.0
2018-11-11,2018,20,brazil,18,69,20,1484.536298,1478.481511,-6.054787,0.105263,0.357546,24.0
2018-11-25,2018,21,abu-dhabi,13,54,20,1478.481511,1478.912808,0.431298,0.368421,0.35045,24.0
2019-03-17,2019,1,australia,9,57,20,1478.912808,1484.76758,5.854772,0.578947,0.334999,24.0
2019-03-31,2019,2,bahrain,14,56,20,1484.76758,1484.129201,-0.638379,0.315789,0.342389,24.0
2019-04-14,2019,3,china,12,55,20,1484.129201,1486.032622,1.903421,0.421053,0.341743,24.0
2019-04-28,2019,4,azerbaijan,9,51,20,1486.032622,1491.656427,5.623805,0.578947,0.344622,24.0
2019-05-12,2019,5,spain,DNF,44,20,1491.656427,1483.84039,-7.816038,0.026316,0.351984,24.0
2019-05-26,2019,6,monaco,16,77,20,1483.84039,1480.678695,-3.161695,0.210526,0.342264,24.0
2019-06-09,2019,7,canada,9,69,20,1480.678695,1486.450731,5.772036,0.578947,0.338446,24.0
2019-06-23,2019,8,france,13,52,20,1486.450731,1486.98977,0.539039,0.368421,0.345961,24.0
2019-06-30,2019,9,austria,14,70,20,1486.98977,1486.238685,-0.751085,0.315789,0.347085,24.0
2019-07-14,2019,10,great-britain,13,52,20,1486.238685,1486.768357,0.529672,0.368421,0.346351,24.0
2019-07-28,2019,11,germany,4,64,20,1486.768357,1498.655423,11.887066,0.842105,0.346811,24.0
2019-08-04,2019,12,hungary,17,68,20,1498.655423,1493.781295,-4.874129,0.157895,0.360983,24.0
2019-09-01,2019,13,belgium,10,44,20,1493.781295,1497.8895,4.108206,0.526316,0.355141,24.0
2019-09-08,2019,14,italy,12,52,20,1497.8895,1499.357653,1.468153,0.421053,0.35988,24.0
2019-09-22,2019,15,singapore,13,61,20,1499.357653,1499.525756,0.168102,0.368421,0.361417,24.0
2019-09-29,2019,16,russia,11,53,20,1499.525756,1502.212806,2.68705,0.473684,0.361724,24.0
2019-10-13,2019,17,japan,9,51,20,1502.212806,1507.351574,5.138768,0.578947,0.364832,24.0
2019-10-27,2019,18,mexico,12,70,20,1507.351574,1508.54301,1.191436,0.421053,0.371409,24.0
2019-11-03,2019,19,united-states,13,55,20,1508.54301,1508.423987,-0.119023,0.368421,0.37338,24.0
2019-11-17,2019,20,brazil,19,65,20,1508.423987,1500.735487,-7.6885,0.052632,0.372986,24.0
2019-12-01,2019,21,abu-dhabi,DNF,45,20,1500.735487,1492.054273,-8.681214,0.0,0.361717,24.0
2020-07-05,2020,1,austria,DNF,20,20,1492.054273,1486.160827,-5.893446,0.105263,0.350823,24.0
