date,year,round,grandPrixId,careerRaceNumber,constructorId,constructorName,positionRaw,laps,nParticipants,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed
1950-05-13,1950,1,great-britain,1,maserati,Maserati,DNF,24,23,1000.0,984.090909,-15.909091,0.181818,0.5,50.0
1950-05-21,1950,2,monaco,2,maserati,Maserati,3,98,21,984.090909,1005.502845,21.411936,0.9,0.471761,50.0
1950-06-04,1950,4,switzerland,4,maserati,Maserati,9,39,18,1005.502845,1007.006415,1.503571,0.529412,0.49934,50.0
1950-07-02,1950,6,france,6,maserati,Maserati,DNF,7,19,1007.006415,991.668036,-15.338379,0.194444,0.501212,50.0
1950-09-03,1950,7,italy,7,maserati,Maserati,DNF,13,27,991.668036,978.332863,-13.335173,0.211538,0.478242,50.0
1951-05-27,1951,1,switzerland,8,maserati,Maserati,7,40,21,978.332863,990.424528,12.091665,0.7,0.458167,50.0
1951-06-17,1951,3,belgium,10,talbot-lago,Talbot-Lago,DNF,28,13,990.424528,979.916782,-10.507746,0.25,0.460155,50.0
1951-07-01,1951,4,france,11,talbot-lago,Talbot-Lago,6,71,23,979.916782,991.254658,11.337876,0.681818,0.455061,50.0
1951-07-14,1951,5,great-britain,12,talbot-lago,Talbot-Lago,DNF,41,20,991.254658,970.570979,-20.68368,0.052632,0.466305,50.0
1951-07-29,1951,6,germany,13,talbot-lago,Talbot-Lago,DNF,3,23,970.570979,953.846036,-16.724942,0.113636,0.448135,50.0
1951-09-16,1951,7,italy,14,talbot-lago,Talbot-Lago,DNF,23,24,953.846036,954.798149,0.952113,0.434783,0.41574,50.0
1951-10-28,1951,8,spain,15,talbot-lago,Talbot-Lago,DNF,4,20,954.798149,939.626351,-15.171798,0.105263,0.408699,50.0
1953-07-05,1953,5,france,28,osca,O.S.C.A.,15,43,25,939.626351,941.375173,1.748822,0.416667,0.38169,50.0
1953-07-18,1953,6,great-britain,29,osca,O.S.C.A.,DNS,,29,941.375173,922.026835,-19.348338,0.0,0.386967,50.0
1953-08-23,1953,8,switzerland,31,osca,O.S.C.A.,DNS,,23,922.026835,906.818193,-15.208642,0.045455,0.349627,50.0
1953-09-13,1953,9,italy,32,osca,O.S.C.A.,10,72,31,906.818193,922.675601,15.857408,0.666667,0.349519,50.0
1955-05-22,1955,2,monaco,43,lancia,Lancia,6,95,24,922.675601,942.243101,19.5675,0.73913,0.34778,50.0
1956-05-13,1956,2,monaco,50,maserati,Maserati,DNS,,19,942.243101,925.809432,-16.43367,0.055556,0.384229,50.0
1958-05-18,1958,2,monaco,66,maserati,Maserati,DNQ,,30,925.809432,917.852168,-7.957264,0.224138,0.383283,50.0
