date,year,round,grandPrixId,positionRaw,laps,nParticipants,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed
1959-05-10,1959,1,monaco,DNQ,,24,1500.0,1491.920933,-8.079067,0.152174,0.488802,24.0
1960-06-19,1960,5,belgium,6,28,19,1491.920933,1498.09327,6.172337,0.722222,0.465042,24.0
1960-07-03,1960,6,france,DNF,18,23,1498.09327,1496.411915,-1.681355,0.409091,0.479147,24.0
1960-07-16,1960,7,great-britain,DNF,60,25,1496.411915,1491.881881,-4.530034,0.291667,0.480418,24.0
1961-05-14,1961,1,monaco,DNQ,,21,1491.881881,1484.117564,-7.764317,0.125,0.448513,24.0
1961-06-18,1961,3,belgium,DNF,9,26,1484.117564,1480.131838,-3.985726,0.28,0.446072,24.0
1961-07-02,1961,4,france,DNF,21,28,1480.131838,1477.434058,-2.697779,0.333333,0.445741,24.0
1961-07-15,1961,5,great-britain,DNF,45,30,1477.434058,1475.81802,-1.616038,0.37931,0.446645,24.0
1962-06-17,1962,3,belgium,9,29,20,1475.81802,1479.405103,3.587083,0.578947,0.429486,24.0
1962-08-05,1962,6,germany,16,14,30,1479.405103,1480.207797,0.802694,0.482759,0.449313,24.0
1963-06-09,1963,2,belgium,DNF,17,20,1480.207797,1482.034111,1.826313,0.5,0.423904,24.0
1965-06-13,1965,3,belgium,12,29,21,1482.034111,1482.892181,0.85807,0.45,0.414247,24.0
1968-05-26,1968,3,monaco,3,76,18,1482.892181,1493.899005,11.006824,0.882353,0.423735,24.0
1968-06-09,1968,4,belgium,6,26,18,1493.899005,1500.306017,6.407012,0.705882,0.438924,24.0
1968-06-23,1968,5,netherlands,DNF,9,19,1500.306017,1489.546358,-10.759659,0.0,0.448319,24.0
1968-08-04,1968,8,germany,DNF,6,21,1489.546358,1483.28117,-6.265188,0.175,0.43605,24.0
1968-09-22,1968,10,canada,NC,56,22,1483.28117,1486.743518,3.462349,0.571429,0.427164,24.0
1968-10-06,1968,11,united-states,NC,88,21,1486.743518,1490.741665,3.998147,0.6,0.433411,24.0
1968-11-03,1968,12,mexico,DNF,21,21,1490.741665,1488.712233,-2.029432,0.35,0.43456,24.0
