date,year,round,grandPrixId,positionRaw,laps,nParticipants,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed
1980-09-14,1980,12,italy,DNQ,,28,1500.0,1490.979322,-9.020678,0.055556,0.431417,24.0
1982-01-23,1982,1,south-africa,10,75,30,1490.979322,1497.240524,6.261202,0.689655,0.428772,24.0
1982-03-21,1982,2,brazil,5,62,31,1497.240524,1507.493899,10.253375,0.866667,0.439443,24.0
1982-04-04,1982,3,united-states-west,DNF,1,31,1507.493899,1501.291428,-6.202471,0.2,0.458436,24.0
1982-04-25,1982,4,san-marino,DSQ,54,14,1501.291428,1490.014923,-11.276506,0.0,0.469854,24.0
1982-05-09,1982,5,belgium,DNF,0,32,1490.014923,1485.569653,-4.445269,0.258065,0.443284,24.0
1982-05-23,1982,6,monaco,DNF,31,31,1485.569653,1487.817427,2.247774,0.533333,0.439676,24.0
1982-06-06,1982,7,detroit,DNF,1,29,1487.817427,1482.546162,-5.271265,0.214286,0.433922,24.0
1982-06-13,1982,8,canada,DNQ,,29,1482.546162,1473.212596,-9.333566,0.035714,0.424613,24.0
1982-07-03,1982,9,netherlands,12,70,31,1473.212596,1478.33365,5.121054,0.633333,0.419956,24.0
1982-07-18,1982,10,great-britain,DNQ,,30,1478.33365,1469.492406,-8.841244,0.051724,0.420109,24.0
1982-07-25,1982,11,france,11,52,30,1469.492406,1475.342622,5.850216,0.655172,0.411413,24.0
1982-08-08,1982,12,germany,DNF,3,30,1475.342622,1469.890399,-5.452223,0.189655,0.416831,24.0
1982-08-15,1982,13,austria,DNF,15,29,1469.890399,1469.399014,-0.491385,0.392857,0.413332,24.0
1982-08-29,1982,14,switzerland,DNF,55,29,1469.399014,1468.919646,-0.479368,0.392857,0.412831,24.0
1982-09-12,1982,15,italy,DNQ,,30,1468.919646,1460.335806,-8.58384,0.051724,0.409384,24.0
1982-09-25,1982,16,caesars-palace,NC,62,30,1460.335806,1464.037366,3.701559,0.551724,0.397492,24.0
1983-03-13,1983,1,brazil,15,59,28,1464.037366,1466.96805,2.930684,0.518519,0.396407,24.0
1983-03-27,1983,2,united-states-west,DNF,3,28,1466.96805,1459.423435,-7.544615,0.074074,0.388433,24.0
1983-04-17,1983,3,france,DNF,36,29,1459.423435,1461.589947,2.166512,0.482143,0.391872,24.0
1983-05-01,1983,4,san-marino,11,57,28,1461.589947,1467.280525,5.690577,0.62963,0.392522,24.0
1983-05-15,1983,5,monaco,DNF,3,28,1467.280525,1467.001104,-0.279421,0.388889,0.400531,24.0
1983-05-22,1983,6,belgium,DNF,18,28,1467.001104,1463.660063,-3.341041,0.259259,0.398469,24.0
1983-06-05,1983,7,detroit,DNF,26,27,1463.660063,1460.802369,-2.857694,0.269231,0.388301,24.0
1983-06-12,1983,8,canada,9,67,28,1460.802369,1468.388376,7.586007,0.703704,0.38762,24.0
1983-07-16,1983,9,great-britain,DNF,49,29,1468.388376,1468.225284,-0.163092,0.392857,0.399653,24.0
1983-08-07,1983,10,germany,DNQ,,29,1468.225284,1459.489973,-8.735311,0.035714,0.399686,24.0
1983-08-14,1983,11,austria,DNF,33,29,1459.489973,1463.040333,3.55036,0.535714,0.387783,24.0
1983-08-28,1983,12,netherlands,DSQ,50,29,1463.040333,1456.183809,-6.856523,0.107143,0.392831,24.0
1983-09-11,1983,13,italy,DNF,35,29,1456.183809,1457.267862,1.084052,0.428571,0.383403,24.0
1983-09-25,1983,14,europe,8,75,29,1457.267862,1466.049941,8.782079,0.75,0.38408,24.0
1983-10-15,1983,15,south-africa,DNF,1,26,1466.049941,1458.696409,-7.353533,0.08,0.386397,24.0
1984-03-25,1984,1,brazil,EX,,27,1458.696409,1451.296988,-7.399421,0.076923,0.385232,24.0
1984-04-07,1984,2,south-africa,DNF,53,27,1451.296988,1453.367939,2.070952,0.461538,0.375249,24.0
1984-04-29,1984,3,belgium,DNF,39,27,1453.367939,1456.295089,2.92715,0.5,0.378035,24.0
1984-05-06,1984,4,san-marino,DNF,31,28,1456.295089,1457.743203,1.448113,0.444444,0.384106,24.0
1984-05-20,1984,5,france,DNF,5,27,1457.743203,1452.215811,-5.527391,0.153846,0.384154,24.0
1984-06-03,1984,6,monaco,DNF,22,27,1452.215811,1457.944619,5.728807,0.615385,0.376684,24.0
1984-06-17,1984,7,canada,8,68,27,1457.944619,1466.198081,8.253462,0.730769,0.386875,24.0
1984-06-24,1984,8,detroit,DNF,0,27,1466.198081,1459.908337,-6.289744,0.134615,0.396688,24.0
1984-07-08,1984,9,dallas,8,64,27,1459.908337,1468.118874,8.210537,0.730769,0.388664,24.0
