date,year,round,grandPrixId,positionRaw,laps,nParticipants,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed
1979-09-09,1979,13,italy,DNQ,,28,1500.0,1491.08527,-8.91473,0.055556,0.427003,24.0
1979-09-30,1979,14,canada,DNQ,,29,1491.08527,1482.565207,-8.520063,0.071429,0.426431,24.0
1979-10-07,1979,15,united-states,DNF,32,30,1482.565207,1486.650584,4.085378,0.586207,0.415983,24.0
1980-01-13,1980,1,argentina,DNF,27,28,1486.650584,1489.016106,2.365521,0.5,0.401437,24.0
1980-01-27,1980,2,brazil,7,39,28,1489.016106,1497.970517,8.954411,0.777778,0.404677,24.0
1980-03-01,1980,3,south-africa,DNS,,28,1497.970517,1488.430764,-9.539753,0.018519,0.416008,24.0
1980-06-29,1980,7,france,DNF,26,27,1488.430764,1488.901461,0.470697,0.423077,0.403465,24.0
1980-07-13,1980,8,great-britain,DNF,59,27,1488.901461,1489.32167,0.420208,0.423077,0.405568,24.0
1980-08-10,1980,9,germany,12,44,26,1489.32167,1492.922515,3.600845,0.56,0.409965,24.0
1980-08-17,1980,10,austria,12,53,26,1492.922515,1496.447209,3.524694,0.56,0.413138,24.0
1980-08-31,1980,11,netherlands,10,69,29,1496.447209,1502.49167,6.044461,0.678571,0.426719,24.0
1980-09-14,1980,12,italy,DNF,45,28,1502.49167,1503.609086,1.117416,0.481481,0.434922,24.0
1980-09-28,1980,13,canada,DNQ,,28,1503.609086,1494.573152,-9.035933,0.055556,0.432053,24.0
1980-10-05,1980,14,united-states,8,57,27,1494.573152,1502.07317,7.500018,0.730769,0.418268,24.0
1981-03-15,1981,1,united-states-west,DNF,70,29,1502.07317,1508.588011,6.51484,0.714286,0.442834,24.0
1981-03-29,1981,2,brazil,4,62,31,1508.588011,1519.259198,10.671187,0.9,0.455367,24.0
1981-04-12,1981,3,argentina,DNF,14,29,1519.259198,1515.682479,-3.576719,0.321429,0.470459,24.0
1981-05-03,1981,4,san-marino,9,59,30,1515.682479,1521.739614,6.057135,0.724138,0.471757,24.0
1981-05-17,1981,5,belgium,11,52,31,1521.739614,1526.3189,4.579286,0.666667,0.475863,24.0
1981-05-31,1981,6,monaco,6,74,31,1526.3189,1534.740534,8.421634,0.833333,0.482432,24.0
