date,year,round,grandPrixId,positionRaw,laps,nParticipants,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed
1991-03-10,1991,1,united-states,DNF,32,34,1500.0,1498.135099,-1.864901,0.363636,0.441341,24.0
1991-03-24,1991,2,brazil,DNF,34,34,1498.135099,1499.963812,1.828714,0.515152,0.438955,24.0
1991-04-28,1991,3,san-marino,8,58,34,1499.963812,1508.307975,8.344163,0.787879,0.440205,24.0
1991-05-12,1991,4,monaco,DNF,41,34,1508.307975,1509.113892,0.805916,0.484848,0.451269,24.0
1991-06-02,1991,5,canada,DNQ,,34,1509.113892,1499.394488,-9.719404,0.045455,0.45043,24.0
1991-06-16,1991,6,mexico,DNF,54,34,1499.394488,1504.183902,4.789414,0.636364,0.436805,24.0
1991-07-07,1991,7,france,DNF,36,34,1504.183902,1505.181143,0.997241,0.484848,0.443297,24.0
1991-07-14,1991,8,great-britain,DNF,52,34,1505.181143,1508.322133,3.14099,0.575758,0.444883,24.0
1991-07-28,1991,9,germany,12,43,34,1508.322133,1513.586197,5.264064,0.666667,0.447331,24.0
1991-08-11,1991,10,hungary,DNF,62,34,1513.586197,1513.583886,-0.002311,0.454545,0.454642,24.0
1991-08-25,1991,11,belgium,6,44,34,1513.583886,1523.110776,9.52689,0.848485,0.451531,24.0
1991-09-08,1991,12,italy,12,52,34,1523.110776,1527.909576,4.7988,0.666667,0.466717,24.0
1991-09-22,1991,13,portugal,DNF,12,34,1527.909576,1523.878879,-4.030697,0.30303,0.470976,24.0
1991-09-29,1991,14,spain,DNF,49,33,1523.878879,1524.031036,0.152157,0.46875,0.46241,24.0
1991-10-20,1991,15,japan,DNPQ,,32,1524.031036,1516.63935,-7.391686,0.145161,0.453148,24.0
1991-11-03,1991,16,australia,17,13,32,1516.63935,1517.317847,0.678497,0.483871,0.4556,24.0
1993-03-14,1993,1,south-africa,3,71,26,1517.317847,1528.880234,11.562386,0.92,0.438234,24.0
1993-03-28,1993,2,brazil,5,71,26,1528.880234,1538.128994,9.24876,0.84,0.454635,24.0
1993-04-11,1993,3,europe,DNF,20,26,1538.128994,1533.780894,-4.3481,0.28,0.461171,24.0
1993-04-25,1993,4,san-marino,DNF,0,26,1533.780894,1524.29631,-9.484584,0.06,0.455191,24.0
1993-05-09,1993,5,spain,7,63,26,1524.29631,1531.93676,7.64045,0.76,0.441648,24.0
1993-05-23,1993,6,monaco,DNF,3,26,1531.93676,1522.032187,-9.904573,0.04,0.452691,24.0
1993-06-13,1993,7,canada,DNF,13,26,1522.032187,1514.381683,-7.650504,0.12,0.438771,24.0
1993-07-04,1993,8,france,DNF,20,26,1514.381683,1508.911685,-5.469998,0.2,0.427917,24.0
1993-07-11,1993,9,great-britain,7,58,26,1508.911685,1517.231781,8.320096,0.76,0.413329,24.0
1993-07-25,1993,10,germany,3,45,26,1517.231781,1529.107177,11.875396,0.92,0.425192,24.0
1993-08-15,1993,11,hungary,7,76,26,1529.107177,1536.733955,7.626778,0.76,0.442218,24.0
1993-08-29,1993,12,belgium,11,42,26,1536.733955,1540.270023,3.536068,0.6,0.452664,24.0
1993-09-12,1993,13,italy,DNF,20,26,1540.270023,1537.811341,-2.458682,0.36,0.462445,24.0
1993-09-26,1993,14,portugal,DNF,51,26,1537.811341,1533.637079,-4.174262,0.28,0.453928,24.0
1993-10-24,1993,15,japan,7,52,24,1533.637079,1540.680859,7.04378,0.73913,0.44564,24.0
1993-11-07,1993,16,australia,9,77,24,1540.680859,1545.398134,4.717275,0.652174,0.455621,24.0
1994-03-27,1994,1,brazil,DNF,21,28,1545.398134,1541.573303,-3.82483,0.351852,0.51122,24.0
1994-04-17,1994,2,pacific,DNF,0,28,1541.573303,1531.901105,-9.672199,0.111111,0.514119,24.0
1994-05-01,1994,3,san-marino,9,56,28,1531.901105,1536.939164,5.038059,0.703704,0.493785,24.0
1994-05-15,1994,4,monaco,DNF,40,26,1536.939164,1533.595358,-3.343806,0.36,0.499325,24.0
1994-05-29,1994,5,spain,3,65,27,1533.595358,1543.702508,10.107151,0.923077,0.501946,24.0
1994-06-12,1994,6,canada,10,67,27,1543.702508,1547.074566,3.372058,0.653846,0.513344,24.0
1994-07-03,1994,7,france,10,67,28,1547.074566,1550.772471,3.697904,0.666667,0.512587,24.0
1994-07-10,1994,8,great-britain,DNF,20,28,1550.772471,1546.085204,-4.687267,0.333333,0.528636,24.0
1994-07-31,1994,9,germany,DNF,0,28,1546.085204,1539.787477,-6.297727,0.259259,0.521665,24.0
1994-08-14,1994,10,hungary,5,76,28,1539.787477,1547.943366,8.155889,0.851852,0.512023,24.0
1994-08-28,1994,11,belgium,5,43,28,1547.943366,1555.908613,7.965247,0.851852,0.519967,24.0
1994-09-11,1994,12,italy,DNF,39,28,1555.908613,1554.396403,-1.51221,0.481481,0.54449,24.0
1994-09-25,1994,13,portugal,DNF,61,28,1554.396403,1551.184734,-3.211669,0.407407,0.541227,24.0
1994-10-16,1994,14,europe,13,68,28,1551.184734,1552.072446,0.887712,0.555556,0.518568,24.0
1994-11-06,1994,15,japan,DNF,26,28,1552.072446,1552.028958,-0.043488,0.518519,0.520331,24.0
1994-11-13,1994,16,australia,DNF,66,28,1552.028958,1551.953493,-0.075465,0.518519,0.521663,24.0
1995-03-26,1995,1,brazil,6,70,26,1551.953493,1558.379231,6.425738,0.8,0.532261,24.0
