date,year,round,grandPrixId,positionRaw,laps,nParticipants,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed
1984-03-25,1984,1,brazil,DSQ,,27,1500.0,1489.81919,-10.18081,0.019231,0.443431,24.0
1984-04-07,1984,2,south-africa,DSQ,,27,1489.81919,1479.984452,-9.834738,0.019231,0.429012,24.0
1984-04-29,1984,3,belgium,DSQ,,27,1479.984452,1470.485341,-9.499111,0.019231,0.415027,24.0
1984-05-06,1984,4,san-marino,DSQ,,28,1470.485341,1461.239242,-9.2461,0.018519,0.403773,24.0
1984-05-20,1984,5,france,DSQ,,27,1461.239242,1452.365455,-8.873787,0.019231,0.388972,24.0
1984-06-03,1984,6,monaco,DSQ,,27,1452.365455,1443.781671,-8.583784,0.019231,0.376888,24.0
1984-06-17,1984,7,canada,DSQ,,27,1443.781671,1435.421342,-8.360329,0.019231,0.367578,24.0
1984-06-24,1984,8,detroit,DSQ,,27,1435.421342,1427.366339,-8.055003,0.019231,0.354856,24.0
1984-07-08,1984,9,dallas,DSQ,,27,1427.366339,1419.549986,-7.816353,0.019231,0.344912,24.0
1985-04-07,1985,1,brazil,8,58,25,1419.549986,1428.740169,9.190183,0.708333,0.325409,24.0
1985-04-21,1985,2,portugal,DNF,20,26,1428.740169,1428.907553,0.167384,0.36,0.353026,24.0
1985-05-05,1985,3,san-marino,9,56,26,1428.907553,1436.750249,7.842696,0.68,0.353221,24.0
1985-05-19,1985,4,monaco,10,74,26,1436.750249,1443.378529,6.62828,0.64,0.363822,24.0
1985-06-16,1985,5,canada,12,68,25,1443.378529,1447.608501,4.229972,0.541667,0.365418,24.0
1985-06-23,1985,6,detroit,DNF,30,25,1447.608501,1449.699452,2.090951,0.458333,0.37121,24.0
1985-07-07,1985,7,france,DNF,32,26,1449.699452,1450.249942,0.55049,0.4,0.377063,24.0
1985-07-21,1985,8,great-britain,7,63,26,1450.249942,1459.420636,9.170694,0.76,0.377888,24.0
1985-08-04,1985,9,germany,10,63,27,1459.420636,1465.743161,6.322525,0.653846,0.390408,24.0
1985-08-18,1985,10,austria,DNQ,,27,1465.743161,1457.056106,-8.687055,0.038462,0.400422,24.0
1985-08-25,1985,11,netherlands,7,69,27,1457.056106,1466.191597,9.13549,0.769231,0.388585,24.0
1985-09-08,1985,12,italy,8,50,26,1466.191597,1474.223206,8.03161,0.72,0.38535,24.0
1985-09-15,1985,13,belgium,13,38,25,1474.223206,1476.628637,2.405431,0.5,0.399774,24.0
1985-10-06,1985,14,europe,DNF,40,27,1476.628637,1475.392292,-1.236345,0.346154,0.397668,24.0
1985-10-19,1985,15,south-africa,7,73,21,1475.392292,1482.991248,7.598955,0.7,0.383377,24.0
1985-11-03,1985,16,australia,NC,49,25,1482.991248,1485.466033,2.474786,0.5,0.396884,24.0
1986-03-23,1986,1,brazil,5,60,25,1485.466033,1495.872106,10.406072,0.833333,0.399747,24.0
1986-04-13,1986,2,spain,DNF,41,25,1495.872106,1500.933568,5.061462,0.625,0.414106,24.0
1986-04-27,1986,3,san-marino,8,58,26,1500.933568,1508.030517,7.096949,0.72,0.424294,24.0
1986-05-11,1986,4,monaco,DNF,67,26,1508.030517,1509.604719,1.574202,0.5,0.434408,24.0
1986-05-25,1986,5,belgium,DNF,25,25,1509.604719,1508.535777,-1.068942,0.395833,0.440373,24.0
1986-06-15,1986,6,canada,9,67,25,1508.535777,1513.958035,5.422258,0.666667,0.440739,24.0
1986-06-22,1986,7,detroit,DNF,15,26,1513.958035,1507.851403,-6.106632,0.2,0.454443,24.0
1986-07-06,1986,8,france,10,77,26,1507.851403,1512.58319,4.731787,0.64,0.442842,24.0
1986-07-13,1986,9,great-britain,5,72,26,1512.58319,1521.950614,9.367424,0.84,0.449691,24.0
