date,year,round,grandPrixId,positionRaw,laps,nParticipants,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed
1982-01-23,1982,1,south-africa,DNQ,,30,1500.0,1490.647221,-9.352779,0.051724,0.441423,24.0
1982-03-21,1982,2,brazil,10,57,31,1490.647221,1497.122536,6.475315,0.7,0.430195,24.0
1982-04-04,1982,3,united-states-west,DNQ,,31,1497.122536,1487.673622,-9.448914,0.05,0.443705,24.0
1982-05-09,1982,5,belgium,DNF,51,32,1487.673622,1491.049541,3.375919,0.580645,0.439982,24.0
1982-05-23,1982,6,monaco,DNQ,,31,1491.049541,1482.311342,-8.738199,0.083333,0.447425,24.0
1982-06-06,1982,7,detroit,DNF,0,29,1482.311342,1475.940818,-6.370524,0.160714,0.426153,24.0
1982-06-13,1982,8,canada,8,68,29,1475.940818,1483.97291,8.032092,0.75,0.41533,24.0
1982-07-03,1982,9,netherlands,6,71,31,1483.97291,1493.531841,9.558931,0.833333,0.435045,24.0
1982-07-18,1982,10,great-britain,9,74,30,1493.531841,1500.315018,6.783177,0.724138,0.441506,24.0
1982-07-25,1982,11,france,DNF,10,30,1500.315018,1496.435769,-3.879249,0.293103,0.454739,24.0
1982-08-08,1982,12,germany,DNF,6,30,1496.435769,1491.511024,-4.924745,0.241379,0.446577,24.0
1982-08-15,1982,13,austria,6,52,29,1491.511024,1500.571429,9.060405,0.821429,0.443912,24.0
1982-08-29,1982,14,switzerland,DNQ,,29,1500.571429,1491.317827,-9.253602,0.071429,0.456995,24.0
1982-09-12,1982,15,italy,12,49,30,1491.317827,1495.633679,4.315851,0.62069,0.440863,24.0
1982-09-25,1982,16,caesars-palace,11,73,30,1495.633679,1500.631118,4.997439,0.655172,0.446946,24.0
1983-03-13,1983,1,brazil,DNF,23,28,1500.631118,1497.877078,-2.754039,0.333333,0.448085,24.0
1983-03-27,1983,2,united-states-west,DNF,26,28,1497.877078,1494.629617,-3.247461,0.296296,0.431607,24.0
1983-04-17,1983,3,france,DNF,28,29,1494.629617,1493.465743,-1.163873,0.392857,0.441352,24.0
1983-05-01,1983,4,san-marino,10,57,28,1493.465743,1498.971596,5.505853,0.666667,0.437256,24.0
1983-05-15,1983,5,monaco,6,74,28,1498.971596,1507.843012,8.871416,0.814815,0.445172,24.0
1983-05-22,1983,6,belgium,DNF,3,28,1507.843012,1499.561616,-8.281396,0.111111,0.456169,24.0
1983-06-05,1983,7,detroit,12,56,27,1499.561616,1502.878394,3.316777,0.576923,0.438724,24.0
1983-06-12,1983,8,canada,10,67,28,1502.878394,1508.157769,5.279376,0.666667,0.446693,24.0
1983-07-16,1983,9,great-britain,7,66,29,1508.157769,1516.075539,7.91777,0.785714,0.455807,24.0
1983-08-07,1983,10,germany,DNF,24,29,1516.075539,1515.146407,-0.929132,0.428571,0.467285,24.0
1983-08-14,1983,11,austria,DNF,13,29,1515.146407,1511.676327,-3.470081,0.321429,0.466015,24.0
1983-08-28,1983,12,netherlands,5,72,29,1511.676327,1521.179034,9.502708,0.857143,0.461197,24.0
1983-09-11,1983,13,italy,DNF,4,29,1521.179034,1514.498654,-6.68038,0.196429,0.474778,24.0
1983-09-25,1983,14,europe,DNF,39,29,1514.498654,1510.208802,-4.289853,0.285714,0.464458,24.0
1983-10-15,1983,15,south-africa,DNF,5,26,1510.208802,1503.284421,-6.92438,0.16,0.448516,24.0
1984-03-25,1984,1,brazil,DNF,12,27,1503.284421,1496.221389,-7.063032,0.153846,0.448139,24.0
1984-04-07,1984,2,south-africa,8,71,27,1496.221389,1503.244819,7.023429,0.730769,0.438126,24.0
1984-04-29,1984,3,belgium,DNF,53,27,1503.244819,1507.260031,4.015212,0.615385,0.448084,24.0
1984-05-06,1984,4,san-marino,8,58,28,1507.260031,1514.09605,6.836019,0.740741,0.455907,24.0
1984-05-20,1984,5,france,DNF,61,27,1514.09605,1514.966905,0.870855,0.5,0.463714,24.0
1984-06-03,1984,6,monaco,DNQ,,27,1514.966905,1507.962155,-7.00475,0.173077,0.464941,24.0
1984-10-07,1984,15,europe,8,65,26,1507.962155,1514.714393,6.752238,0.72,0.438657,24.0
1984-10-21,1984,16,portugal,15,66,27,1514.714393,1514.904197,0.189804,0.461538,0.45363,24.0
1985-04-07,1985,1,brazil,DNF,7,25,1514.904197,1504.956952,-9.947245,0.041667,0.456135,24.0
1985-04-21,1985,2,portugal,DNF,19,26,1504.956952,1501.623898,-3.333055,0.32,0.458877,24.0
1985-05-05,1985,3,san-marino,DNF,9,26,1501.623898,1496.484338,-5.139559,0.24,0.454148,24.0
