date,year,round,grandPrixId,constructorId,constructorName,positionRaw,laps,nParticipants,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed
2015-03-15,2015,1,australia,toro-rosso,Toro Rosso,DNF,32,20,1000.0,1001.725881,1.725881,0.368421,0.333903,50.0
2015-03-29,2015,2,malaysia,toro-rosso,Toro Rosso,7,56,20,1001.725881,1019.670366,17.944485,0.684211,0.325321,50.0
2015-04-12,2015,3,china,toro-rosso,Toro Rosso,17,52,20,1019.670366,1010.243293,-9.427073,0.157895,0.346436,50.0
2015-04-19,2015,4,bahrain,toro-rosso,Toro Rosso,DNF,34,20,1010.243293,998.710277,-11.533016,0.105263,0.335923,50.0
2015-05-10,2015,5,spain,toro-rosso,Toro Rosso,11,65,20,998.710277,1006.245423,7.535146,0.473684,0.322981,50.0
2015-05-24,2015,6,monaco,toro-rosso,Toro Rosso,DNF,62,20,1006.245423,994.887102,-11.358321,0.105263,0.33243,50.0
2015-06-07,2015,7,canada,toro-rosso,Toro Rosso,15,69,20,994.887102,992.089794,-2.797308,0.263158,0.319104,50.0
2015-06-21,2015,8,austria,toro-rosso,Toro Rosso,8,70,20,992.089794,1007.851722,15.761927,0.631579,0.31634,50.0
2015-07-05,2015,9,great-britain,toro-rosso,Toro Rosso,DNF,3,20,1007.851722,1001.625311,-6.226411,0.210526,0.335055,50.0
2015-07-26,2015,10,hungary,toro-rosso,Toro Rosso,4,69,20,1001.625311,1027.291845,25.666534,0.842105,0.328775,50.0
2015-08-23,2015,11,belgium,toro-rosso,Toro Rosso,8,43,20,1027.291845,1040.948182,13.656337,0.631579,0.358452,50.0
2015-09-06,2015,12,italy,toro-rosso,Toro Rosso,12,52,20,1040.948182,1043.260142,2.31196,0.421053,0.374813,50.0
2015-09-20,2015,13,singapore,toro-rosso,Toro Rosso,8,61,20,1043.260142,1056.112861,12.852719,0.631579,0.374525,50.0
2015-09-27,2015,14,japan,toro-rosso,Toro Rosso,9,53,20,1056.112861,1065.584959,9.472097,0.578947,0.389505,50.0
2015-10-11,2015,15,russia,toro-rosso,Toro Rosso,10,53,20,1065.584959,1071.682873,6.097914,0.526316,0.404358,50.0
2015-10-25,2015,16,united-states,toro-rosso,Toro Rosso,4,56,20,1071.682873,1093.301774,21.618901,0.842105,0.409727,50.0
2015-11-01,2015,17,mexico,toro-rosso,Toro Rosso,9,71,20,1093.301774,1100.357946,7.056173,0.578947,0.437824,50.0
2015-11-15,2015,18,brazil,toro-rosso,Toro Rosso,9,70,20,1100.357946,1106.983983,6.626037,0.578947,0.446427,50.0
2015-11-29,2015,19,abu-dhabi,toro-rosso,Toro Rosso,16,54,20,1106.983983,1094.663383,-12.3206,0.210526,0.456938,50.0
2016-03-20,2016,1,australia,toro-rosso,Toro Rosso,10,57,22,1094.663383,1100.887742,6.224359,0.571429,0.446941,50.0
2016-04-03,2016,2,bahrain,toro-rosso,Toro Rosso,6,57,22,1100.887742,1116.022681,15.134939,0.761905,0.459206,50.0
2016-04-17,2016,3,china,toro-rosso,Toro Rosso,8,56,22,1116.022681,1125.569216,9.546535,0.666667,0.475736,50.0
