date,year,round,grandPrixId,positionRaw,laps,nParticipants,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed
2021-03-28,2021,1,bahrain,16,55,20,1500.0,1496.344543,-3.655457,0.210526,0.362837,24.0
2021-04-18,2021,2,emilia-romagna,16,61,20,1496.344543,1492.790703,-3.55384,0.210526,0.358603,24.0
2021-05-02,2021,3,portugal,17,64,20,1492.790703,1488.089921,-4.700781,0.157895,0.353761,24.0
2021-05-09,2021,4,spain,18,64,20,1488.089921,1482.256407,-5.833514,0.105263,0.348326,24.0
2021-05-23,2021,5,monaco,18,75,20,1482.256407,1476.581367,-5.67504,0.105263,0.341723,24.0
2021-06-06,2021,6,azerbaijan,13,51,20,1476.581367,1477.404502,0.823135,0.368421,0.334124,24.0
2021-06-20,2021,7,france,19,52,20,1477.404502,1470.653631,-6.750871,0.052632,0.333918,24.0
2021-06-27,2021,8,styria,16,69,20,1470.653631,1467.878,-2.77563,0.210526,0.326178,24.0
2021-07-04,2021,9,austria,18,69,20,1467.878,1462.644971,-5.233029,0.105263,0.323306,24.0
2021-07-18,2021,10,great-britain,18,51,20,1462.644971,1457.552079,-5.092892,0.105263,0.317467,24.0
2021-08-01,2021,11,hungary,12,69,20,1457.552079,1460.194461,2.642382,0.421053,0.310953,24.0
2021-08-29,2021,12,belgium,16,1,20,1460.194461,1457.740218,-2.454243,0.210526,0.312786,24.0
2021-09-05,2021,13,netherlands,18,69,20,1457.740218,1452.732476,-5.007742,0.105263,0.313919,24.0
2021-09-12,2021,14,italy,15,53,20,1452.732476,1451.642568,-1.089909,0.263158,0.308571,24.0
2021-09-26,2021,15,russia,DNF,32,20,1451.642568,1444.400073,-7.242494,0.0,0.301771,24.0
2021-10-03,2021,16,turkey,19,56,20,1444.400073,1438.610144,-5.789929,0.052632,0.293879,24.0
2021-10-24,2021,17,united-states,16,54,20,1438.610144,1436.759338,-1.850806,0.210526,0.287643,24.0
2021-11-07,2021,18,mexico,DNF,0,20,1436.759338,1430.524848,-6.23449,0.026316,0.286086,24.0
2021-11-14,2021,19,sao-paulo,18,69,20,1430.524848,1426.347551,-4.177297,0.105263,0.279317,24.0
2021-11-21,2021,20,qatar,16,56,20,1426.347551,1424.794625,-1.552926,0.210526,0.275232,24.0
2021-12-05,2021,21,saudi-arabia,DNF,8,20,1424.794625,1418.231517,-6.563108,0.0,0.273463,24.0
2021-12-12,2021,22,abu-dhabi,14,57,20,1418.231517,1419.412846,1.181329,0.315789,0.266567,24.0
2022-03-20,2022,1,bahrain,11,57,20,1419.412846,1424.475194,5.062348,0.473684,0.262753,24.0
2022-03-27,2022,2,saudi-arabia,DNS,,20,1424.475194,1418.694427,-5.780767,0.026316,0.267181,24.0
2022-04-10,2022,3,australia,13,57,20,1418.694427,1421.402425,2.707998,0.368421,0.255588,24.0
2022-04-24,2022,4,emilia-romagna,17,62,20,1421.402425,1419.003853,-2.398572,0.157895,0.257835,24.0
2022-05-08,2022,5,miami,15,57,20,1419.003853,1419.209709,0.205856,0.263158,0.254581,24.0
2022-05-22,2022,6,spain,14,65,20,1419.209709,1420.670697,1.460988,0.315789,0.254915,24.0
2022-05-29,2022,7,monaco,DNF,24,20,1420.670697,1415.777265,-4.893432,0.052632,0.256525,24.0
2022-06-12,2022,8,azerbaijan,14,50,20,1415.777265,1417.318325,1.54106,0.315789,0.251579,24.0
2022-06-19,2022,9,canada,DNF,18,20,1417.318325,1412.509613,-4.808712,0.052632,0.252995,24.0
2022-07-03,2022,10,great-britain,8,52,20,1412.509613,1421.718569,9.208956,0.631579,0.247872,24.0
2022-07-10,2022,11,austria,6,70,20,1421.718569,1433.217616,11.499046,0.736842,0.257715,24.0
2022-07-24,2022,12,france,15,53,20,1433.217616,1433.053054,-0.164561,0.263158,0.270015,24.0
2022-07-31,2022,13,hungary,14,69,20,1433.053054,1434.151307,1.098253,0.315789,0.270029,24.0
2022-08-28,2022,14,belgium,17,43,20,1434.151307,1431.423974,-2.727333,0.157895,0.271534,24.0
2022-09-04,2022,15,netherlands,13,72,20,1431.423974,1433.839572,2.415598,0.368421,0.267771,24.0
2022-09-11,2022,16,italy,12,53,20,1433.839572,1437.316829,3.477257,0.421053,0.276167,24.0
2022-10-02,2022,17,singapore,13,58,20,1437.316829,1439.552136,2.235306,0.368421,0.275283,24.0
2022-10-09,2022,18,japan,17,28,20,1439.552136,1436.670652,-2.881484,0.157895,0.277957,24.0
2022-10-23,2022,19,united-states,15,56,20,1436.670652,1436.392815,-0.277836,0.263158,0.274734,24.0
2022-10-30,2022,20,mexico,16,70,20,1436.392815,1434.857335,-1.53548,0.210526,0.274505,24.0
2022-11-13,2022,21,sao-paulo,13,71,20,1434.857335,1437.133478,2.276143,0.368421,0.273582,24.0
2022-11-20,2022,22,abu-dhabi,16,57,20,1437.133478,1435.552122,-1.581356,0.210526,0.276416,24.0
