date,year,round,grandPrixId,positionRaw,laps,nParticipants,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed
1991-03-10,1991,1,united-states,DNF,59,34,1500.0,1504.680553,4.680553,0.636364,0.441341,24.0
1991-03-24,1991,2,brazil,9,68,34,1504.680553,1512.111608,7.431055,0.757576,0.447948,24.0
1991-04-28,1991,3,san-marino,5,58,34,1512.111608,1522.236504,10.124895,0.878788,0.456917,24.0
1991-05-12,1991,4,monaco,DNF,64,34,1522.236504,1526.216093,3.979589,0.636364,0.470547,24.0
1991-06-02,1991,5,canada,DNF,21,34,1526.216093,1524.654251,-1.561842,0.409091,0.474168,24.0
1991-06-16,1991,6,mexico,9,65,34,1524.654251,1531.513142,6.858891,0.757576,0.471789,24.0
1991-07-07,1991,7,france,DNQ,,34,1531.513142,1521.054975,-10.458167,0.045455,0.481211,24.0
1991-07-14,1991,8,great-britain,12,57,34,1521.054975,1525.851115,4.79614,0.666667,0.466827,24.0
1991-07-28,1991,9,germany,DNF,19,34,1525.851115,1523.98776,-1.863355,0.393939,0.471579,24.0
1991-08-11,1991,10,hungary,14,74,34,1523.98776,1527.27695,3.28919,0.606061,0.469011,24.0
1991-08-25,1991,11,belgium,DNF,25,34,1527.27695,1527.258832,-0.018118,0.469697,0.470452,24.0
1991-09-08,1991,12,italy,14,49,34,1527.258832,1530.465565,3.206733,0.606061,0.472447,24.0
1991-09-22,1991,13,portugal,14,68,34,1530.465565,1533.622859,3.157295,0.606061,0.474507,24.0
1991-09-29,1991,14,spain,DNF,5,33,1533.622859,1529.702271,-3.920589,0.3125,0.475858,24.0
1991-10-20,1991,15,japan,DNF,4,32,1529.702271,1527.154596,-2.547675,0.354839,0.460992,24.0
1991-11-03,1991,16,australia,19,13,32,1527.154596,1525.933104,-1.221492,0.419355,0.47025,24.0
1992-03-01,1992,1,south-africa,9,70,32,1525.933104,1532.142195,6.209091,0.741935,0.483223,24.0
1992-03-22,1992,2,mexico,6,68,30,1532.142195,1540.35692,8.214725,0.827586,0.485306,24.0
1992-04-05,1992,3,brazil,10,67,31,1540.35692,1545.189604,4.832684,0.7,0.498638,24.0
1992-05-03,1992,4,spain,DNF,56,32,1545.189604,1546.982976,1.793372,0.580645,0.505921,24.0
1992-05-17,1992,5,san-marino,DNQ,,32,1546.982976,1535.941643,-11.041333,0.048387,0.508443,24.0
1992-05-31,1992,6,monaco,DNF,30,32,1535.941643,1537.270118,1.328476,0.548387,0.493034,24.0
1992-06-14,1992,7,canada,DNF,35,31,1537.270118,1534.259814,-3.010305,0.366667,0.492096,24.0
1992-07-05,1992,8,france,4,68,30,1534.259814,1544.156808,9.896994,0.896552,0.484177,24.0
1992-07-12,1992,9,great-britain,6,59,32,1544.156808,1552.203338,8.04653,0.83871,0.503438,24.0
1992-07-26,1992,10,germany,DNF,21,32,1552.203338,1548.754371,-3.448967,0.370968,0.514675,24.0
1992-08-16,1992,11,hungary,4,77,31,1548.754371,1558.235568,9.481198,0.9,0.50495,24.0
1992-08-30,1992,12,belgium,6,44,30,1558.235568,1565.802079,7.566511,0.827586,0.512315,24.0
1992-09-13,1992,13,italy,DNF,5,28,1565.802079,1557.049795,-8.752284,0.148148,0.512827,24.0
1992-09-27,1992,14,portugal,5,70,26,1557.049795,1565.62514,8.575345,0.84,0.482694,24.0
1992-10-25,1992,15,japan,DNF,44,26,1565.62514,1562.622256,-3.002884,0.38,0.50512,24.0
1992-11-08,1992,16,australia,7,80,26,1562.622256,1568.847051,6.224795,0.76,0.500634,24.0
1993-09-26,1993,14,portugal,DNF,32,26,1568.847051,1560.731264,-8.115787,0.16,0.498158,24.0
1993-10-24,1993,15,japan,3,53,24,1560.731264,1571.023696,10.292431,0.913043,0.484192,24.0
1993-11-07,1993,16,australia,DNF,28,24,1571.023696,1565.310082,-5.713614,0.26087,0.498937,24.0
1994-03-27,1994,1,brazil,DNF,13,28,1565.310082,1558.574641,-6.735441,0.259259,0.539903,24.0
1994-04-17,1994,2,pacific,DNF,19,28,1558.574641,1551.870745,-6.703896,0.259259,0.538588,24.0
1994-05-01,1994,3,san-marino,3,58,28,1551.870745,1561.550001,9.679256,0.925926,0.522624,24.0
1994-05-15,1994,4,monaco,DNF,0,26,1561.550001,1552.065157,-9.484844,0.14,0.535202,24.0
1994-05-29,1994,5,spain,DNF,48,27,1552.065157,1552.296632,0.231476,0.538462,0.528817,24.0
