date,year,round,grandPrixId,positionRaw,laps,nParticipants,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed
1970-09-06,1970,10,italy,DNQ,,27,1500.0,1493.598768,-6.401232,0.192308,0.459026,24.0
1971-05-23,1971,3,monaco,DNQ,,23,1493.598768,1485.26819,-8.330578,0.090909,0.438017,24.0
1971-06-20,1971,4,netherlands,DNF,7,25,1485.26819,1480.897089,-4.371101,0.25,0.432129,24.0
1971-07-04,1971,5,france,DNS,,24,1480.897089,1470.781729,-10.115361,0.0,0.421473,24.0
1971-07-17,1971,6,great-britain,11,65,24,1470.781729,1474.410442,3.628713,0.565217,0.414021,24.0
1971-08-01,1971,7,germany,12,10,24,1474.410442,1476.810895,2.400454,0.521739,0.42172,24.0
1971-08-15,1971,8,austria,12,51,22,1476.810895,1478.05708,1.246185,0.47619,0.424266,24.0
1971-09-05,1971,9,italy,DNF,11,24,1478.05708,1472.6824,-5.37468,0.217391,0.441336,24.0
1971-09-19,1971,10,canada,16,57,27,1472.6824,1472.798408,0.116008,0.423077,0.418243,24.0
1971-10-03,1971,11,united-states,DNF,11,32,1472.798408,1466.393656,-6.404752,0.16129,0.428155,24.0
1972-06-04,1972,5,belgium,DNF,54,26,1466.393656,1463.084875,-3.30878,0.28,0.417866,24.0
1972-07-02,1972,6,france,13,37,29,1463.084875,1466.827792,3.742917,0.571429,0.415474,24.0
1972-07-15,1972,7,great-britain,DNF,9,27,1466.827792,1460.49131,-6.336483,0.153846,0.417866,24.0
1972-08-13,1972,9,austria,DNF,45,26,1460.49131,1459.537799,-0.95351,0.36,0.39973,24.0
1972-09-10,1972,10,italy,DNF,6,27,1459.537799,1452.69896,-6.838839,0.115385,0.400336,24.0
1973-01-28,1973,1,argentina,DNF,0,19,1452.69896,1443.757617,-8.941343,0.0,0.372556,24.0
1973-02-11,1973,2,brazil,9,38,20,1443.757617,1448.924277,5.16666,0.578947,0.36367,24.0
1973-04-29,1973,4,spain,11,69,22,1448.924277,1452.387218,3.462942,0.52381,0.37952,24.0
1973-05-20,1973,5,belgium,DNF,6,23,1452.387218,1444.869779,-7.51744,0.068182,0.381408,24.0
1973-06-03,1973,6,monaco,DNF,30,26,1444.869779,1440.656155,-4.213624,0.2,0.375568,24.0
