date,year,round,grandPrixId,constructorId,constructorName,positionRaw,laps,nParticipants,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed
1978-07-30,1978,11,germany,ensign,Ensign,DNF,31,30,1000.0,1009.015461,9.015461,0.568966,0.388656,50.0
1978-08-13,1978,12,austria,mclaren,McLaren,DNF,2,31,1009.015461,1003.67179,-5.343671,0.3,0.406873,50.0
1978-08-27,1978,13,netherlands,mclaren,McLaren,DNF,16,33,1003.67179,1002.139108,-1.532682,0.375,0.405654,50.0
1978-09-10,1978,14,italy,mclaren,McLaren,9,40,31,1002.139108,1018.897759,16.758652,0.733333,0.39816,50.0
1978-10-08,1978,16,canada,brabham,Brabham,11,69,28,1018.897759,1029.406114,10.508355,0.62963,0.419463,50.0
1979-01-21,1979,1,argentina,brabham,Brabham,DNF,0,26,1029.406114,1016.634151,-12.771964,0.16,0.415439,50.0
1979-02-04,1979,2,brazil,brabham,Brabham,DNF,5,26,1016.634151,1005.720811,-10.91334,0.18,0.398267,50.0
1979-03-03,1979,3,south-africa,brabham,Brabham,7,77,26,1005.720811,1024.534714,18.813903,0.76,0.383722,50.0
1979-04-08,1979,4,united-states-west,brabham,Brabham,8,78,26,1024.534714,1040.086574,15.55186,0.72,0.408963,50.0
1979-04-29,1979,5,spain,brabham,Brabham,DNF,15,27,1040.086574,1025.061933,-15.024641,0.134615,0.435108,50.0
1979-05-13,1979,6,belgium,brabham,Brabham,DNF,23,28,1025.061933,1025.537428,0.475495,0.425926,0.416416,50.0
1979-05-27,1979,7,monaco,brabham,Brabham,7,68,25,1025.537428,1043.331201,17.793773,0.75,0.394125,50.0
1979-07-01,1979,8,france,brabham,Brabham,DNF,52,27,1043.331201,1032.518827,-10.812374,0.230769,0.447017,50.0
1979-07-14,1979,9,great-britain,brabham,Brabham,DNF,1,26,1032.518827,1015.035249,-17.483578,0.08,0.429672,50.0
1979-07-29,1979,10,germany,brabham,Brabham,12,42,26,1015.035249,1022.387111,7.351862,0.56,0.412963,50.0
1979-08-12,1979,11,austria,brabham,Brabham,DNF,32,26,1022.387111,1023.13783,0.750719,0.44,0.424986,50.0
1979-08-26,1979,12,netherlands,brabham,Brabham,4,74,26,1023.13783,1046.209896,23.072066,0.88,0.418559,50.0
1979-09-09,1979,13,italy,brabham,Brabham,DNF,1,28,1046.209896,1031.030814,-15.179082,0.148148,0.45173,50.0
1979-09-30,1979,14,canada,brabham,Brabham,DNF,61,29,1031.030814,1040.958596,9.927782,0.642857,0.444302,50.0
1979-10-07,1979,15,united-states,brabham,Brabham,8,53,30,1040.958596,1055.903854,14.945258,0.758621,0.459716,50.0
1980-01-13,1980,1,argentina,brabham,Brabham,2,53,28,1055.903854,1081.141868,25.238014,0.962963,0.458203,50.0
1980-01-27,1980,2,brazil,brabham,Brabham,DNF,14,28,1081.141868,1073.141913,-7.999955,0.333333,0.493332,50.0
1980-03-01,1980,3,south-africa,brabham,Brabham,4,78,28,1073.141913,1093.607837,20.465924,0.888889,0.47957,50.0
1980-03-30,1980,4,united-states-west,brabham,Brabham,1,80,27,1093.607837,1118.430162,24.822326,1.0,0.503553,50.0
1980-05-04,1980,5,belgium,brabham,Brabham,DNF,32,27,1118.430162,1110.465919,-7.964243,0.384615,0.5439,50.0
1980-05-18,1980,6,monaco,brabham,Brabham,3,76,27,1110.465919,1129.99676,19.530841,0.923077,0.53246,50.0
1980-06-29,1980,7,france,brabham,Brabham,4,54,27,1129.99676,1146.282848,16.286088,0.884615,0.558894,50.0
1980-07-13,1980,8,great-britain,brabham,Brabham,2,76,27,1146.282848,1165.338198,19.05535,0.961538,0.580431,50.0
1980-08-10,1980,9,germany,brabham,Brabham,4,45,26,1165.338198,1178.928921,13.590723,0.88,0.608186,50.0
1980-08-17,1980,10,austria,brabham,Brabham,5,54,26,1178.928921,1189.720475,10.791554,0.84,0.624169,50.0
1980-08-31,1980,11,netherlands,brabham,Brabham,1,72,29,1189.720475,1207.206586,17.486111,1.0,0.650278,50.0
1980-09-14,1980,12,italy,brabham,Brabham,1,60,28,1207.206586,1223.7088,16.502213,1.0,0.669956,50.0
1980-09-28,1980,13,canada,brabham,Brabham,DNF,23,28,1223.7088,1211.628954,-12.079846,0.444444,0.686041,50.0
1980-10-05,1980,14,united-states,brabham,Brabham,DNF,25,27,1211.628954,1197.35479,-14.274164,0.384615,0.670099,50.0
1981-03-15,1981,1,united-states-west,brabham,Brabham,3,80,29,1197.35479,1210.349632,12.994842,0.928571,0.668675,50.0
1981-03-29,1981,2,brazil,brabham,Brabham,12,60,31,1210.349632,1207.626661,-2.722971,0.633333,0.687793,50.0
1981-04-12,1981,3,argentina,brabham,Brabham,1,53,29,1207.626661,1223.438732,15.81207,1.0,0.683759,50.0
1981-05-03,1981,4,san-marino,brabham,Brabham,1,60,30,1223.438732,1237.85126,14.412528,1.0,0.711749,50.0
1981-05-17,1981,5,belgium,brabham,Brabham,DNF,10,31,1237.85126,1219.229125,-18.622135,0.35,0.722443,50.0
1981-05-31,1981,6,monaco,brabham,Brabham,DNF,53,31,1219.229125,1221.673115,2.44399,0.75,0.70112,50.0
1981-06-21,1981,7,spain,brabham,Brabham,DNF,43,30,1221.673115,1202.857567,-18.815548,0.327586,0.703897,50.0
1981-07-05,1981,8,france,brabham,Brabham,3,80,29,1202.857567,1215.641423,12.783855,0.928571,0.672894,50.0
1981-07-18,1981,9,great-britain,brabham,Brabham,DNF,11,30,1215.641423,1203.82739,-11.814033,0.448276,0.684557,50.0
1981-08-02,1981,10,germany,brabham,Brabham,1,45,30,1203.82739,1220.325064,16.497675,1.0,0.670047,50.0
1981-08-16,1981,11,austria,brabham,Brabham,3,53,28,1220.325064,1232.587851,12.262786,0.925926,0.68067,50.0
1981-08-30,1981,12,netherlands,brabham,Brabham,2,72,30,1232.587851,1245.727091,13.13924,0.965517,0.702732,50.0
1981-09-13,1981,13,italy,brabham,Brabham,6,51,30,1245.727091,1251.220747,5.493656,0.827586,0.717713,50.0
1981-09-27,1981,14,canada,brabham,Brabham,5,62,30,1251.220747,1258.171113,6.950366,0.862069,0.723062,50.0
1981-10-17,1981,15,caesars-palace,brabham,Brabham,5,75,30,1258.171113,1264.778637,6.607524,0.862069,0.729918,50.0
1982-01-23,1982,1,south-africa,brabham,Brabham,DNF,3,30,1264.778637,1237.589271,-27.189366,0.206897,0.750684,50.0
1982-03-21,1982,2,brazil,brabham,Brabham,DSQ,63,31,1237.589271,1208.901982,-28.687289,0.15,0.723746,50.0
1982-04-04,1982,3,united-states-west,brabham,Brabham,DNF,25,31,1208.901982,1197.381513,-11.520469,0.466667,0.697076,50.0
1982-05-09,1982,5,belgium,brabham,Brabham,5,67,32,1197.381513,1206.265643,8.88413,0.870968,0.693285,50.0
1982-05-23,1982,6,monaco,brabham,Brabham,DNF,49,31,1206.265643,1200.995277,-5.270366,0.6,0.705407,50.0
1982-06-06,1982,7,detroit,brabham,Brabham,DNQ,,29,1200.995277,1170.117471,-30.877806,0.071429,0.688985,50.0
