date,year,round,grandPrixId,positionRaw,laps,nParticipants,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed
1987-09-06,1987,11,italy,DNQ,,28,1500.0,1489.555137,-10.444863,0.018519,0.453721,24.0
1987-09-27,1987,13,spain,DNF,8,28,1489.555137,1480.79055,-8.764587,0.074074,0.439265,24.0
1988-04-03,1988,1,brazil,DNQ,,31,1480.79055,1471.689308,-9.101242,0.05,0.429218,24.0
1988-05-01,1988,2,san-marino,EX,,31,1471.689308,1464.889862,-6.799447,0.133333,0.416644,24.0
1988-05-15,1988,3,monaco,9,75,31,1464.889862,1472.712236,7.822374,0.733333,0.407401,24.0
1988-05-29,1988,4,mexico,DNQ,,31,1472.712236,1463.877343,-8.834893,0.05,0.418121,24.0
1988-06-12,1988,5,canada,DNQ,,31,1463.877343,1455.331669,-8.545674,0.05,0.40607,24.0
1988-06-19,1988,6,detroit,DNF,7,31,1455.331669,1451.508156,-3.823513,0.233333,0.392646,24.0
1988-07-03,1988,7,france,DNF,56,31,1451.508156,1452.609981,1.101825,0.433333,0.387424,24.0
1988-07-10,1988,8,great-britain,19,60,31,1452.609981,1452.873927,0.263947,0.4,0.389002,24.0
1988-07-24,1988,9,germany,DNF,27,31,1452.873927,1450.732132,-2.141796,0.3,0.389241,24.0
1988-08-07,1988,10,hungary,DNPQ,,31,1450.732132,1444.658623,-6.073509,0.133333,0.386396,24.0
1988-08-28,1988,11,belgium,DNF,14,31,1444.658623,1444.254138,-0.404485,0.366667,0.38352,24.0
1988-09-11,1988,12,italy,DNF,2,31,1444.254138,1439.039824,-5.214315,0.166667,0.38393,24.0
1988-09-25,1988,13,portugal,12,63,31,1439.039824,1445.319387,6.279564,0.633333,0.371685,24.0
1988-10-02,1988,14,spain,DNF,9,31,1445.319387,1440.992411,-4.326976,0.2,0.380291,24.0
1988-10-30,1988,15,japan,DNF,34,31,1440.992411,1440.365224,-0.627187,0.35,0.376133,24.0
1988-11-13,1988,16,australia,DNPQ,,31,1440.365224,1434.552809,-5.812415,0.133333,0.375517,24.0
1989-03-26,1989,1,brazil,DSQ,10,38,1434.552809,1428.284502,-6.268308,0.108108,0.369288,24.0
1989-04-23,1989,2,san-marino,12,52,39,1428.284502,1436.607262,8.322761,0.710526,0.363745,24.0
1989-05-07,1989,3,monaco,DNPQ,,38,1436.607262,1432.083037,-4.524225,0.189189,0.377699,24.0
1989-05-28,1989,4,mexico,DNPQ,,39,1432.083037,1428.277166,-3.805871,0.210526,0.369104,24.0
1989-06-04,1989,5,united-states,DNPQ,,39,1428.277166,1425.220205,-3.056962,0.236842,0.364216,24.0
1989-06-18,1989,6,canada,DNF,33,39,1425.220205,1433.624158,8.403953,0.710526,0.360362,24.0
1989-07-09,1989,7,france,DNPQ,,39,1433.624158,1429.622537,-4.001621,0.210526,0.377261,24.0
1989-07-16,1989,8,great-britain,DNF,23,39,1429.622537,1432.130831,2.508293,0.473684,0.369172,24.0
1989-07-30,1989,9,germany,DNPQ,,39,1432.130831,1428.310125,-3.820706,0.210526,0.369722,24.0
1989-08-13,1989,10,hungary,DNPQ,,39,1428.310125,1424.601139,-3.708985,0.210526,0.365067,24.0
1989-08-27,1989,11,belgium,DNPQ,,39,1424.601139,1421.047508,-3.553632,0.210526,0.358594,24.0
1989-09-10,1989,12,italy,DNF,16,39,1421.047508,1423.275804,2.228296,0.447368,0.354523,24.0
1989-09-24,1989,13,portugal,DNPQ,,39,1423.275804,1420.379959,-2.895845,0.236842,0.357502,24.0
1989-10-01,1989,14,spain,DNF,6,38,1420.379959,1420.27751,-0.102448,0.351351,0.35562,24.0
1989-10-22,1989,15,japan,DNF,21,39,1420.27751,1423.207424,2.929914,0.473684,0.351604,24.0
1989-11-05,1989,16,australia,DNF,0,39,1423.207424,1423.222491,0.015067,0.355263,0.354635,24.0
1990-03-11,1990,1,united-states,DNF,4,35,1423.222491,1421.90383,-1.318661,0.294118,0.349062,24.0
1990-03-25,1990,2,brazil,11,68,35,1421.90383,1430.637004,8.733174,0.705882,0.342,24.0
1990-05-13,1990,3,san-marino,10,59,35,1430.637004,1439.904386,9.267381,0.735294,0.349153,24.0
1990-05-27,1990,4,monaco,DNF,12,35,1439.904386,1441.822154,1.917769,0.441176,0.361269,24.0
1990-06-10,1990,5,canada,DNF,18,35,1441.822154,1441.561917,-0.260237,0.352941,0.363784,24.0
1990-06-24,1990,6,mexico,16,67,35,1441.561917,1446.243988,4.682071,0.558824,0.363737,24.0
1990-07-08,1990,7,france,14,78,35,1446.243988,1452.181403,5.937415,0.617647,0.370255,24.0
1990-07-15,1990,8,great-britain,10,62,35,1452.181403,1460.748097,8.566694,0.735294,0.378349,24.0
1990-07-29,1990,9,germany,10,43,35,1460.748097,1469.034395,8.286298,0.735294,0.390032,24.0
1990-08-12,1990,10,hungary,11,76,35,1469.034395,1476.340574,7.306178,0.705882,0.401458,24.0
1990-08-26,1990,11,belgium,14,42,33,1476.340574,1480.890845,4.550272,0.59375,0.404155,24.0
1990-09-09,1990,12,italy,11,51,33,1480.890845,1487.539355,6.64851,0.6875,0.410479,24.0
1990-09-23,1990,13,portugal,10,59,33,1487.539355,1494.716067,7.176712,0.71875,0.41972,24.0
1990-09-30,1990,14,spain,7,72,33,1494.716067,1503.731465,9.015398,0.8125,0.436858,24.0
1990-10-21,1990,15,japan,7,52,30,1503.731465,1512.329103,8.597638,0.793103,0.434869,24.0
1990-11-04,1990,16,australia,10,79,30,1512.329103,1518.174733,5.84563,0.689655,0.446087,24.0
1991-03-10,1991,1,united-states,7,78,34,1518.174733,1526.617976,8.443243,0.818182,0.46638,24.0
1991-03-24,1991,2,brazil,DNPQ,,34,1526.617976,1519.140036,-7.47794,0.166667,0.478248,24.0
1991-04-28,1991,3,san-marino,DNPQ,,34,1519.140036,1512.668425,-6.471611,0.19697,0.46662,24.0
1991-05-12,1991,4,monaco,DNPQ,,34,1512.668425,1505.693349,-6.975076,0.166667,0.457295,24.0
1991-06-02,1991,5,canada,DNPQ,,34,1505.693349,1498.996574,-6.696775,0.166667,0.445699,24.0
1991-06-16,1991,6,mexico,DNPQ,,34,1498.996574,1492.526413,-6.470161,0.166667,0.436257,24.0
1991-07-07,1991,7,france,DNPQ,,34,1492.526413,1486.272271,-6.254141,0.166667,0.427256,24.0
1991-07-14,1991,8,great-britain,DNPQ,,34,1486.272271,1480.21715,-6.055121,0.166667,0.418963,24.0
1991-07-28,1991,9,germany,DNF,0,34,1480.21715,1476.221939,-3.995211,0.242424,0.408891,24.0
1991-08-11,1991,10,hungary,16,74,34,1476.221939,1479.625605,3.403666,0.545455,0.403635,24.0
1991-08-25,1991,11,belgium,DNQ,,34,1479.625605,1470.992406,-8.633199,0.045455,0.405171,24.0
1991-09-08,1991,12,italy,16,48,34,1470.992406,1474.586957,3.594552,0.545455,0.395682,24.0
1991-09-22,1991,13,portugal,DNQ,,34,1474.586957,1466.120037,-8.466921,0.045455,0.398243,24.0
1991-09-29,1991,14,spain,DNQ,,33,1466.120037,1458.026557,-8.09348,0.046875,0.384103,24.0
1991-10-20,1991,15,japan,DNQ,,32,1458.026557,1450.450473,-7.576084,0.048387,0.364057,24.0
1991-11-03,1991,16,australia,DNF,5,32,1450.450473,1448.25584,-2.194633,0.274194,0.365637,24.0
1992-10-25,1992,15,japan,12,52,26,1448.25584,1453.430788,5.174948,0.56,0.344377,24.0
1992-11-08,1992,16,australia,11,79,26,1453.430788,1459.417044,5.986257,0.6,0.350573,24.0
1994-04-17,1994,2,pacific,DNF,0,28,1459.417044,1452.562996,-6.854049,0.111111,0.396696,24.0
1994-05-01,1994,3,san-marino,2,58,28,1452.562996,1466.527869,13.964873,0.962963,0.381093,24.0
1997-03-09,1997,1,australia,6,58,24,1466.527869,1476.054471,9.526602,0.782609,0.385667,24.0
1997-03-30,1997,2,brazil,11,71,22,1476.054471,1479.262399,3.207928,0.52381,0.390146,24.0
1997-04-13,1997,3,argentina,DNF,63,22,1479.262399,1482.359351,3.096952,0.52381,0.39477,24.0
1997-04-27,1997,4,san-marino,7,61,22,1482.359351,1489.934489,7.575138,0.714286,0.398655,24.0
1997-05-11,1997,5,monaco,DNF,24,22,1489.934489,1490.400863,0.466375,0.428571,0.409139,24.0
