date,year,round,grandPrixId,positionRaw,laps,nParticipants,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed
1971-08-15,1971,8,austria,DNF,20,22,1500.0,1494.719163,-5.280837,0.238095,0.45813,24.0
1972-01-23,1972,1,argentina,11,93,22,1494.719163,1496.429989,1.710826,0.52381,0.452525,24.0
1972-03-04,1972,2,south-africa,7,78,27,1496.429989,1503.911922,7.481933,0.769231,0.457484,24.0
1972-05-01,1972,3,spain,DNF,7,26,1503.911922,1494.638925,-9.272997,0.08,0.466375,24.0
1972-05-14,1972,4,monaco,16,74,25,1494.638925,1492.927165,-1.71176,0.375,0.446323,24.0
1972-06-04,1972,5,belgium,12,82,26,1492.927165,1495.413138,2.485973,0.56,0.456418,24.0
1972-07-02,1972,6,france,DNF,4,29,1495.413138,1488.609371,-6.803768,0.178571,0.462062,24.0
1972-07-15,1972,7,great-britain,9,73,27,1488.609371,1494.44467,5.8353,0.692308,0.44917,24.0
1972-07-30,1972,8,germany,DNF,4,27,1494.44467,1485.460517,-8.984153,0.076923,0.451263,24.0
1972-08-13,1972,9,austria,10,53,26,1485.460517,1490.372595,4.912078,0.64,0.43533,24.0
1972-09-10,1972,10,italy,13,50,27,1490.372595,1492.632733,2.260138,0.538462,0.444289,24.0
1972-09-24,1972,11,canada,DSQ,64,25,1492.632733,1483.979045,-8.653688,0.083333,0.443904,24.0
1972-10-08,1972,12,united-states,NC,49,32,1483.979045,1483.449275,-0.52977,0.419355,0.441429,24.0
1973-01-28,1973,1,argentina,DNF,66,19,1483.449275,1479.458337,-3.990938,0.25,0.416289,24.0
1973-02-11,1973,2,brazil,8,38,20,1479.458337,1484.681132,5.222795,0.631579,0.413963,24.0
1973-03-03,1973,3,south-africa,DNF,26,25,1484.681132,1480.135626,-4.545506,0.25,0.439396,24.0
1973-04-29,1973,4,spain,DNF,28,22,1480.135626,1475.684751,-4.450875,0.238095,0.423548,24.0
1973-05-20,1973,5,belgium,5,69,23,1475.684751,1485.383044,9.698292,0.818182,0.414086,24.0
1973-06-03,1973,6,monaco,DNF,24,26,1485.383044,1478.845157,-6.537886,0.16,0.432412,24.0
1973-06-17,1973,7,sweden,13,75,22,1478.845157,1479.14733,0.302172,0.428571,0.415981,24.0
1973-07-01,1973,8,france,9,54,25,1479.14733,1484.970284,5.822954,0.666667,0.424044,24.0
1973-07-14,1973,9,great-britain,12,63,29,1484.970284,1489.156035,4.185751,0.607143,0.432737,24.0
1973-07-29,1973,10,netherlands,DNF,51,24,1489.156035,1489.229518,0.073483,0.434783,0.431721,24.0
1973-08-05,1973,11,germany,DNF,1,23,1489.229518,1481.084703,-8.144816,0.090909,0.430276,24.0
1973-08-19,1973,12,austria,DNS,,25,1481.084703,1471.495023,-9.589679,0.020833,0.420403,24.0
1973-09-09,1973,13,italy,DNF,33,25,1471.495023,1468.774278,-2.720746,0.291667,0.405031,24.0
1973-09-23,1973,14,canada,DNF,62,26,1468.774278,1463.7147,-5.059577,0.2,0.410816,24.0
1973-10-07,1973,15,united-states,DNF,35,28,1463.7147,1461.738703,-1.975998,0.314815,0.397148,24.0
1974-01-13,1974,1,argentina,2,53,26,1461.738703,1475.104245,13.365542,0.96,0.403102,24.0
