date,year,round,grandPrixId,constructorId,constructorName,positionRaw,laps,nParticipants,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed
1950-05-13,1950,1,great-britain,alfa-romeo,Alfa Romeo,1,70,23,1000.0,1025.0,25.0,1.0,0.5,50.0
1950-05-21,1950,2,monaco,alfa-romeo,Alfa Romeo,DNF,0,21,1025.0,1013.327315,-11.672685,0.3,0.533454,50.0
1950-06-04,1950,4,switzerland,alfa-romeo,Alfa Romeo,1,42,18,1013.327315,1037.765007,24.437691,1.0,0.511246,50.0
1950-06-18,1950,5,belgium,alfa-romeo,Alfa Romeo,4,35,14,1037.765007,1048.793622,11.028615,0.769231,0.548658,50.0
1950-07-02,1950,6,france,alfa-romeo,Alfa Romeo,7,55,19,1048.793622,1048.367467,-0.426155,0.555556,0.564079,50.0
1950-09-03,1950,7,italy,alfa-romeo,Alfa Romeo,1,80,27,1048.367467,1070.253641,21.886174,1.0,0.562277,50.0
1951-05-27,1951,1,switzerland,alfa-romeo,Alfa Romeo,3,42,21,1070.253641,1085.495737,15.242096,0.9,0.595158,50.0
1951-06-17,1951,3,belgium,alfa-romeo,Alfa Romeo,1,36,13,1085.495737,1105.232772,19.737035,1.0,0.605259,50.0
1951-07-01,1951,4,france,alfa-romeo,Alfa Romeo,5,73,23,1105.232772,1109.698406,4.465634,0.727273,0.63796,50.0
1951-07-14,1951,5,great-britain,alfa-romeo,Alfa Romeo,DNF,75,20,1109.698406,1093.477757,-16.220649,0.315789,0.640202,50.0
1951-07-29,1951,6,germany,alfa-romeo,Alfa Romeo,DNF,8,23,1093.477757,1073.430653,-20.047103,0.227273,0.628215,50.0
1951-09-16,1951,7,italy,alfa-romeo,Alfa Romeo,3,,24,1073.430653,1088.424869,14.994216,0.891304,0.59142,50.0
1951-10-28,1951,8,spain,alfa-romeo,Alfa Romeo,3,70,20,1088.424869,1102.89688,14.472011,0.894737,0.605297,50.0
1952-05-18,1952,1,switzerland,ferrari,Ferrari,DNF,16,22,1102.89688,1087.15591,-15.74097,0.333333,0.648153,50.0
1952-06-22,1952,3,belgium,ferrari,Ferrari,2,36,22,1087.15591,1104.238714,17.082805,0.952381,0.610725,50.0
1952-07-06,1952,4,france,ferrari,Ferrari,2,76,21,1104.238714,1119.425039,15.186324,0.95,0.646274,50.0
1952-07-19,1952,5,great-britain,ferrari,Ferrari,6,82,32,1119.425039,1128.114137,8.689099,0.83871,0.664928,50.0
1952-08-03,1952,6,germany,ferrari,Ferrari,2,18,34,1128.114137,1142.902403,14.788265,0.969697,0.673932,50.0
1952-08-17,1952,7,netherlands,ferrari,Ferrari,2,90,18,1142.902403,1155.951323,13.04892,0.941176,0.680198,50.0
1952-09-07,1952,8,italy,ferrari,Ferrari,4,80,35,1155.951323,1166.505442,10.554119,0.911765,0.700682,50.0
1953-01-18,1953,1,argentina,ferrari,Ferrari,DNF,30,17,1166.505442,1141.970216,-24.535226,0.1875,0.678205,50.0
1953-06-07,1953,3,netherlands,ferrari,Ferrari,2,90,20,1141.970216,1156.237915,14.267699,0.947368,0.662014,50.0
1953-06-21,1953,4,belgium,ferrari,Ferrari,DNF,16,22,1156.237915,1141.069291,-15.168623,0.380952,0.684325,50.0
1953-07-05,1953,5,france,ferrari,Ferrari,5,60,25,1141.069291,1149.436548,8.367257,0.833333,0.665988,50.0
1953-07-18,1953,6,great-britain,ferrari,Ferrari,3,88,29,1149.436548,1161.990089,12.553541,0.928571,0.677501,50.0
1953-08-02,1953,7,germany,ferrari,Ferrari,1,18,35,1161.990089,1177.115692,15.125603,1.0,0.697488,50.0
1953-08-23,1953,8,switzerland,ferrari,Ferrari,2,65,23,1177.115692,1189.786626,12.670934,0.954545,0.701127,50.0
1953-09-13,1953,9,italy,ferrari,Ferrari,2,80,31,1189.786626,1201.609833,11.823207,0.966667,0.730203,50.0
1954-01-17,1954,1,argentina,ferrari,Ferrari,2,87,18,1201.609833,1212.08375,10.473918,0.941176,0.731698,50.0
1954-06-20,1954,3,belgium,ferrari,Ferrari,DNF,14,14,1212.08375,1192.720319,-19.363431,0.346154,0.733422,50.0
1955-01-16,1955,1,argentina,ferrari,Ferrari,2,,22,1192.720319,1202.580067,9.859748,0.904762,0.707567,50.0
1955-05-22,1955,2,monaco,ferrari,Ferrari,4,99,24,1202.580067,1207.553681,4.973614,0.826087,0.726615,50.0
1955-06-05,1955,4,belgium,ferrari,Ferrari,3,36,16,1207.553681,1215.298847,7.745166,0.866667,0.711763,50.0
1955-09-11,1955,7,italy,lancia,Lancia,DNS,,23,1215.298847,1180.992461,-34.306386,0.045455,0.731582,50.0
