date,year,round,grandPrixId,positionRaw,laps,nParticipants,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed
2024-03-09,2024,2,saudi-arabia,7,50,20,1500.0,1507.78842,7.78842,0.684211,0.359693,24.0
2024-09-15,2024,17,azerbaijan,10,51,20,1507.78842,1512.103671,4.315251,0.526316,0.346514,24.0
2024-11-03,2024,21,sao-paulo,12,69,20,1512.103671,1513.655903,1.552232,0.421053,0.356376,24.0
2025-03-16,2025,1,australia,14,57,20,1513.655903,1512.421032,-1.234871,0.315789,0.367242,24.0
2025-03-23,2025,2,china,8,56,20,1512.421032,1518.810529,6.389496,0.631579,0.36535,24.0
2025-04-06,2025,3,japan,10,53,20,1518.810529,1522.498487,3.687959,0.526316,0.372651,24.0
2025-04-13,2025,4,bahrain,10,57,20,1522.498487,1526.063493,3.565006,0.526316,0.377774,24.0
2025-04-20,2025,5,saudi-arabia,13,50,20,1526.063493,1525.726731,-0.336762,0.368421,0.382453,24.0
2025-05-04,2025,6,miami,DNF,27,20,1525.726731,1517.808754,-7.917977,0.052632,0.382547,24.0
2025-05-18,2025,7,emilia-romagna,17,63,20,1517.808754,1512.686141,-5.122613,0.157895,0.371337,24.0
2025-05-25,2025,8,monaco,12,76,20,1512.686141,1514.020427,1.334286,0.421053,0.365457,24.0
2025-06-01,2025,9,spain,17,66,20,1514.020427,1508.990371,-5.030056,0.157895,0.36748,24.0
2025-06-15,2025,10,canada,11,69,20,1508.990371,1511.689489,2.699118,0.473684,0.361221,24.0
2025-06-29,2025,11,austria,11,69,20,1511.689489,1514.310448,2.620959,0.473684,0.364478,24.0
2025-07-06,2025,12,great-britain,11,52,20,1514.310448,1516.864675,2.554227,0.473684,0.367258,24.0
2025-07-27,2025,13,belgium,11,44,20,1516.864675,1519.343739,2.479063,0.473684,0.37039,24.0
2025-08-03,2025,14,hungary,DNF,48,20,1519.343739,1510.370545,-8.973194,0.0,0.373883,24.0
2025-08-31,2025,15,netherlands,6,72,20,1510.370545,1519.353149,8.982604,0.736842,0.362567,24.0
2025-09-07,2025,16,italy,12,53,20,1519.353149,1520.516249,1.1631,0.421053,0.37259,24.0
2025-09-21,2025,17,azerbaijan,12,51,20,1520.516249,1521.629048,1.112798,0.421053,0.374686,24.0
2025-10-05,2025,18,singapore,9,62,20,1521.629048,1526.506182,4.877135,0.578947,0.375733,24.0
2025-10-19,2025,19,united-states,9,56,20,1526.506182,1531.220882,4.714699,0.578947,0.382502,24.0
2025-10-26,2025,20,mexico,4,71,20,1531.220882,1542.094254,10.873372,0.842105,0.389048,24.0
2025-11-09,2025,21,sao-paulo,6,71,20,1542.094254,1550.097623,8.003369,0.736842,0.403368,24.0
2025-11-22,2025,22,las-vegas,10,50,20,1550.097623,1552.810438,2.712815,0.526316,0.413282,24.0
2025-11-30,2025,23,qatar,DNF,41,20,1552.810438,1544.086255,-8.724183,0.052632,0.416139,24.0
2025-12-07,2025,24,abu-dhabi,12,58,20,1544.086255,1544.470347,0.384092,0.421053,0.405049,24.0
2026-03-08,2026,1,australia,7,57,22,1544.470347,1551.752959,7.282612,0.714286,0.410844,24.0
2026-03-15,2026,2,china,5,56,22,1551.752959,1561.099132,9.346173,0.809524,0.4201,24.0
