date,year,round,grandPrixId,positionRaw,laps,nParticipants,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed
1989-10-22,1989,15,japan,DNF,0,39,1500.0,1498.146815,-1.853185,0.381579,0.458795,24.0
1990-03-11,1990,1,united-states,DNF,54,35,1498.146815,1501.464863,3.318048,0.588235,0.449983,24.0
1990-03-25,1990,2,brazil,DNF,38,35,1501.464863,1502.684974,1.22011,0.5,0.449162,24.0
1990-05-13,1990,3,san-marino,11,59,35,1502.684974,1508.914295,6.229321,0.705882,0.446327,24.0
1990-05-27,1990,4,monaco,DNF,52,35,1508.914295,1515.287932,6.373637,0.720588,0.45502,24.0
1990-06-10,1990,5,canada,DNQ,,35,1515.287932,1505.2144,-10.073532,0.044118,0.463848,24.0
1990-06-24,1990,6,mexico,14,67,35,1505.2144,1509.23834,4.023939,0.617647,0.449983,24.0
1990-07-08,1990,7,france,DNQ,,35,1509.23834,1499.359462,-9.878878,0.044118,0.455738,24.0
1990-07-15,1990,8,great-britain,12,62,35,1499.359462,1504.980674,5.621212,0.676471,0.442253,24.0
1990-07-29,1990,9,germany,DNQ,,35,1504.980674,1495.940184,-9.04049,0.073529,0.450217,24.0
1990-08-12,1990,10,hungary,15,74,35,1495.940184,1499.54563,3.605446,0.588235,0.438008,24.0
1990-08-26,1990,11,belgium,DNF,0,33,1499.54563,1494.715166,-4.830464,0.234375,0.435644,24.0
1990-09-09,1990,12,italy,DNQ,,33,1494.715166,1485.53954,-9.175626,0.046875,0.429193,24.0
1990-09-23,1990,13,portugal,DNQ,,33,1485.53954,1477.406038,-8.133502,0.078125,0.417021,24.0
1990-09-30,1990,14,spain,DNQ,,33,1477.406038,1469.355147,-8.050891,0.078125,0.413579,24.0
