date,year,round,grandPrixId,positionRaw,laps,nParticipants,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed
1972-07-02,1972,6,france,NC,33,29,1500.0,1496.464586,-3.535414,0.321429,0.468737,24.0
1972-10-08,1972,12,united-states,7,58,32,1496.464586,1504.793656,8.32907,0.806452,0.459407,24.0
1974-01-13,1974,1,argentina,6,53,26,1504.793656,1512.830655,8.036999,0.8,0.465125,24.0
1974-01-27,1974,2,brazil,8,31,25,1512.830655,1518.479468,5.648812,0.708333,0.472966,24.0
1974-03-30,1974,3,south-africa,4,78,27,1518.479468,1527.90273,9.423262,0.884615,0.491979,24.0
1974-04-28,1974,4,spain,8,81,28,1527.90273,1533.56431,5.66158,0.740741,0.504842,24.0
1974-05-12,1974,5,belgium,DNF,53,32,1533.56431,1527.308682,-6.255627,0.258065,0.518716,24.0
1974-05-26,1974,6,monaco,9,75,28,1527.308682,1532.142833,4.834151,0.703704,0.502281,24.0
1974-06-09,1974,7,sweden,2,80,28,1532.142833,1542.970806,10.827973,0.962963,0.511797,24.0
1974-06-23,1974,8,netherlands,6,75,27,1542.970806,1549.794216,6.82341,0.807692,0.523384,24.0
1974-07-07,1974,9,france,8,79,30,1549.794216,1555.102201,5.307986,0.758621,0.537455,24.0
1974-07-20,1974,10,great-britain,DNF,35,35,1555.102201,1552.424964,-2.677237,0.441176,0.552728,24.0
1974-08-04,1974,11,germany,DNF,5,32,1552.424964,1549.953678,-2.471286,0.435484,0.538454,24.0
1974-08-18,1974,12,austria,DNF,42,31,1549.953678,1549.19174,-0.761938,0.5,0.531747,24.0
1974-09-08,1974,13,italy,11,50,31,1549.19174,1552.472495,3.280754,0.666667,0.529969,24.0
1974-09-22,1974,14,canada,5,80,30,1552.472495,1560.41354,7.941046,0.862069,0.531192,24.0
1974-10-06,1974,15,united-states,6,59,30,1560.41354,1567.318745,6.905205,0.827586,0.539869,24.0
1975-01-12,1975,1,argentina,5,53,23,1567.318745,1573.95524,6.636494,0.818182,0.541661,24.0
1975-01-26,1975,2,brazil,DNF,31,23,1573.95524,1566.724268,-7.230972,0.25,0.55129,24.0
1975-03-01,1975,3,south-africa,3,78,28,1566.724268,1575.680214,8.955946,0.925926,0.552762,24.0
1975-04-27,1975,4,spain,DNF,1,26,1575.680214,1565.044514,-10.635699,0.12,0.563154,24.0
1975-05-11,1975,5,monaco,5,75,26,1565.044514,1572.128479,7.083965,0.84,0.544835,24.0
1975-05-25,1975,6,belgium,4,70,24,1572.128479,1579.710658,7.582178,0.869565,0.553641,24.0
1975-06-08,1975,7,sweden,12,78,26,1579.710658,1579.52137,-0.189287,0.56,0.567887,24.0
1975-06-22,1975,8,netherlands,9,73,25,1579.52137,1581.974503,2.453133,0.666667,0.564453,24.0
1975-07-06,1975,9,france,6,54,26,1581.974503,1587.474771,5.500268,0.8,0.570822,24.0
1975-07-19,1975,10,great-britain,9,54,28,1587.474771,1590.313122,2.838351,0.703704,0.585439,24.0
1975-08-03,1975,11,germany,9,13,26,1590.313122,1592.610186,2.297064,0.68,0.584289,24.0
1975-08-17,1975,12,austria,11,28,30,1592.610186,1594.112921,1.502735,0.655172,0.592558,24.0
1975-09-07,1975,13,italy,7,51,28,1594.112921,1598.569198,4.456277,0.777778,0.5921,24.0
1975-10-05,1975,14,united-states,DNF,2,24,1598.569198,1586.990503,-11.578695,0.108696,0.591141,24.0
1976-01-25,1976,1,brazil,2,40,22,1586.990503,1596.353367,9.362863,0.952381,0.562262,24.0
1976-03-06,1976,2,south-africa,9,77,25,1596.353367,1598.433016,2.07965,0.666667,0.580015,24.0
1976-03-28,1976,3,united-states-west,3,80,27,1598.433016,1606.492622,8.059605,0.923077,0.58726,24.0
1976-05-02,1976,4,spain,DNF,25,30,1606.492622,1600.300181,-6.192441,0.344828,0.602846,24.0
1976-05-16,1976,5,belgium,DNF,29,29,1600.300181,1594.673941,-5.62624,0.357143,0.59157,24.0
1976-05-30,1976,6,monaco,3,78,25,1594.673941,1602.900475,8.226533,0.916667,0.573894,24.0
1976-06-13,1976,7,sweden,2,72,27,1602.900475,1611.761879,8.861404,0.961538,0.592313,24.0
1976-07-04,1976,8,france,2,54,30,1611.761879,1620.273195,8.511317,0.965517,0.610879,24.0
1976-07-18,1976,9,great-britain,DNF,47,30,1620.273195,1619.39282,-0.880375,0.586207,0.622889,24.0
1976-08-01,1976,10,germany,DNF,0,28,1619.39282,1609.947234,-9.445586,0.222222,0.615788,24.0
1976-08-15,1976,11,austria,DNF,24,25,1609.947234,1599.17514,-10.772095,0.166667,0.615504,24.0
1976-08-29,1976,12,netherlands,7,75,27,1599.17514,1603.463041,4.287901,0.769231,0.590568,24.0
1976-09-12,1976,13,italy,6,52,29,1603.463041,1608.954623,5.491582,0.821429,0.592613,24.0
1976-10-03,1976,14,canada,2,80,27,1608.954623,1617.667929,8.713306,0.961538,0.598484,24.0
1976-10-10,1976,15,united-states,DNF,7,27,1617.667929,1603.968699,-13.69923,0.038462,0.609263,24.0
1976-10-24,1976,16,japan,2,72,27,1603.968699,1612.847665,8.878966,0.961538,0.591582,24.0
1977-01-09,1977,1,argentina,DNF,32,21,1612.847665,1608.510066,-4.337599,0.4,0.580733,24.0
1977-01-23,1977,2,brazil,DNF,23,22,1608.510066,1604.875761,-3.634305,0.428571,0.580001,24.0
1977-03-05,1977,3,south-africa,3,78,23,1604.875761,1612.87011,7.994348,0.909091,0.575993,24.0
1977-04-03,1977,4,united-states-west,4,80,22,1612.87011,1619.371979,6.50187,0.857143,0.586232,24.0
1977-05-08,1977,5,spain,DNF,12,31,1619.371979,1612.422025,-6.949954,0.333333,0.622915,24.0
1977-05-22,1977,6,monaco,DNF,46,26,1612.422025,1608.600782,-3.821243,0.44,0.599218,24.0
1977-06-05,1977,7,belgium,8,69,32,1608.600782,1612.524122,3.92334,0.774194,0.610721,24.0
1977-06-19,1977,8,sweden,4,72,31,1612.524122,1619.397728,6.873606,0.9,0.6136,24.0
1977-07-03,1977,9,france,DNF,21,30,1619.397728,1613.616912,-5.780816,0.37931,0.620178,24.0
