date,year,round,grandPrixId,positionRaw,laps,nParticipants,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed
1958-07-06,1958,6,france,7,49,21,1500.0,1505.761622,5.761622,0.7,0.459932,24.0
1958-08-03,1958,8,germany,9,15,26,1505.761622,1510.300799,4.539177,0.68,0.490868,24.0
1958-09-07,1958,10,italy,3,70,21,1510.300799,1520.087744,9.786945,0.9,0.492211,24.0
1958-10-19,1958,11,morocco,3,53,25,1520.087744,1529.768045,9.680301,0.916667,0.513321,24.0
1959-05-10,1959,1,monaco,4,97,24,1529.768045,1537.84079,8.072745,0.869565,0.533201,24.0
1959-05-31,1959,3,netherlands,6,73,15,1537.84079,1540.543881,2.703092,0.642857,0.530228,24.0
1959-07-05,1959,4,france,2,50,22,1540.543881,1550.358799,9.814917,0.952381,0.543426,24.0
1959-08-02,1959,6,germany,3,60,17,1550.358799,1558.307857,7.949058,0.875,0.543789,24.0
1959-08-23,1959,7,portugal,DNF,5,16,1558.307857,1547.324261,-10.983595,0.1,0.55765,24.0
1959-09-13,1959,8,italy,2,72,21,1547.324261,1556.86992,9.545659,0.95,0.552264,24.0
1959-12-12,1959,9,united-states,DNF,8,19,1556.86992,1552.775088,-4.094833,0.388889,0.559507,24.0
1960-02-07,1960,1,argentina,8,77,22,1552.775088,1554.361467,1.58638,0.619048,0.552948,24.0
1960-05-29,1960,2,monaco,3,100,25,1554.361467,1562.888333,8.526865,0.916667,0.561381,24.0
1960-06-06,1960,4,netherlands,DNF,54,21,1562.888333,1561.920468,-0.967865,0.525,0.565328,24.0
1960-06-19,1960,5,belgium,4,35,19,1561.920468,1568.240581,6.320113,0.833333,0.569995,24.0
1960-07-03,1960,6,france,12,29,23,1568.240581,1566.240802,-1.999779,0.5,0.583324,24.0
1960-07-16,1960,7,great-britain,7,75,25,1566.240802,1570.233198,3.992396,0.75,0.58365,24.0
1960-08-14,1960,8,portugal,DNF,29,16,1570.233198,1566.353159,-3.88004,0.4,0.561668,24.0
1960-09-04,1960,9,italy,1,50,17,1566.353159,1575.885463,9.532304,1.0,0.602821,24.0
1960-11-20,1960,10,united-states,6,74,23,1575.885463,1580.404371,4.518908,0.772727,0.584439,24.0
1961-05-14,1961,1,monaco,3,100,21,1580.404371,1588.082491,7.678121,0.9,0.580078,24.0
1961-05-22,1961,2,netherlands,2,75,17,1588.082491,1596.339189,8.256697,0.9375,0.593471,24.0
1961-06-18,1961,3,belgium,1,30,26,1596.339189,1605.696353,9.357164,1.0,0.610118,24.0
1961-07-02,1961,4,france,9,50,28,1605.696353,1607.517478,1.821125,0.703704,0.627823,24.0
1961-07-15,1961,5,great-britain,2,75,30,1607.517478,1615.459018,7.941541,0.965517,0.63462,24.0
1961-08-06,1961,6,germany,3,15,27,1615.459018,1622.339126,6.880107,0.923077,0.636406,24.0
1961-09-10,1961,7,italy,1,43,34,1622.339126,1630.693985,8.354859,1.0,0.651881,24.0
1962-05-20,1962,1,netherlands,3,80,20,1630.693985,1636.371342,5.677357,0.894737,0.65818,24.0
1962-06-03,1962,2,monaco,2,100,22,1636.371342,1643.330163,6.958822,0.952381,0.66243,24.0
1962-06-17,1962,3,belgium,3,32,20,1643.330163,1648.657033,5.32687,0.894737,0.672784,24.0
1962-07-21,1962,5,great-britain,DNF,46,21,1648.657033,1637.037303,-11.619729,0.2,0.684155,24.0
1962-08-05,1962,6,germany,DNF,9,30,1637.037303,1630.378375,-6.658928,0.396552,0.674007,24.0
1962-09-16,1962,7,italy,11,81,30,1630.378375,1630.168733,-0.209643,0.655172,0.663908,24.0
1962-10-07,1962,8,united-states,DNS,,21,1630.168733,1615.889422,-14.27931,0.05,0.644971,24.0
1963-06-09,1963,2,belgium,DNF,13,20,1615.889422,1608.508569,-7.380853,0.315789,0.623325,24.0
1963-06-23,1963,3,netherlands,DNF,15,19,1608.508569,1597.883671,-10.624899,0.166667,0.609371,24.0
1963-06-30,1963,4,france,NC,34,21,1597.883671,1591.981517,-5.902153,0.35,0.595923,24.0
1963-09-08,1963,7,italy,11,79,28,1591.981517,1592.784299,0.802781,0.62963,0.59618,24.0
