date,year,round,grandPrixId,positionRaw,laps,nParticipants,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed
1984-03-25,1984,1,brazil,DNF,24,27,1500.0,1496.742267,-3.257733,0.307692,0.443431,24.0
1984-04-07,1984,2,south-africa,DNF,24,27,1496.742267,1491.747858,-4.99441,0.230769,0.43887,24.0
1984-04-29,1984,3,belgium,DNQ,,27,1491.747858,1483.233765,-8.514092,0.076923,0.431677,24.0
1984-05-06,1984,4,san-marino,DNF,53,28,1483.233765,1489.113403,5.879638,0.666667,0.421682,24.0
1984-05-20,1984,5,france,DNF,4,27,1489.113403,1481.610299,-7.503104,0.115385,0.428014,24.0
1984-06-03,1984,6,monaco,DNQ,,27,1481.610299,1475.745259,-5.865041,0.173077,0.417454,24.0
1984-06-17,1984,7,canada,10,65,27,1475.745259,1481.559728,5.814469,0.653846,0.411577,24.0
1984-06-24,1984,8,detroit,DNF,33,27,1481.559728,1487.217149,5.657421,0.653846,0.41812,24.0
1984-07-08,1984,9,dallas,DNS,,27,1487.217149,1478.823009,-8.394141,0.076923,0.426679,24.0
1984-07-22,1984,10,great-britain,DNF,0,28,1478.823009,1472.455254,-6.367754,0.148148,0.413471,24.0
1984-08-05,1984,11,germany,DNF,7,27,1472.455254,1466.604221,-5.851033,0.153846,0.397639,24.0
1984-08-19,1984,12,austria,11,48,28,1466.604221,1472.243301,5.63908,0.62963,0.394668,24.0
1984-08-26,1984,13,netherlands,10,67,27,1472.243301,1478.324419,6.081119,0.653846,0.400466,24.0
1984-09-09,1984,14,italy,DNF,6,27,1478.324419,1472.319727,-6.004692,0.153846,0.404042,24.0
1984-10-07,1984,15,europe,DNF,37,26,1472.319727,1472.121661,-0.198067,0.38,0.388253,24.0
1984-10-21,1984,16,portugal,DNF,2,27,1472.121661,1462.681868,-9.439793,0.0,0.393325,24.0
1985-04-07,1985,1,brazil,9,58,25,1462.681868,1469.495253,6.813386,0.666667,0.382776,24.0
1985-04-21,1985,2,portugal,DNF,3,26,1469.495253,1461.127117,-8.368136,0.06,0.408672,24.0
1985-05-05,1985,3,san-marino,DNF,24,26,1461.127117,1462.158355,1.031238,0.44,0.397032,24.0
1985-05-19,1985,4,monaco,DNQ,,26,1462.158355,1454.992849,-7.165506,0.1,0.398563,24.0
1985-06-16,1985,5,canada,DNF,28,25,1454.992849,1449.844431,-5.148419,0.166667,0.381184,24.0
1985-06-23,1985,6,detroit,DNF,27,25,1449.844431,1450.862593,1.018162,0.416667,0.374243,24.0
1985-07-07,1985,7,france,DNF,8,26,1450.862593,1446.575052,-4.287541,0.2,0.378648,24.0
1985-07-21,1985,8,great-britain,DNF,0,26,1446.575052,1439.065626,-7.509426,0.06,0.372893,24.0
1985-08-04,1985,9,germany,DNF,8,27,1439.065626,1433.591774,-5.473852,0.134615,0.362693,24.0
1985-08-18,1985,10,austria,DNF,16,27,1433.591774,1429.647307,-3.944467,0.192308,0.35666,24.0
1985-08-25,1985,11,netherlands,DNF,52,27,1429.647307,1434.131886,4.48458,0.538462,0.351604,24.0
1985-09-08,1985,12,italy,DNF,19,26,1434.131886,1432.630093,-1.501794,0.28,0.342575,24.0
1985-09-15,1985,13,belgium,DNF,10,25,1432.630093,1428.387193,-4.242899,0.166667,0.343454,24.0
1985-10-06,1985,14,europe,DNF,31,27,1428.387193,1426.851187,-1.536006,0.269231,0.333231,24.0
1986-07-27,1986,10,germany,DNF,11,26,1426.851187,1422.487162,-4.364025,0.16,0.341834,24.0
1986-08-10,1986,11,hungary,9,73,26,1422.487162,1430.730817,8.243655,0.68,0.336514,24.0
1986-08-17,1986,12,austria,DNF,16,26,1430.730817,1431.999987,1.26917,0.4,0.347118,24.0
1986-09-07,1986,13,italy,DNF,22,27,1431.999987,1431.935354,-0.064632,0.346154,0.348847,24.0
