date,year,round,grandPrixId,positionRaw,laps,nParticipants,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed
1984-09-09,1984,14,italy,DNQ,,27,1500.0,1490.492257,-9.507743,0.038462,0.434618,24.0
1985-04-07,1985,1,brazil,DNF,41,25,1490.492257,1488.37731,-2.114947,0.333333,0.421456,24.0
1985-04-21,1985,2,portugal,DNF,12,26,1488.37731,1482.251131,-6.126179,0.18,0.435257,24.0
1985-05-05,1985,3,san-marino,DNF,14,26,1482.251131,1479.692517,-2.558614,0.32,0.426609,24.0
1985-05-19,1985,4,monaco,DNQ,,26,1479.692517,1471.938275,-7.754242,0.1,0.423093,24.0
1985-06-16,1985,5,canada,DNF,57,25,1471.938275,1469.228337,-2.709939,0.291667,0.404581,24.0
1985-06-23,1985,6,detroit,DNF,11,25,1469.228337,1463.607208,-5.621129,0.166667,0.40088,24.0
1985-07-07,1985,7,france,DNF,19,26,1463.607208,1459.8595,-3.747708,0.24,0.396154,24.0
1985-07-21,1985,8,great-britain,DNF,38,26,1459.8595,1461.034164,1.174665,0.44,0.391056,24.0
1985-08-04,1985,9,germany,11,62,27,1461.034164,1466.380181,5.346016,0.615385,0.392634,24.0
1985-08-18,1985,10,austria,DNF,40,27,1466.380181,1470.594994,4.214813,0.576923,0.401306,24.0
1985-08-25,1985,11,netherlands,DNF,1,27,1470.594994,1462.665805,-7.929189,0.076923,0.407306,24.0
1985-09-08,1985,12,italy,DNS,,26,1462.665805,1454.012438,-8.653366,0.02,0.380557,24.0
1985-09-15,1985,13,belgium,12,38,25,1454.012438,1458.083847,4.071409,0.541667,0.372025,24.0
1985-10-06,1985,14,europe,DNF,3,27,1458.083847,1450.069262,-8.014585,0.038462,0.372403,24.0
1985-10-19,1985,15,south-africa,DNF,45,21,1450.069262,1456.088947,6.019685,0.6,0.34918,24.0
1985-11-03,1985,16,australia,8,78,25,1456.088947,1464.443879,8.354933,0.708333,0.360211,24.0
1988-06-19,1988,6,detroit,6,62,31,1464.443879,1474.721001,10.277122,0.833333,0.40512,24.0
1988-07-03,1988,7,france,15,77,31,1474.721001,1477.457461,2.73646,0.533333,0.419314,24.0
1988-07-10,1988,8,great-britain,15,63,31,1477.457461,1480.100143,2.642683,0.533333,0.423222,24.0
1988-07-24,1988,9,germany,DNQ,,31,1480.100143,1471.05731,-9.042833,0.05,0.426785,24.0
1988-08-07,1988,10,hungary,DNF,8,31,1471.05731,1467.114703,-3.942607,0.25,0.414275,24.0
1988-08-28,1988,11,belgium,DNQ,,31,1467.114703,1458.372074,-8.74263,0.05,0.414276,24.0
1988-09-11,1988,12,italy,DNF,15,31,1458.372074,1455.895733,-2.476341,0.3,0.403181,24.0
1988-09-25,1988,13,portugal,DNF,27,31,1455.895733,1455.229652,-0.666081,0.366667,0.39442,24.0
1988-10-02,1988,14,spain,DNF,15,31,1455.229652,1452.58125,-2.648402,0.283333,0.393683,24.0
1988-10-30,1988,15,japan,13,49,31,1452.58125,1457.579969,4.998718,0.6,0.39172,24.0
1988-11-13,1988,16,australia,7,80,31,1457.579969,1467.211156,9.631187,0.8,0.398701,24.0
1989-03-26,1989,1,brazil,DNF,2,38,1467.211156,1467.012935,-0.19822,0.405405,0.413665,24.0
