date,year,round,grandPrixId,positionRaw,laps,nParticipants,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed
1988-11-13,1988,16,australia,DNQ,,31,1500.0,1490.224648,-9.775352,0.05,0.457306,24.0
1989-03-26,1989,1,brazil,DNPQ,,38,1490.224648,1485.040781,-5.183867,0.22973,0.445724,24.0
1989-04-23,1989,2,san-marino,DNPQ,,39,1485.040781,1480.13379,-4.906991,0.236842,0.4413,24.0
1989-05-07,1989,3,monaco,DNF,19,38,1480.13379,1479.363603,-0.770188,0.405405,0.437497,24.0
1989-05-28,1989,4,mexico,DNPQ,,39,1479.363603,1474.009407,-5.354195,0.210526,0.433618,24.0
1989-06-04,1989,5,united-states,DNPQ,,39,1474.009407,1469.462824,-4.546584,0.236842,0.426283,24.0
1989-06-18,1989,6,canada,DNPQ,,39,1469.462824,1466.327698,-3.135126,0.289474,0.420104,24.0
1989-07-09,1989,7,france,DNPQ,,39,1466.327698,1461.255428,-5.07227,0.210526,0.421871,24.0
1989-07-16,1989,8,great-britain,DNPQ,,39,1461.255428,1456.421402,-4.834026,0.210526,0.411944,24.0
1989-07-30,1989,9,germany,DNPQ,,39,1456.421402,1451.816914,-4.604489,0.210526,0.40238,24.0
1989-08-13,1989,10,hungary,DNPQ,,39,1451.816914,1447.354837,-4.462077,0.210526,0.396446,24.0
1989-08-27,1989,11,belgium,DNQ,,39,1447.354837,1438.972863,-8.381974,0.039474,0.388723,24.0
1989-09-10,1989,12,italy,DNQ,,39,1438.972863,1430.531611,-8.441251,0.026316,0.378035,24.0
1989-09-24,1989,13,portugal,DNQ,,39,1430.531611,1422.671742,-7.859869,0.039474,0.366968,24.0
1989-10-01,1989,14,spain,DNQ,,38,1422.671742,1414.714107,-7.957635,0.027027,0.358595,24.0
1989-10-22,1989,15,japan,DNQ,,39,1414.714107,1407.39397,-7.320137,0.039474,0.344479,24.0
1989-11-05,1989,16,australia,DNQ,,39,1407.39397,1400.313203,-7.080767,0.039474,0.334506,24.0
