date,year,round,grandPrixId,positionRaw,laps,nParticipants,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed
1966-08-07,1966,6,germany,DNF,3,30,1500.0,1494.8198,-5.1802,0.241379,0.457221,24.0
1967-01-02,1967,1,south-africa,DNF,51,18,1494.8198,1495.813132,0.993332,0.470588,0.429199,24.0
1967-05-07,1967,2,monaco,DNF,64,19,1495.813132,1500.433066,4.619934,0.611111,0.418614,24.0
1967-07-15,1967,6,great-britain,DNS,,21,1500.433066,1489.746573,-10.686492,0.0,0.445271,24.0
1968-05-12,1968,2,spain,DNF,52,14,1489.746573,1487.012955,-2.733618,0.307692,0.421593,24.0
1968-05-26,1968,3,monaco,DNF,12,18,1487.012955,1490.815637,3.802682,0.588235,0.42979,24.0
1968-06-09,1968,4,belgium,DNF,22,18,1490.815637,1493.096681,2.281043,0.529412,0.434368,24.0
1968-06-23,1968,5,netherlands,DNF,50,19,1493.096681,1489.926478,-3.170203,0.305556,0.437647,24.0
1968-07-07,1968,6,france,6,57,18,1489.926478,1496.490015,6.563538,0.705882,0.432402,24.0
1968-07-20,1968,7,great-britain,8,72,20,1496.490015,1501.011739,4.521724,0.631579,0.443174,24.0
1968-08-04,1968,8,germany,8,14,21,1501.011739,1505.740025,4.728285,0.65,0.452988,24.0
1968-09-08,1968,9,italy,4,67,24,1505.740025,1515.386247,9.646222,0.869565,0.467639,24.0
1968-09-22,1968,10,canada,DNF,22,22,1515.386247,1509.711283,-5.674963,0.238095,0.474552,24.0
1968-10-06,1968,11,united-states,DNF,93,21,1509.711283,1515.294896,5.583613,0.7,0.467349,24.0
1968-11-03,1968,12,mexico,DNF,25,21,1515.294896,1513.595036,-1.69986,0.4,0.470828,24.0
1969-05-04,1969,2,spain,DNF,18,14,1513.595036,1506.771536,-6.8235,0.153846,0.438159,24.0
1969-05-18,1969,3,monaco,2,80,16,1506.771536,1518.593791,11.822256,0.933333,0.440739,24.0
1969-06-21,1969,4,netherlands,DNF,12,15,1518.593791,1509.245454,-9.348337,0.071429,0.460943,24.0
1969-07-06,1969,5,france,DNF,21,13,1509.245454,1500.483171,-8.762283,0.083333,0.448428,24.0
1969-07-19,1969,6,great-britain,5,83,17,1500.483171,1507.895415,7.412244,0.75,0.441157,24.0
1969-08-03,1969,7,germany,DNF,1,26,1507.895415,1503.167048,-4.728367,0.28,0.477015,24.0
1969-09-07,1969,8,italy,5,68,16,1503.167048,1510.256853,7.089805,0.733333,0.437925,24.0
1969-09-20,1969,9,canada,DNF,13,20,1510.256853,1505.456068,-4.800786,0.263158,0.463191,24.0
1969-10-05,1969,10,united-states,2,108,18,1505.456068,1517.286311,11.830244,0.941176,0.44825,24.0
1969-10-19,1969,11,mexico,10,61,17,1517.286311,1516.486564,-0.799748,0.4375,0.470823,24.0
1970-03-07,1970,1,south-africa,DNF,39,23,1516.486564,1510.000319,-6.486245,0.204545,0.474806,24.0
1970-04-19,1970,2,spain,DNS,,22,1510.000319,1498.866838,-11.133481,0.0,0.463895,24.0
1970-05-10,1970,3,monaco,NC,58,21,1498.866838,1501.447322,2.580484,0.55,0.44248,24.0
1970-06-07,1970,4,belgium,DNF,4,18,1501.447322,1493.365565,-8.081756,0.117647,0.454387,24.0
1970-06-21,1970,5,netherlands,DNF,22,24,1493.365565,1490.310083,-3.055482,0.326087,0.453399,24.0
