date,year,round,grandPrixId,careerRaceNumber,constructorId,constructorName,positionRaw,laps,nParticipants,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed
1997-03-09,1997,1,australia,598,jordan,Jordan,DNF,1,24,1000.0,993.072047,-6.927953,0.26087,0.399429,50.0
1997-03-30,1997,2,brazil,599,jordan,Jordan,DNF,52,22,993.072047,981.351182,-11.720865,0.142857,0.377274,50.0
1997-04-13,1997,3,argentina,600,jordan,Jordan,3,72,22,981.351182,1008.482489,27.131307,0.904762,0.362136,50.0
1997-04-27,1997,4,san-marino,601,jordan,Jordan,DNF,17,22,1008.482489,1000.506186,-7.976303,0.238095,0.397621,50.0
1997-05-11,1997,5,monaco,602,jordan,Jordan,DNF,10,22,1000.506186,995.479011,-5.027175,0.285714,0.386258,50.0
1997-05-25,1997,6,spain,603,jordan,Jordan,DNF,50,22,995.479011,988.501746,-6.977265,0.238095,0.377641,50.0
1997-06-15,1997,7,canada,604,jordan,Jordan,DNF,14,22,988.501746,981.449943,-7.051803,0.238095,0.379131,50.0
1997-06-29,1997,8,france,605,jordan,Jordan,6,72,22,981.449943,1000.35756,18.907617,0.761905,0.383752,50.0
1997-07-13,1997,9,great-britain,606,jordan,Jordan,5,59,22,1000.35756,1020.309688,19.952128,0.809524,0.410481,50.0
1997-07-27,1997,10,germany,607,jordan,Jordan,5,45,22,1020.309688,1039.342582,19.032894,0.809524,0.428866,50.0
1997-08-10,1997,11,hungary,608,jordan,Jordan,5,77,22,1039.342582,1057.140299,17.797717,0.809524,0.453569,50.0
1997-08-24,1997,12,belgium,609,jordan,Jordan,DNF,21,22,1057.140299,1045.096524,-12.043775,0.238095,0.478971,50.0
1997-09-07,1997,13,italy,610,jordan,Jordan,DNF,39,22,1045.096524,1036.26959,-8.826934,0.285714,0.462253,50.0
1997-09-21,1997,14,austria,611,jordan,Jordan,5,71,22,1036.26959,1054.245885,17.976295,0.809524,0.449998,50.0
1997-09-28,1997,15,luxembourg,612,jordan,Jordan,DNF,0,22,1054.245885,1032.056969,-22.188916,0.02381,0.467588,50.0
1997-10-12,1997,16,japan,613,jordan,Jordan,9,53,22,1032.056969,1041.17721,9.120241,0.619048,0.436643,50.0
1997-10-26,1997,17,europe,614,jordan,Jordan,DNF,44,22,1041.17721,1023.430563,-17.746648,0.095238,0.450171,50.0
1998-03-08,1998,1,australia,615,jordan,Jordan,DNF,1,22,1023.430563,1006.865353,-16.56521,0.095238,0.426542,50.0
1998-03-29,1998,2,brazil,616,jordan,Jordan,DNF,0,22,1006.865353,989.062894,-17.802459,0.047619,0.403668,50.0
1998-04-12,1998,3,argentina,617,jordan,Jordan,DNF,22,22,989.062894,977.19826,-11.864634,0.142857,0.38015,50.0
1998-04-26,1998,4,san-marino,618,jordan,Jordan,7,60,22,977.19826,994.678575,17.480314,0.714286,0.364679,50.0
1998-05-10,1998,5,spain,619,jordan,Jordan,11,63,22,994.678575,1001.445504,6.76693,0.52381,0.388471,50.0
1998-05-24,1998,6,monaco,620,jordan,Jordan,DNF,44,22,1001.445504,998.215756,-3.229748,0.333333,0.397928,50.0
1998-06-07,1998,7,canada,621,jordan,Jordan,DNF,0,22,998.215756,983.32993,-14.885827,0.095238,0.392955,50.0
1998-06-28,1998,8,france,622,jordan,Jordan,16,68,22,983.32993,979.102983,-4.226947,0.285714,0.370253,50.0
1998-07-12,1998,9,great-britain,623,jordan,Jordan,6,59,22,979.102983,998.909606,19.806623,0.761905,0.365772,50.0
1998-07-26,1998,10,austria,624,jordan,Jordan,5,71,22,998.909606,1019.750875,20.841269,0.809524,0.392698,50.0
1998-08-02,1998,11,germany,625,jordan,Jordan,6,45,22,1019.750875,1036.762323,17.011447,0.761905,0.421676,50.0
1998-08-16,1998,12,hungary,626,jordan,Jordan,9,76,22,1036.762323,1045.430165,8.667842,0.619048,0.445691,50.0
1998-08-30,1998,13,belgium,627,jordan,Jordan,2,44,22,1045.430165,1070.150302,24.720137,0.952381,0.457978,50.0
1998-09-13,1998,14,italy,628,jordan,Jordan,3,53,22,1070.150302,1090.818929,20.668627,0.904762,0.491389,50.0
1998-09-27,1998,15,luxembourg,629,jordan,Jordan,DNF,53,22,1090.818929,1074.32923,-16.489699,0.190476,0.52027,50.0
1998-11-01,1998,16,japan,630,jordan,Jordan,DNF,13,22,1074.32923,1054.205677,-20.123553,0.095238,0.497709,50.0
1999-03-07,1999,1,australia,631,williams,Williams,3,57,22,1054.205677,1076.486723,22.281046,0.904762,0.459141,50.0
