date,year,round,grandPrixId,careerRaceNumber,constructorId,constructorName,positionRaw,laps,nParticipants,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed
1979-09-30,1979,14,canada,327,brabham,Brabham,7,68,29,1000.0,1019.174988,19.174988,0.785714,0.402215,50.0
1979-10-07,1979,15,united-states,328,brabham,Brabham,DNF,25,30,1019.174988,1023.541255,4.366267,0.517241,0.429916,50.0
1980-01-13,1980,1,argentina,329,brabham,Brabham,7,51,28,1023.541255,1041.759007,18.217752,0.777778,0.413423,50.0
1980-01-27,1980,2,brazil,330,brabham,Brabham,8,39,28,1041.759007,1056.885939,15.126932,0.740741,0.438202,50.0
1980-03-01,1980,3,south-africa,331,brabham,Brabham,10,77,28,1056.885939,1067.3869,10.50096,0.666667,0.456647,50.0
1980-03-30,1980,4,united-states-west,332,brabham,Brabham,DNF,0,27,1067.3869,1051.757056,-15.629843,0.153846,0.466443,50.0
1980-05-04,1980,5,belgium,333,brabham,Brabham,DNF,5,27,1051.757056,1038.880645,-12.876411,0.192308,0.449836,50.0
1980-05-18,1980,6,monaco,334,brabham,Brabham,DNQ,,27,1038.880645,1023.040999,-15.839647,0.115385,0.432178,50.0
1980-06-29,1980,7,france,335,brabham,Brabham,DNF,0,27,1023.040999,1009.277139,-13.763859,0.134615,0.409893,50.0
1981-03-29,1981,2,brazil,344,tyrrell,Tyrrell,13,57,31,1009.277139,1018.32713,9.049991,0.6,0.419,50.0
1981-04-12,1981,3,argentina,345,tyrrell,Tyrrell,13,51,29,1018.32713,1025.33495,7.00782,0.571429,0.431272,50.0
