date,year,round,grandPrixId,careerRaceNumber,constructorId,constructorName,positionRaw,laps,nParticipants,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed
1960-05-29,1960,2,monaco,86,ferrari,Ferrari,6,70,25,1000.0,1016.543596,16.543596,0.791667,0.460795,50.0
1960-06-06,1960,4,netherlands,88,ferrari,Ferrari,6,74,21,1016.543596,1030.619248,14.075652,0.75,0.468487,50.0
1960-07-03,1960,6,france,90,scarab,Scarab,DNS,,23,1030.619248,1007.591576,-23.027672,0.045455,0.506008,50.0
1960-09-04,1960,9,italy,93,ferrari,Ferrari,2,50,17,1007.591576,1028.721296,21.12972,0.9375,0.514906,50.0
1961-05-14,1961,1,monaco,95,ferrari,Ferrari,2,100,21,1028.721296,1052.73232,24.011024,0.95,0.46978,50.0
1961-05-22,1961,2,netherlands,96,ferrari,Ferrari,5,75,17,1052.73232,1064.823583,12.091263,0.75,0.508175,50.0
1961-06-18,1961,3,belgium,97,ferrari,Ferrari,3,30,26,1064.823583,1083.952805,19.129223,0.92,0.537416,50.0
1961-07-02,1961,4,france,98,ferrari,Ferrari,15,40,28,1083.952805,1079.335307,-4.617499,0.481481,0.573831,50.0
1961-07-15,1961,5,great-britain,99,ferrari,Ferrari,3,75,30,1079.335307,1097.126052,17.790746,0.931034,0.57522,50.0
1961-08-06,1961,6,germany,100,ferrari,Ferrari,8,15,27,1097.126052,1104.501124,7.375072,0.730769,0.583268,50.0
1961-09-10,1961,7,italy,101,ferrari,Ferrari,DNF,23,34,1104.501124,1104.412333,-0.088791,0.606061,0.607836,50.0
1962-05-20,1962,1,netherlands,103,brm,BRM,DNF,71,20,1104.412333,1098.624318,-5.788015,0.473684,0.589445,50.0
1962-06-03,1962,2,monaco,104,brm,BRM,DNF,0,22,1098.624318,1086.411252,-12.213065,0.333333,0.577595,50.0
1962-06-17,1962,3,belgium,105,brm,BRM,DNF,22,20,1086.411252,1072.668511,-13.742741,0.289474,0.564329,50.0
1962-07-08,1962,4,france,106,brm,BRM,3,52,17,1072.668511,1089.260396,16.591885,0.875,0.543162,50.0
1962-07-21,1962,5,great-britain,107,brm,BRM,13,70,21,1089.260396,1080.591863,-8.668534,0.4,0.573371,50.0
1962-08-05,1962,6,germany,108,brm,BRM,8,15,30,1080.591863,1089.723934,9.132071,0.758621,0.575979,50.0
1962-09-16,1962,7,italy,109,brm,BRM,2,86,30,1089.723934,1108.721767,18.997833,0.965517,0.585561,50.0
1962-10-07,1962,8,united-states,110,brm,BRM,DNF,35,21,1108.721767,1097.355797,-11.36597,0.35,0.577319,50.0
1962-12-29,1962,9,south-africa,111,brm,BRM,7,78,17,1097.355797,1099.773726,2.417929,0.625,0.576641,50.0
1963-05-26,1963,1,monaco,112,brm,BRM,2,100,17,1099.773726,1118.452995,18.679269,0.9375,0.563915,50.0
1963-06-09,1963,2,belgium,113,brm,BRM,4,31,20,1118.452995,1131.231,12.778005,0.842105,0.586545,50.0
1963-06-23,1963,3,netherlands,114,brm,BRM,5,79,19,1131.231,1140.134477,8.903476,0.777778,0.599708,50.0
1963-06-30,1963,4,france,115,brm,BRM,DNF,4,21,1140.134477,1114.275628,-25.858849,0.1,0.617177,50.0
1963-07-20,1963,5,great-britain,116,brm,BRM,4,81,23,1114.275628,1127.699629,13.424,0.863636,0.595156,50.0
1963-08-04,1963,6,germany,117,brm,BRM,3,15,26,1127.699629,1142.340199,14.640571,0.92,0.627189,50.0
1963-09-08,1963,7,italy,118,brm,BRM,2,86,28,1142.340199,1158.684407,16.344207,0.962963,0.636079,50.0
1963-10-06,1963,8,united-states,119,brm,BRM,2,110,21,1158.684407,1174.540623,15.856217,0.95,0.632876,50.0
1963-10-27,1963,9,mexico,120,brm,BRM,3,65,22,1174.540623,1186.778817,12.238194,0.904762,0.659998,50.0
