date,year,round,grandPrixId,positionRaw,laps,nParticipants,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed
1973-07-01,1973,8,france,15,51,25,1500.0,1499.104601,-0.895399,0.416667,0.453975,24.0
1973-07-14,1973,9,great-britain,13,61,29,1499.104601,1501.947779,2.843178,0.571429,0.452963,24.0
1973-07-29,1973,10,netherlands,DNS,,24,1501.947779,1491.146066,-10.801712,0.0,0.450071,24.0
1973-08-19,1973,12,austria,DNF,34,25,1491.146066,1491.712225,0.566158,0.458333,0.434743,24.0
1973-09-09,1973,13,italy,DNF,10,25,1491.712225,1484.304073,-7.408152,0.125,0.433673,24.0
1973-09-23,1973,14,canada,NC,68,26,1484.304073,1479.676286,-4.627787,0.24,0.432824,24.0
1973-10-07,1973,15,united-states,DNF,0,28,1479.676286,1473.162565,-6.513721,0.148148,0.419553,24.0
1974-01-13,1974,1,argentina,DNS,,26,1473.162565,1463.097732,-10.064833,0.0,0.419368,24.0
1974-04-28,1974,4,spain,DNF,14,28,1463.097732,1457.676508,-5.421224,0.185185,0.41107,24.0
1974-05-12,1974,5,belgium,DNF,49,32,1457.676508,1451.73135,-5.945158,0.16129,0.409005,24.0
1974-05-26,1974,6,monaco,DNQ,,28,1451.73135,1444.068664,-7.662686,0.074074,0.393353,24.0
1974-06-09,1974,7,sweden,9,79,28,1444.068664,1451.71472,7.646056,0.703704,0.385118,24.0
1974-06-23,1974,8,netherlands,9,73,27,1451.71472,1458.934789,7.220069,0.692308,0.391471,24.0
1974-07-07,1974,9,france,DNQ,,30,1458.934789,1452.085303,-6.849486,0.12069,0.406085,24.0
