date,year,round,grandPrixId,constructorId,constructorName,positionRaw,laps,nParticipants,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed
1969-08-03,1969,7,germany,lotus,Lotus,8,13,26,1000.0,1013.871609,13.871609,0.72,0.442568,50.0
1970-03-07,1970,1,south-africa,brabham,Brabham,DNF,23,23,1013.871609,996.249144,-17.622465,0.090909,0.443358,50.0
1970-04-19,1970,2,spain,brabham,Brabham,DNF,43,22,996.249144,1008.677794,12.428649,0.666667,0.418094,50.0
1970-05-10,1970,3,monaco,brabham,Brabham,DNQ,,21,1008.677794,992.279829,-16.397964,0.1,0.427959,50.0
1970-06-07,1970,4,belgium,brabham,Brabham,5,28,18,992.279829,1009.866902,17.587073,0.764706,0.412964,50.0
1970-06-21,1970,5,netherlands,brabham,Brabham,DNQ,,24,1009.866902,990.262578,-19.604324,0.065217,0.457304,50.0
1970-07-05,1970,6,france,brabham,Brabham,7,38,23,990.262578,1005.539418,15.27684,0.727273,0.421736,50.0
1970-07-18,1970,7,great-britain,brabham,Brabham,DNS,,25,1005.539418,985.536032,-20.003387,0.041667,0.441734,50.0
1970-08-02,1970,8,germany,brabham,Brabham,5,49,25,985.536032,1006.336216,20.800185,0.833333,0.41733,50.0
1970-08-16,1970,9,austria,brabham,Brabham,3,60,24,1006.336216,1029.426543,23.090326,0.913043,0.451237,50.0
1970-09-06,1970,10,italy,brabham,Brabham,5,68,27,1029.426543,1047.820032,18.393489,0.846154,0.478284,50.0
1970-09-20,1970,11,canada,brabham,Brabham,DNF,23,20,1047.820032,1026.588832,-21.2312,0.052632,0.477256,50.0
1970-10-04,1970,12,united-states,brabham,Brabham,12,104,27,1026.588832,1031.656687,5.067854,0.576923,0.475566,50.0
1970-10-25,1970,13,mexico,brabham,Brabham,DNF,15,18,1031.656687,1021.788169,-9.868518,0.235294,0.432664,50.0
1971-03-06,1971,1,south-africa,surtees,Surtees,12,77,25,1021.788169,1025.080791,3.292622,0.541667,0.475814,50.0
1971-04-18,1971,2,spain,surtees,Surtees,DNF,9,22,1025.080791,1006.95829,-18.1225,0.095238,0.457688,50.0
1971-05-23,1971,3,monaco,surtees,Surtees,6,79,23,1006.95829,1023.978809,17.020519,0.772727,0.432317,50.0
1971-06-20,1971,4,netherlands,surtees,Surtees,DSQ,19,25,1023.978809,1004.822853,-19.155956,0.083333,0.466452,50.0
1971-07-04,1971,5,france,surtees,Surtees,11,53,24,1004.822853,1011.490943,6.66809,0.565217,0.431856,50.0
1971-07-17,1971,6,great-britain,surtees,Surtees,5,67,24,1011.490943,1030.317105,18.826163,0.826087,0.449564,50.0
1971-08-01,1971,7,germany,surtees,Surtees,10,11,24,1030.317105,1036.750127,6.433021,0.608696,0.480035,50.0
1971-08-15,1971,8,austria,surtees,Surtees,7,54,22,1036.750127,1047.970898,11.220772,0.714286,0.48987,50.0
1971-09-05,1971,9,italy,surtees,Surtees,DNS,,24,1047.970898,1021.750597,-26.220302,0.0,0.524406,50.0
1971-09-19,1971,10,canada,surtees,Surtees,DNF,26,27,1021.750597,1013.727264,-8.023333,0.307692,0.468159,50.0
1972-03-04,1972,2,south-africa,eifelland,Eifelland,13,77,27,1013.727264,1017.463663,3.7364,0.538462,0.463734,50.0
1972-05-01,1972,3,spain,eifelland,Eifelland,DNF,15,26,1017.463663,1002.17137,-15.292293,0.16,0.465846,50.0
1972-05-14,1972,4,monaco,eifelland,Eifelland,10,77,25,1002.17137,1011.668548,9.497177,0.625,0.435056,50.0
1972-06-04,1972,5,belgium,eifelland,Eifelland,11,83,26,1011.668548,1018.404345,6.735797,0.6,0.465284,50.0
1972-07-02,1972,6,france,eifelland,Eifelland,16,37,29,1018.404345,1017.585975,-0.81837,0.464286,0.480653,50.0
1972-07-15,1972,7,great-britain,eifelland,Eifelland,10,71,27,1017.585975,1026.614228,9.028253,0.653846,0.473281,50.0
1972-07-30,1972,8,germany,eifelland,Eifelland,DNF,6,27,1026.614228,1012.277497,-14.336731,0.192308,0.479042,50.0
1972-08-13,1972,9,austria,eifelland,Eifelland,15,48,26,1012.277497,1011.616546,-0.660951,0.44,0.453219,50.0
1973-08-05,1973,11,germany,brabham,Brabham,11,14,23,1011.616546,1016.950649,5.334103,0.545455,0.438772,50.0
1973-08-19,1973,12,austria,brabham,Brabham,DNF,21,25,1016.950649,1009.277646,-7.673003,0.291667,0.445127,50.0
1973-09-09,1973,13,italy,brabham,Brabham,12,54,25,1009.277646,1014.784382,5.506736,0.541667,0.431532,50.0
1973-09-23,1973,14,canada,brabham,Brabham,12,76,26,1014.784382,1020.133447,5.349064,0.56,0.453019,50.0
1974-08-18,1974,12,austria,lola,Lola,DNF,14,31,1020.133447,1008.43522,-11.698227,0.233333,0.467298,50.0
1974-09-08,1974,13,italy,lola,Lola,DNF,25,31,1008.43522,1012.552189,4.116969,0.533333,0.450994,50.0
1974-09-22,1974,14,canada,lola,Lola,11,78,30,1012.552189,1022.788218,10.236029,0.655172,0.450452,50.0
1974-10-06,1974,15,united-states,lola,Lola,12,54,30,1022.788218,1030.802179,8.013961,0.62069,0.46041,50.0
1975-01-12,1975,1,argentina,lola,Lola,13,51,23,1030.802179,1031.086508,0.284329,0.454545,0.448859,50.0
1975-01-26,1975,2,brazil,lola,Lola,14,39,23,1031.086508,1029.059301,-2.027207,0.409091,0.449635,50.0
1975-03-01,1975,3,south-africa,lola,Lola,7,78,28,1029.059301,1044.560407,15.501106,0.777778,0.467756,50.0
1975-04-27,1975,4,spain,hill,Hill,DNF,25,26,1044.560407,1053.343573,8.783166,0.66,0.484337,50.0
1975-08-17,1975,12,austria,hill,Hill,16,27,30,1053.343573,1052.117602,-1.225971,0.482759,0.507278,50.0
1975-09-07,1975,13,italy,hill,Hill,DNF,3,28,1052.117602,1041.804408,-10.313194,0.296296,0.50256,50.0
1976-08-01,1976,10,germany,brabham,Brabham,6,14,28,1041.804408,1059.086404,17.281996,0.814815,0.469175,50.0
1976-08-29,1976,12,netherlands,hesketh,Hesketh,12,72,27,1059.086404,1062.94487,3.858465,0.576923,0.499754,50.0
1976-09-12,1976,13,italy,brabham,Brabham,DNF,41,29,1062.94487,1054.034384,-8.910485,0.321429,0.499638,50.0
1978-03-04,1978,3,south-africa,arrows,Arrows,9,77,30,1054.034384,1066.496758,12.462374,0.724138,0.47489,50.0
1978-04-02,1978,4,united-states-west,arrows,Arrows,9,79,30,1066.496758,1078.226009,11.729251,0.724138,0.489553,50.0
1978-05-07,1978,5,monaco,arrows,Arrows,DNF,38,30,1078.226009,1079.033494,0.807485,0.517241,0.501092,50.0
1978-05-21,1978,6,belgium,arrows,Arrows,DNF,26,32,1079.033494,1072.708908,-6.324586,0.387097,0.513588,50.0
1978-06-04,1978,7,spain,arrows,Arrows,14,71,29,1072.708908,1074.87156,2.162651,0.535714,0.492461,50.0
1978-06-17,1978,8,sweden,arrows,Arrows,14,67,27,1074.87156,1075.842071,0.970512,0.5,0.48059,50.0
1978-07-02,1978,9,france,arrows,Arrows,15,53,29,1075.842071,1076.201288,0.359217,0.5,0.492816,50.0
1978-07-16,1978,10,great-britain,arrows,Arrows,DNQ,,30,1076.201288,1053.769535,-22.431753,0.051724,0.500359,50.0
1978-07-30,1978,11,germany,arrows,Arrows,DSQ,42,30,1053.769535,1039.272285,-14.497249,0.172414,0.462359,50.0
1978-08-13,1978,12,austria,arrows,Arrows,DNPQ,,31,1039.272285,1026.856785,-12.4155,0.2,0.44831,50.0
1978-08-27,1978,13,netherlands,arrows,Arrows,DNPQ,,33,1026.856785,1014.367955,-12.48883,0.1875,0.437277,50.0
1978-09-10,1978,14,italy,arrows,Arrows,DNPQ,,31,1014.367955,1001.134417,-13.233538,0.15,0.414671,50.0
1978-10-01,1978,15,united-states,arrows,Arrows,16,54,27,1001.134417,1002.457003,1.322586,0.423077,0.396625,50.0
1978-10-08,1978,16,canada,arrows,Arrows,DNQ,,28,1002.457003,987.225501,-15.231502,0.092593,0.397223,50.0
