date,year,round,grandPrixId,positionRaw,laps,nParticipants,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed
2009-08-23,2009,11,europe,15,57,20,1500.0,1496.623444,-3.376556,0.263158,0.403848,24.0
2009-08-30,2009,12,belgium,DNF,0,20,1496.623444,1488.929646,-7.693798,0.078947,0.399522,24.0
2009-09-13,2009,13,italy,15,52,20,1488.929646,1485.928138,-3.001508,0.263158,0.388221,24.0
2009-09-27,2009,14,singapore,DNF,3,20,1485.928138,1476.70593,-9.222208,0.0,0.384259,24.0
2009-10-04,2009,15,japan,16,52,20,1476.70593,1472.833769,-3.87216,0.210526,0.371866,24.0
2009-10-18,2009,16,brazil,13,70,20,1472.833769,1472.737364,-0.096406,0.368421,0.372438,24.0
2009-11-01,2009,17,abu-dhabi,18,54,20,1472.737364,1466.334347,-6.403017,0.105263,0.372056,24.0
2012-03-18,2012,1,australia,DNF,1,24,1466.334347,1460.805183,-5.529164,0.130435,0.360817,24.0
2012-03-25,2012,2,malaysia,DNF,3,24,1460.805183,1452.30527,-8.499913,0.0,0.354163,24.0
2012-04-15,2012,3,china,6,56,24,1452.30527,1462.842499,10.537229,0.782609,0.343557,24.0
2012-04-22,2012,4,bahrain,3,57,24,1462.842499,1476.192321,13.349822,0.913043,0.356801,24.0
2012-05-13,2012,5,spain,4,66,24,1476.192321,1488.088651,11.896329,0.869565,0.373885,24.0
2012-05-27,2012,6,monaco,DNF,0,24,1488.088651,1479.795748,-8.292903,0.043478,0.389016,24.0
2012-06-10,2012,7,canada,2,70,24,1479.795748,1493.663219,13.867472,0.956522,0.37871,24.0
2012-06-24,2012,8,europe,DNF,40,24,1493.663219,1488.319711,-5.343509,0.173913,0.396559,24.0
2012-07-08,2012,9,great-britain,6,52,24,1488.319711,1497.758644,9.438933,0.782609,0.38932,24.0
2012-07-22,2012,10,germany,18,66,24,1497.758644,1494.374161,-3.384483,0.26087,0.40189,24.0
2012-07-29,2012,11,hungary,3,69,24,1494.374161,1506.746595,12.372434,0.913043,0.397525,24.0
2012-09-02,2012,12,belgium,DNF,0,24,1506.746595,1498.38159,-8.365005,0.065217,0.413759,24.0
2012-09-23,2012,14,singapore,7,59,24,1498.38159,1506.47025,8.088659,0.73913,0.402103,24.0
2012-10-07,2012,15,japan,19,51,24,1506.47025,1501.783767,-4.686483,0.217391,0.412661,24.0
2012-10-14,2012,16,korea,7,55,24,1501.783767,1509.773156,7.98939,0.73913,0.406239,24.0
2012-10-28,2012,17,india,9,60,24,1509.773156,1515.426835,5.653679,0.652174,0.416604,24.0
2012-11-04,2012,18,abu-dhabi,DNF,37,24,1515.426835,1509.936064,-5.490771,0.195652,0.424434,24.0
2012-11-18,2012,19,united-states,7,56,24,1509.936064,1517.664427,7.728363,0.73913,0.417115,24.0
2012-11-25,2012,20,brazil,DNF,5,24,1517.664427,1510.540806,-7.123622,0.130435,0.427252,24.0
2013-03-17,2013,1,australia,10,58,22,1510.540806,1514.876625,4.33582,0.571429,0.390769,24.0
2013-03-24,2013,2,malaysia,6,56,22,1514.876625,1523.634209,8.757584,0.761905,0.397005,24.0
2013-04-14,2013,3,china,9,56,22,1523.634209,1528.69125,5.057041,0.619048,0.408338,24.0
2013-04-21,2013,4,bahrain,3,57,22,1528.69125,1540.438412,11.747163,0.904762,0.415297,24.0
2013-05-12,2013,5,spain,DNF,8,22,1540.438412,1530.091003,-10.347409,0.0,0.431142,24.0
2013-05-26,2013,6,monaco,DNF,63,22,1530.091003,1525.779371,-4.311632,0.238095,0.417747,24.0
2013-06-09,2013,7,canada,13,69,22,1525.779371,1526.176187,0.396816,0.428571,0.412037,24.0
2013-06-30,2013,8,great-britain,19,51,22,1526.176187,1519.694577,-6.48161,0.142857,0.412924,24.0
2013-07-07,2013,9,germany,3,60,22,1519.694577,1531.708034,12.013458,0.904762,0.404201,24.0
2013-07-28,2013,10,hungary,6,70,22,1531.708034,1539.90732,8.199285,0.761905,0.420268,24.0
2013-08-25,2013,11,belgium,8,44,22,1539.90732,1545.550492,5.643173,0.666667,0.431534,24.0
2013-09-08,2013,12,italy,8,53,22,1545.550492,1551.012698,5.462205,0.666667,0.439075,24.0
2013-09-22,2013,13,singapore,DNF,37,22,1551.012698,1541.43842,-9.574278,0.047619,0.446547,24.0
2013-10-06,2013,14,korea,3,55,22,1541.43842,1552.732183,11.293763,0.904762,0.434188,24.0
2013-10-13,2013,15,japan,3,53,22,1552.732183,1563.666549,10.934366,0.904762,0.449163,24.0
2013-10-27,2013,16,india,3,60,22,1563.666549,1574.253593,10.587043,0.904762,0.463635,24.0
2013-11-03,2013,17,abu-dhabi,4,55,22,1574.253593,1583.368728,9.115136,0.857143,0.477346,24.0
2013-11-17,2013,18,united-states,2,56,22,1583.368728,1594.01851,10.649782,0.952381,0.50864,24.0
2013-11-24,2013,19,brazil,DNF,2,22,1594.01851,1581.472728,-12.545782,0.0,0.522741,24.0
2014-03-16,2014,1,australia,DNF,43,22,1581.472728,1577.628602,-3.844126,0.333333,0.493505,24.0
2014-03-30,2014,2,malaysia,11,55,22,1577.628602,1578.490386,0.861785,0.52381,0.487902,24.0
2014-04-06,2014,3,bahrain,12,57,22,1578.490386,1578.178569,-0.311818,0.47619,0.489183,24.0
2014-04-20,2014,4,china,DNF,28,22,1578.178569,1567.594841,-10.583728,0.047619,0.488608,24.0
2014-05-11,2014,5,spain,8,65,22,1567.594841,1572.208321,4.61348,0.666667,0.474438,24.0
2014-05-25,2014,6,monaco,8,77,22,1572.208321,1576.672632,4.464311,0.666667,0.480654,24.0
2014-06-08,2014,7,canada,DNF,59,22,1576.672632,1572.999466,-3.673166,0.333333,0.486382,24.0
2014-06-22,2014,8,austria,14,70,22,1572.999466,1570.592517,-2.406949,0.380952,0.481242,24.0
2014-07-06,2014,9,great-britain,12,51,22,1570.592517,1570.558141,-0.034376,0.47619,0.477623,24.0
2014-07-20,2014,10,germany,DNF,26,22,1570.558141,1560.246173,-10.311968,0.047619,0.477284,24.0
2014-07-27,2014,11,hungary,DNF,10,22,1560.246173,1550.264169,-9.982005,0.047619,0.463536,24.0
2014-08-24,2014,12,belgium,DNF,33,22,1550.264169,1541.723664,-8.540505,0.095238,0.451092,24.0
2014-09-07,2014,13,italy,16,52,22,1541.723664,1538.06336,-3.660304,0.285714,0.438227,24.0
2014-09-21,2014,14,singapore,13,60,22,1538.06336,1537.956228,-0.107132,0.428571,0.433035,24.0
2014-10-05,2014,15,japan,15,43,22,1537.956228,1535.568307,-2.387921,0.333333,0.43283,24.0
2014-10-12,2014,16,russia,17,52,21,1535.568307,1530.330792,-5.237515,0.2,0.41823,24.0
2014-11-02,2014,17,united-states,11,55,18,1530.330792,1531.22751,0.896718,0.411765,0.374401,24.0
2014-11-09,2014,18,brazil,17,63,18,1531.22751,1523.622403,-7.605107,0.058824,0.375703,24.0
2014-11-23,2014,19,abu-dhabi,13,54,20,1523.622403,1523.220832,-0.401571,0.368421,0.385153,24.0
2015-03-15,2015,1,australia,DNF,0,20,1523.220832,1520.525711,-2.695121,0.289474,0.40177,24.0
2015-03-29,2015,2,malaysia,11,55,20,1520.525711,1522.677787,2.152076,0.473684,0.384014,24.0
2015-04-12,2015,3,china,7,56,20,1522.677787,1529.816523,7.138736,0.684211,0.386763,24.0
2015-04-19,2015,4,bahrain,7,57,20,1529.816523,1536.724325,6.907802,0.684211,0.396385,24.0
2015-05-10,2015,5,spain,8,65,20,1536.724325,1542.147611,5.423285,0.631579,0.405609,24.0
2015-05-24,2015,6,monaco,12,78,20,1542.147611,1542.345034,0.197423,0.421053,0.412827,24.0
2015-06-07,2015,7,canada,10,69,20,1542.345034,1545.061705,2.716671,0.526316,0.413121,24.0
2015-06-21,2015,8,austria,DNF,35,20,1545.061705,1540.741605,-4.3201,0.236842,0.416846,24.0
2015-07-05,2015,9,great-britain,DNF,0,20,1540.741605,1533.400204,-7.3414,0.105263,0.411155,24.0
2015-07-26,2015,10,hungary,7,69,20,1533.400204,1540.175206,6.775002,0.684211,0.401919,24.0
2015-08-23,2015,11,belgium,3,43,20,1540.175206,1551.792391,11.617185,0.894737,0.410687,24.0
2015-09-06,2015,12,italy,DNF,1,20,1551.792391,1542.19993,-9.592462,0.026316,0.426002,24.0
2015-09-20,2015,13,singapore,13,59,20,1542.19993,1541.182523,-1.017407,0.368421,0.410813,24.0
2015-09-27,2015,14,japan,7,53,20,1541.182523,1547.787944,6.605421,0.684211,0.408985,24.0
2015-10-11,2015,15,russia,DNF,11,20,1547.787944,1541.498519,-6.289425,0.157895,0.419954,24.0
2015-10-25,2015,16,united-states,DNF,10,20,1541.498519,1534.191706,-7.306813,0.105263,0.409714,24.0
2015-11-01,2015,17,mexico,10,71,20,1534.191706,1537.222864,3.031158,0.526316,0.400018,24.0
2015-11-15,2015,18,brazil,8,70,20,1537.222864,1542.694877,5.472012,0.631579,0.403578,24.0
2015-11-29,2015,19,abu-dhabi,9,55,20,1542.694877,1546.690033,3.995157,0.578947,0.412483,24.0
2016-03-20,2016,1,australia,6,57,22,1546.690033,1554.835948,8.145914,0.761905,0.422492,24.0
2016-04-03,2016,2,bahrain,5,57,22,1554.835948,1563.650742,8.814794,0.809524,0.442241,24.0
2016-04-17,2016,3,china,19,55,22,1563.650742,1556.378605,-7.272137,0.142857,0.445863,24.0
2016-05-01,2016,4,russia,8,52,22,1556.378605,1561.908894,5.530289,0.666667,0.436238,24.0
2016-05-15,2016,5,spain,DNF,56,22,1561.908894,1555.83294,-6.075954,0.190476,0.443641,24.0
2016-05-29,2016,6,monaco,13,76,22,1555.83294,1555.689398,-0.143542,0.428571,0.434552,24.0
2016-06-12,2016,7,canada,14,68,22,1555.689398,1554.405463,-1.283935,0.380952,0.43445,24.0
2016-06-19,2016,8,europe,13,50,22,1554.405463,1554.299271,-0.106192,0.428571,0.432996,24.0
2016-07-03,2016,9,austria,7,71,22,1554.299271,1561.044566,6.745294,0.714286,0.433232,24.0
2016-07-10,2016,10,great-britain,DNF,17,22,1561.044566,1552.718794,-8.325772,0.095238,0.442145,24.0
2016-07-24,2016,11,hungary,14,69,22,1552.718794,1551.516604,-1.20219,0.380952,0.431044,24.0
2016-07-31,2016,12,germany,13,66,22,1551.516604,1551.487079,-0.029525,0.428571,0.429802,24.0
2016-08-28,2016,13,belgium,13,44,22,1551.487079,1551.528132,0.041053,0.428571,0.426861,24.0
2016-09-04,2016,14,italy,11,52,22,1551.528132,1553.845301,2.317169,0.52381,0.427261,24.0
2016-09-18,2016,15,singapore,DNS,,22,1553.845301,1543.504759,-10.340541,0.0,0.430856,24.0
2016-10-02,2016,16,malaysia,DNF,7,22,1543.504759,1534.627974,-8.876786,0.047619,0.417485,24.0
2016-10-09,2016,17,japan,11,53,22,1534.627974,1537.476357,2.848383,0.52381,0.405127,24.0
2016-10-23,2016,18,united-states,10,55,22,1537.476357,1541.36625,3.889894,0.571429,0.40935,24.0
2016-10-30,2016,19,mexico,20,70,22,1541.36625,1533.700923,-7.665328,0.095238,0.414627,24.0
2016-11-13,2016,20,brazil,DNS,,22,1533.700923,1523.978691,-9.722232,0.0,0.405093,24.0
2016-11-27,2016,21,abu-dhabi,11,55,22,1523.978691,1527.127774,3.149084,0.52381,0.392598,24.0
2017-03-26,2017,1,australia,DNF,13,20,1527.127774,1517.511575,-9.616199,0.0,0.400675,24.0
2017-04-09,2017,2,china,11,55,20,1517.511575,1519.564167,2.052592,0.473684,0.38816,24.0
2017-04-16,2017,3,bahrain,8,57,20,1519.564167,1525.244169,5.680002,0.631579,0.394912,24.0
2017-04-30,2017,4,russia,DNF,0,20,1525.244169,1517.469736,-7.774433,0.078947,0.402882,24.0
2017-05-14,2017,5,spain,10,65,20,1517.469736,1520.674028,3.204292,0.526316,0.392804,24.0
2017-05-28,2017,6,monaco,8,78,20,1520.674028,1526.250331,5.576303,0.631579,0.399233,24.0
2017-06-11,2017,7,canada,10,69,20,1526.250331,1529.18979,2.939459,0.526316,0.403838,24.0
2017-06-25,2017,8,azerbaijan,13,50,20,1529.18979,1528.238145,-0.951645,0.368421,0.408073,24.0
2017-07-09,2017,9,austria,6,71,20,1528.238145,1536.16144,7.923295,0.736842,0.406705,24.0
2017-07-16,2017,10,great-britain,13,50,20,1536.16144,1534.980038,-1.181402,0.368421,0.417646,24.0
2017-07-30,2017,11,hungary,DNF,20,20,1534.980038,1526.153883,-8.826155,0.052632,0.420388,24.0
2017-08-27,2017,12,belgium,7,44,20,1526.153883,1532.876498,6.722615,0.684211,0.404102,24.0
2017-09-03,2017,13,italy,15,52,20,1532.876498,1529.271207,-3.605291,0.263158,0.413378,24.0
2017-09-17,2017,14,singapore,9,58,20,1529.271207,1533.347813,4.076606,0.578947,0.409089,24.0
2017-10-01,2017,15,malaysia,13,55,20,1533.347813,1532.231309,-1.116504,0.368421,0.414942,24.0
2017-10-08,2017,16,japan,9,53,20,1532.231309,1536.201125,3.969816,0.578947,0.413538,24.0
2017-10-22,2017,17,united-states,14,55,20,1536.201125,1533.823186,-2.377939,0.315789,0.41487,24.0
2017-10-29,2017,18,mexico,15,69,20,1533.823186,1530.221936,-3.60125,0.263158,0.41321,24.0
2017-11-12,2017,19,brazil,15,69,20,1530.221936,1526.742944,-3.478992,0.263158,0.408116,24.0
2017-11-26,2017,20,abu-dhabi,11,54,20,1526.742944,1528.413927,1.670983,0.473684,0.40406,24.0
2018-03-25,2018,1,australia,DNF,24,20,1528.413927,1523.601483,-4.812444,0.210526,0.411045,24.0
2018-04-08,2018,2,bahrain,13,56,20,1523.601483,1522.720935,-0.880548,0.368421,0.405111,24.0
2018-04-15,2018,3,china,17,56,20,1522.720935,1516.825684,-5.895251,0.157895,0.40353,24.0
2018-04-29,2018,4,azerbaijan,DNF,42,20,1516.825684,1513.636785,-3.188899,0.263158,0.396029,24.0
2018-05-13,2018,5,spain,DNF,0,20,1513.636785,1505.49908,-8.137705,0.052632,0.391703,24.0
2018-05-27,2018,6,monaco,15,77,20,1505.49908,1502.663784,-2.835296,0.263158,0.381295,24.0
2018-06-10,2018,7,canada,12,67,20,1502.663784,1503.695071,1.031286,0.421053,0.378082,24.0
2018-06-24,2018,8,france,11,52,20,1503.695071,1505.946952,2.251882,0.473684,0.379856,24.0
2018-07-01,2018,9,austria,4,70,20,1505.946952,1516.96266,11.015707,0.842105,0.383117,24.0
2018-07-08,2018,10,great-britain,DNF,37,20,1516.96266,1511.871918,-5.090742,0.184211,0.396325,24.0
2018-07-22,2018,11,germany,6,67,20,1511.871918,1520.193032,8.321115,0.736842,0.390129,24.0
2018-07-29,2018,12,hungary,10,69,20,1520.193032,1523.21054,3.017507,0.526316,0.400586,24.0
2018-08-26,2018,13,belgium,7,44,20,1523.21054,1529.913746,6.703206,0.684211,0.40491,24.0
2018-09-02,2018,14,italy,DSQ,53,20,1529.913746,1519.983034,-9.930712,0.0,0.41378,24.0
2018-09-16,2018,15,singapore,15,60,20,1519.983034,1516.672719,-3.310315,0.263158,0.401088,24.0
2018-09-30,2018,16,russia,11,52,20,1516.672719,1518.50808,1.835361,0.473684,0.397211,24.0
2018-10-07,2018,17,japan,8,53,20,1518.50808,1524.061419,5.55334,0.631579,0.40019,24.0
2018-10-21,2018,18,united-states,DNF,2,20,1524.061419,1518.059739,-6.00168,0.157895,0.407965,24.0
2018-10-28,2018,19,mexico,16,68,20,1518.059739,1513.501361,-4.558379,0.210526,0.400459,24.0
2018-11-11,2018,20,brazil,8,71,20,1513.501361,1519.185843,5.684482,0.631579,0.394726,24.0
2018-11-25,2018,21,abu-dhabi,9,54,20,1519.185843,1523.41887,4.233027,0.578947,0.402571,24.0
2019-03-17,2019,1,australia,DNF,29,20,1523.41887,1516.541475,-6.877395,0.105263,0.391821,24.0
2019-03-31,2019,2,bahrain,DNF,16,20,1516.541475,1507.349069,-9.192406,0.0,0.383017,24.0
2019-04-14,2019,3,china,11,55,20,1507.349069,1509.80577,2.456701,0.473684,0.371322,24.0
2019-04-28,2019,4,azerbaijan,DNF,38,20,1509.80577,1503.964656,-5.841114,0.131579,0.374959,24.0
