date,year,round,grandPrixId,constructorId,constructorName,positionRaw,laps,nParticipants,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed
1993-03-14,1993,1,south-africa,jordan,Jordan,DNF,31,26,1000.0,1003.08368,3.08368,0.44,0.378326,50.0
1993-03-28,1993,2,brazil,jordan,Jordan,DNF,13,26,1003.08368,995.940127,-7.143553,0.24,0.382871,50.0
1993-04-11,1993,3,europe,jordan,Jordan,10,70,26,995.940127,1009.641647,13.70152,0.64,0.36597,50.0
1993-04-25,1993,4,san-marino,jordan,Jordan,DNF,17,26,1009.641647,1000.456421,-9.185226,0.2,0.383705,50.0
1993-05-09,1993,5,spain,jordan,Jordan,12,62,26,1000.456421,1009.91188,9.455459,0.56,0.370891,50.0
1993-05-23,1993,6,monaco,jordan,Jordan,9,76,26,1009.91188,1024.710075,14.798195,0.68,0.384036,50.0
1993-06-13,1993,7,canada,jordan,Jordan,DNF,10,26,1024.710075,1008.515769,-16.194306,0.08,0.403886,50.0
1993-07-04,1993,8,france,jordan,Jordan,7,71,26,1008.515769,1027.42494,18.909171,0.76,0.381817,50.0
1993-07-11,1993,9,great-britain,jordan,Jordan,10,58,26,1027.42494,1039.470829,12.045889,0.64,0.399082,50.0
1993-07-25,1993,10,germany,jordan,Jordan,DNF,34,26,1039.470829,1034.659464,-4.811365,0.32,0.416227,50.0
1993-08-15,1993,11,hungary,jordan,Jordan,DNF,0,26,1034.659464,1014.134276,-20.525187,0.0,0.410504,50.0
1993-08-29,1993,12,belgium,jordan,Jordan,DNF,11,26,1014.134276,1001.05019,-13.084087,0.12,0.381682,50.0
1993-09-12,1993,13,italy,jordan,Jordan,DNF,0,26,1001.05019,986.570928,-14.479262,0.08,0.369585,50.0
1993-09-26,1993,14,portugal,jordan,Jordan,13,68,26,986.570928,995.488697,8.917769,0.52,0.341645,50.0
1993-10-24,1993,15,japan,jordan,Jordan,5,53,24,995.488697,1019.038533,23.549836,0.826087,0.35509,50.0
