date,year,round,grandPrixId,positionRaw,laps,nParticipants,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed
1987-04-12,1987,1,brazil,7,59,23,1500.0,1506.87165,6.87165,0.727273,0.440954,24.0
1987-05-03,1987,2,san-marino,6,57,27,1506.87165,1515.180469,8.308819,0.807692,0.461491,24.0
1987-05-17,1987,3,belgium,5,42,26,1515.180469,1524.047205,8.866736,0.84,0.470553,24.0
1987-05-31,1987,4,monaco,10,75,26,1524.047205,1527.809628,3.762423,0.64,0.483232,24.0
1987-06-21,1987,5,detroit,DNF,0,26,1527.809628,1516.083717,-11.725911,0.0,0.48858,24.0
1987-07-05,1987,6,france,NC,71,26,1516.083717,1519.153233,3.069516,0.6,0.472104,24.0
1987-07-12,1987,7,great-britain,4,63,26,1519.153233,1528.834223,9.68099,0.88,0.476625,24.0
1987-07-26,1987,8,germany,DNF,9,26,1528.834223,1520.428364,-8.405859,0.14,0.490244,24.0
1987-08-09,1987,9,hungary,DNF,1,26,1520.428364,1508.945106,-11.483258,0.0,0.478469,24.0
1987-08-16,1987,10,austria,13,49,26,1508.945106,1510.328273,1.383168,0.52,0.462368,24.0
1987-09-06,1987,11,italy,11,47,28,1510.328273,1514.199937,3.871664,0.62963,0.46831,24.0
1987-09-20,1987,12,portugal,8,68,27,1514.199937,1520.420614,6.220676,0.730769,0.471574,24.0
1987-09-27,1987,13,spain,9,70,28,1520.420614,1525.723115,5.302501,0.703704,0.482766,24.0
1987-10-18,1987,14,mexico,DNF,1,27,1525.723115,1516.812078,-8.911036,0.115385,0.486678,24.0
1987-11-01,1987,15,japan,6,51,27,1516.812078,1524.843411,8.031333,0.807692,0.473053,24.0
1987-11-15,1987,16,australia,DNF,22,27,1524.843411,1518.552358,-6.291054,0.230769,0.492896,24.0
1988-04-03,1988,1,brazil,6,59,31,1518.552358,1526.972802,8.420444,0.833333,0.482481,24.0
1988-05-01,1988,2,san-marino,8,59,31,1526.972802,1533.506483,6.533681,0.766667,0.49443,24.0
1988-05-15,1988,3,monaco,DNQ,,31,1533.506483,1522.615661,-10.890822,0.05,0.503784,24.0
1988-05-29,1988,4,mexico,DNF,27,31,1522.615661,1520.496856,-2.118805,0.4,0.488284,24.0
1988-06-12,1988,5,canada,11,66,31,1520.496856,1524.848641,4.351785,0.666667,0.485342,24.0
1988-06-19,1988,6,detroit,DNQ,,31,1524.848641,1514.693747,-10.154894,0.066667,0.489787,24.0
1988-07-03,1988,7,france,7,79,31,1514.693747,1522.482864,7.789117,0.8,0.475453,24.0
1988-07-10,1988,8,great-britain,10,64,31,1522.482864,1527.603802,5.120938,0.7,0.486628,24.0
1988-07-24,1988,9,germany,9,43,31,1527.603802,1533.353066,5.749264,0.733333,0.493781,24.0
1988-08-07,1988,10,hungary,7,73,31,1533.353066,1540.505876,7.152809,0.8,0.501966,24.0
1988-08-28,1988,11,belgium,DNF,22,31,1540.505876,1537.683067,-2.822809,0.4,0.517617,24.0
1988-09-11,1988,12,italy,DNF,14,31,1537.683067,1531.734536,-5.948531,0.266667,0.514522,24.0
