date,year,round,grandPrixId,positionRaw,laps,nParticipants,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed
2018-03-25,2018,1,australia,DNF,4,20,1500.0,1491.028945,-8.971055,0.0,0.373794,24.0
2018-04-08,2018,2,bahrain,15,56,20,1491.028945,1488.637822,-2.391123,0.263158,0.362788,24.0
2018-04-15,2018,3,china,15,56,20,1488.637822,1486.33521,-2.302612,0.263158,0.3591,24.0
2018-04-29,2018,4,azerbaijan,DNF,0,20,1486.33521,1478.409231,-7.925979,0.026316,0.356565,24.0
2018-05-13,2018,5,spain,14,63,20,1478.409231,1477.678018,-0.731213,0.315789,0.346257,24.0
2018-05-27,2018,6,monaco,16,77,20,1477.678018,1474.436745,-3.241273,0.210526,0.345579,24.0
2018-06-10,2018,7,canada,17,66,20,1474.436745,1470.017832,-4.418913,0.157895,0.342016,24.0
2018-06-24,2018,8,france,15,52,20,1470.017832,1468.245337,-1.772496,0.263158,0.337012,24.0
2018-07-01,2018,9,austria,13,69,20,1468.245337,1469.043122,0.797785,0.368421,0.33518,24.0
2018-07-08,2018,10,great-britain,14,52,20,1469.043122,1468.584523,-0.4586,0.315789,0.334898,24.0
2018-07-22,2018,11,germany,DNF,51,20,1468.584523,1462.441355,-6.143167,0.078947,0.334913,24.0
2018-07-29,2018,12,hungary,16,68,20,1462.441355,1459.650416,-2.79094,0.210526,0.326815,24.0
2018-08-26,2018,13,belgium,12,43,20,1459.650416,1461.985319,2.334904,0.421053,0.323765,24.0
2018-09-02,2018,14,italy,10,52,20,1461.985319,1466.778926,4.793606,0.526316,0.326582,24.0
2018-09-16,2018,15,singapore,19,59,20,1466.778926,1460.050919,-6.728007,0.052632,0.332965,24.0
2018-09-30,2018,16,russia,18,51,20,1460.050919,1454.772771,-5.278148,0.105263,0.325186,24.0
2018-10-07,2018,17,japan,16,52,20,1454.772771,1452.157446,-2.615324,0.210526,0.319498,24.0
2018-10-21,2018,18,united-states,13,55,20,1452.157446,1453.391335,1.233889,0.368421,0.317009,24.0
2018-10-28,2018,19,mexico,13,69,20,1453.391335,1454.582265,1.19093,0.368421,0.318799,24.0
2018-11-11,2018,20,brazil,16,69,20,1454.582265,1451.947127,-2.635139,0.210526,0.320324,24.0
2018-11-25,2018,21,abu-dhabi,15,54,20,1451.947127,1450.63796,-1.309167,0.263158,0.317707,24.0
