date,year,round,grandPrixId,positionRaw,laps,nParticipants,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed
1980-01-13,1980,1,argentina,DNQ,,28,1500.0,1491.249682,-8.750318,0.055556,0.420152,24.0
1980-01-27,1980,2,brazil,DNQ,,28,1491.249682,1482.795785,-8.453897,0.055556,0.407801,24.0
1983-07-16,1983,9,great-britain,DNF,5,29,1482.795785,1477.863522,-4.932264,0.214286,0.419797,24.0
1983-08-07,1983,10,germany,DNF,11,29,1477.863522,1475.23467,-2.628851,0.303571,0.413107,24.0
1983-08-14,1983,11,austria,12,48,29,1475.23467,1479.976706,4.742035,0.607143,0.409558,24.0
1983-08-28,1983,12,netherlands,7,70,29,1479.976706,1488.841581,8.864876,0.785714,0.416344,24.0
1983-09-11,1983,13,italy,DNF,4,29,1488.841581,1483.26518,-5.576401,0.196429,0.428779,24.0
1983-09-25,1983,14,europe,14,74,29,1483.26518,1486.038903,2.773723,0.535714,0.420143,24.0
1984-07-22,1984,10,great-britain,DSQ,,28,1486.038903,1476.316713,-9.72219,0.018519,0.42361,24.0
1984-08-05,1984,11,germany,DSQ,,27,1476.316713,1467.1058,-9.210913,0.019231,0.403019,24.0
1984-08-19,1984,12,austria,DSQ,,28,1467.1058,1458.061576,-9.044224,0.018519,0.395361,24.0
1984-08-26,1984,13,netherlands,DSQ,,27,1458.061576,1449.380463,-8.681114,0.019231,0.380944,24.0
1984-09-09,1984,14,italy,4,49,27,1449.380463,1461.869186,12.488723,0.884615,0.364252,24.0
1984-10-07,1984,15,europe,DNF,17,26,1461.869186,1457.697393,-4.171793,0.2,0.373825,24.0
1984-10-21,1984,16,portugal,11,69,27,1457.697393,1463.503643,5.80625,0.615385,0.373458,24.0
1985-04-07,1985,1,brazil,7,58,25,1463.503643,1472.289987,8.786344,0.75,0.383902,24.0
1985-04-21,1985,2,portugal,8,62,26,1472.289987,1479.668038,7.378052,0.72,0.412581,24.0
1985-05-05,1985,3,san-marino,6,57,26,1479.668038,1488.716917,9.048879,0.8,0.422963,24.0
1985-05-19,1985,4,monaco,DNF,1,26,1488.716917,1485.936359,-2.780558,0.32,0.435857,24.0
1985-06-16,1985,5,canada,2,70,25,1485.936359,1498.755447,12.819088,0.958333,0.424205,24.0
1985-06-23,1985,6,detroit,2,63,25,1498.755447,1511.137396,12.381949,0.958333,0.442419,24.0
1985-07-07,1985,7,france,4,53,26,1511.137396,1521.139933,10.002537,0.88,0.463228,24.0
1985-07-21,1985,8,great-britain,DNF,1,26,1521.139933,1512.556602,-8.583331,0.12,0.477639,24.0
1985-08-04,1985,9,germany,9,66,27,1512.556602,1518.003246,5.446644,0.692308,0.465364,24.0
1985-08-18,1985,10,austria,4,52,27,1518.003246,1527.849509,9.846263,0.884615,0.474354,24.0
1985-08-25,1985,11,netherlands,DNF,9,27,1527.849509,1519.816819,-8.03269,0.153846,0.488542,24.0
1985-09-08,1985,12,italy,5,50,26,1519.816819,1528.932773,9.115955,0.84,0.460169,24.0
1985-09-15,1985,13,belgium,DNF,7,25,1528.932773,1519.97721,-8.955564,0.104167,0.477315,24.0
1985-10-06,1985,14,europe,DNF,59,27,1519.97721,1520.975156,0.997947,0.5,0.458419,24.0
