date,year,round,grandPrixId,positionRaw,laps,nParticipants,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed
2013-03-17,2013,1,australia,14,57,22,1500.0,1500.096592,0.096592,0.380952,0.376928,24.0
2013-03-24,2013,2,malaysia,11,56,22,1500.096592,1503.605761,3.509168,0.52381,0.377594,24.0
2013-04-14,2013,3,china,13,56,22,1503.605761,1504.726493,1.120732,0.428571,0.381874,24.0
2013-04-21,2013,4,bahrain,14,57,22,1504.726493,1504.663459,-0.063034,0.380952,0.383579,24.0
2013-05-12,2013,5,spain,16,65,22,1504.663459,1502.312195,-2.351264,0.285714,0.383684,24.0
2013-05-26,2013,6,monaco,12,78,22,1502.312195,1504.592483,2.280287,0.47619,0.381178,24.0
2013-06-09,2013,7,canada,14,69,22,1504.592483,1504.514419,-0.078064,0.380952,0.384205,24.0
2013-06-30,2013,8,great-britain,12,52,22,1504.514419,1506.713877,2.199458,0.47619,0.384546,24.0
2013-07-07,2013,9,germany,16,59,22,1506.713877,1504.277299,-2.436578,0.285714,0.387238,24.0
2013-07-28,2013,10,hungary,DNF,42,22,1504.277299,1497.33855,-6.93875,0.095238,0.384353,24.0
2013-08-25,2013,11,belgium,15,44,22,1497.33855,1496.317699,-1.020851,0.333333,0.375869,24.0
2013-09-08,2013,12,italy,15,53,22,1496.317699,1495.324379,-0.993319,0.333333,0.374722,24.0
2013-09-22,2013,13,singapore,13,61,22,1495.324379,1496.638145,1.313765,0.428571,0.373831,24.0
2013-10-06,2013,14,korea,12,55,22,1496.638145,1499.044117,2.405972,0.47619,0.375942,24.0
2013-10-13,2013,15,japan,17,52,22,1499.044117,1495.660742,-3.383376,0.238095,0.379069,24.0
2013-10-27,2013,16,india,16,59,22,1495.660742,1493.521332,-2.139409,0.285714,0.374856,24.0
2013-11-03,2013,17,abu-dhabi,15,54,22,1493.521332,1492.596875,-0.924458,0.333333,0.371852,24.0
2013-11-17,2013,18,united-states,8,56,22,1492.596875,1499.273172,6.676297,0.666667,0.388488,24.0
2013-11-24,2013,19,brazil,DNF,45,22,1499.273172,1490.877846,-8.395326,0.047619,0.397424,24.0
2014-03-16,2014,1,australia,5,57,22,1490.877846,1501.35384,10.475993,0.809524,0.373024,24.0
2014-03-30,2014,2,malaysia,8,56,22,1501.35384,1508.094767,6.740927,0.666667,0.385795,24.0
2014-04-06,2014,3,bahrain,8,57,22,1508.094767,1514.614966,6.520199,0.666667,0.394992,24.0
