date,year,round,grandPrixId,positionRaw,laps,nParticipants,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed
1987-10-18,1987,14,mexico,9,59,27,1500.0,1505.804939,5.804939,0.692308,0.450435,24.0
1987-11-01,1987,15,japan,14,47,27,1505.804939,1506.824833,1.019894,0.5,0.457504,24.0
1987-11-15,1987,16,australia,5,79,27,1506.824833,1515.917977,9.093144,0.846154,0.467273,24.0
1988-04-03,1988,1,brazil,DNF,32,31,1515.917977,1516.428115,0.510138,0.5,0.478744,24.0
1988-05-01,1988,2,san-marino,12,58,31,1516.428115,1520.120496,3.692381,0.633333,0.479484,24.0
1988-05-15,1988,3,monaco,7,77,31,1520.120496,1527.684775,7.56428,0.8,0.484822,24.0
1988-05-29,1988,4,mexico,9,64,31,1527.684775,1533.393561,5.708786,0.733333,0.495467,24.0
1988-06-12,1988,5,canada,DNQ,,31,1533.393561,1522.507293,-10.886268,0.05,0.503594,24.0
1988-06-19,1988,6,detroit,7,61,31,1522.507293,1530.031977,7.524684,0.8,0.486472,24.0
1988-07-03,1988,7,france,13,78,31,1530.031977,1532.499541,2.467564,0.6,0.497185,24.0
1988-07-10,1988,8,great-britain,13,63,31,1532.499541,1534.879607,2.380066,0.6,0.500831,24.0
1988-07-24,1988,9,germany,19,39,31,1534.879607,1532.381221,-2.498386,0.4,0.504099,24.0
1988-08-07,1988,10,hungary,9,73,31,1532.381221,1537.967095,5.585874,0.733333,0.500589,24.0
1988-08-28,1988,11,belgium,DNF,9,31,1537.967095,1532.83046,-5.136635,0.3,0.514026,24.0
1988-09-11,1988,12,italy,DNF,17,31,1532.83046,1528.646597,-4.183864,0.333333,0.507661,24.0
1988-09-25,1988,13,portugal,DNF,20,31,1528.646597,1524.743426,-3.903171,0.333333,0.495965,24.0
1988-10-02,1988,14,spain,11,71,31,1524.743426,1528.971957,4.228531,0.666667,0.490478,24.0
1989-03-26,1989,1,brazil,DNQ,,38,1528.971957,1517.934729,-11.037228,0.040541,0.500425,24.0
1989-04-23,1989,2,san-marino,DNF,0,39,1517.934729,1515.389809,-2.54492,0.381579,0.487617,24.0
1989-05-07,1989,3,monaco,DNQ,,38,1515.389809,1504.346921,-11.042888,0.027027,0.487147,24.0
1989-05-28,1989,4,mexico,DNQ,,39,1504.346921,1494.04718,-10.299741,0.039474,0.46863,24.0
1989-06-04,1989,5,united-states,DNQ,,39,1494.04718,1484.092992,-9.954188,0.039474,0.454232,24.0
1989-06-18,1989,6,canada,DNQ,,39,1484.092992,1475.733985,-8.359007,0.092105,0.440397,24.0
1989-07-16,1989,8,great-britain,DNPQ,,39,1475.733985,1470.419819,-5.314166,0.210526,0.43195,24.0
1989-07-30,1989,9,germany,DNPQ,,39,1470.419819,1465.354853,-5.064965,0.210526,0.421567,24.0
1989-08-13,1989,10,hungary,DNPQ,,39,1465.354853,1460.450446,-4.904408,0.210526,0.414877,24.0
1989-08-27,1989,11,belgium,DNPQ,,39,1460.450446,1455.749009,-4.701437,0.210526,0.40642,24.0
1989-09-10,1989,12,italy,DNPQ,,39,1455.749009,1451.189527,-4.559482,0.210526,0.400505,24.0
1989-09-24,1989,13,portugal,DNPQ,,39,1451.189527,1447.40825,-3.781276,0.236842,0.394395,24.0
1989-10-01,1989,14,spain,DNPQ,,38,1447.40825,1442.558087,-4.850163,0.189189,0.391279,24.0
1989-10-22,1989,15,japan,DNPQ,,39,1442.558087,1439.105452,-3.452635,0.236842,0.380702,24.0
1989-11-05,1989,16,australia,DNPQ,,39,1439.105452,1435.149913,-3.955539,0.210526,0.37534,24.0
1990-03-11,1990,1,united-states,DNPQ,,35,1435.149913,1430.635299,-4.514614,0.176471,0.36458,24.0
1990-03-25,1990,2,brazil,DNF,28,35,1430.635299,1433.450687,2.815388,0.470588,0.35328,24.0
1990-05-13,1990,3,san-marino,DNPQ,,35,1433.450687,1429.218811,-4.231876,0.176471,0.352799,24.0
1990-05-27,1990,4,monaco,DNPQ,,35,1429.218811,1425.822935,-3.395875,0.205882,0.347377,24.0
1990-06-10,1990,5,canada,DNPQ,,35,1425.822935,1421.825762,-3.997173,0.176471,0.343019,24.0
1990-06-24,1990,6,mexico,DNPQ,,35,1421.825762,1417.94343,-3.882332,0.176471,0.338234,24.0
1990-07-08,1990,7,france,17,75,35,1417.94343,1422.639623,4.696192,0.529412,0.333737,24.0
1990-07-15,1990,8,great-britain,DNPQ,,35,1422.639623,1419.421408,-3.218215,0.205882,0.339975,24.0
1990-07-29,1990,9,germany,DNQ,,35,1419.421408,1413.116634,-6.304774,0.073529,0.336228,24.0
1990-08-12,1990,10,hungary,DNQ,,35,1413.116634,1406.285907,-6.830727,0.044118,0.328731,24.0
1990-08-26,1990,11,belgium,DNQ,,33,1406.285907,1399.878868,-6.40704,0.046875,0.313835,24.0
