year,round,date,grandPrixId,officialName,driverId,driverName,constructorId,positionRaw,laps,gridPosition,rankKeyTier,rankInRace,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed,nParticipants
1960,3,1960-05-30,indianapolis,1960 Indianapolis 500,jim-rathmann,Jim Rathmann,watson,1,200,2,0,1,1069.064204,1089.377951,20.313747,1.0,0.593725,50.0,33
1960,3,1960-05-30,indianapolis,1960 Indianapolis 500,rodger-ward,Rodger Ward,watson,2,200,3,0,2,979.258037,1004.575417,25.31738,0.96875,0.462402,50.0,33
1960,3,1960-05-30,indianapolis,1960 Indianapolis 500,paul-goldsmith,Paul Goldsmith,epperly,3,200,26,0,3,1000.260126,1022.46957,22.209444,0.9375,0.493311,50.0,33
1960,3,1960-05-30,indianapolis,1960 Indianapolis 500,don-branson,Don Branson,phillips,4,200,8,0,4,989.31777,1010.770893,21.453122,0.90625,0.477188,50.0,33
1960,3,1960-05-30,indianapolis,1960 Indianapolis 500,johnny-thomson,Johnny Thomson,lesovsky,5,200,17,0,5,994.926083,1014.403687,19.477605,0.875,0.485448,50.0,33
1960,3,1960-05-30,indianapolis,1960 Indianapolis 500,eddie-johnson,Eddie Johnson,trevis,6,200,7,0,6,1021.430124,1037.391987,15.961863,0.84375,0.524513,50.0,33
1960,3,1960-05-30,indianapolis,1960 Indianapolis 500,lloyd-ruby,Lloyd Ruby,watson,7,200,12,0,7,1000.0,1015.978622,15.978622,0.8125,0.492928,50.0,33
1960,3,1960-05-30,indianapolis,1960 Indianapolis 500,bob-veith,Bob Veith,meskowski,8,200,25,0,8,1018.435353,1031.492623,13.057271,0.78125,0.520105,50.0,33
1960,3,1960-05-30,indianapolis,1960 Indianapolis 500,bud-tingelstad,Bud Tingelstad,trevis,9,200,28,0,9,1000.0,1012.853622,12.853622,0.75,0.492928,50.0,33
1960,3,1960-05-30,indianapolis,1960 Indianapolis 500,bob-christie,Bob Christie,kurtis-kraft,10,200,14,0,10,1002.904461,1013.98143,11.076969,0.71875,0.497211,50.0,33
1960,3,1960-05-30,indianapolis,1960 Indianapolis 500,red-amick,Red Amick,epperly,11,200,22,0,11,978.38027,989.699527,11.319256,0.6875,0.461115,50.0,33
1960,3,1960-05-30,indianapolis,1960 Indianapolis 500,duane-carter,Duane Carter,kuzma,12,200,27,0,12,1086.761956,1088.638825,1.876869,0.65625,0.618713,50.0,33
1960,3,1960-05-30,indianapolis,1960 Indianapolis 500,bill-homeier,Bill Homeier,kuzma,13,200,31,0,13,1000.651635,1007.207213,6.555578,0.625,0.493888,50.0,33
1960,3,1960-05-30,indianapolis,1960 Indianapolis 500,gene-hartley,Gene Hartley,kurtis-kraft,14,196,24,0,14,1010.393334,1014.668123,4.274789,0.59375,0.508254,50.0,33
1960,3,1960-05-30,indianapolis,1960 Indianapolis 500,chuck-stevenson,Chuck Stevenson,watson,15,196,9,0,15,1006.436341,1009.440376,3.004035,0.5625,0.502419,50.0,33
1960,3,1960-05-30,indianapolis,1960 Indianapolis 500,bobby-grim,Bobby Grim,meskowski,16,194,21,0,16,986.19277,989.125793,2.933023,0.53125,0.47259,50.0,33
1960,3,1960-05-30,indianapolis,1960 Indianapolis 500,shorty-templeman,Shorty Templeman,kurtis-kraft,17,191,19,0,17,994.659449,995.406699,0.747251,0.5,0.485055,50.0,33
1960,3,1960-05-30,indianapolis,1960 Indianapolis 500,jim-hurtubise,Jim Hurtubise,christensen,18,185,23,0,18,1000.0,998.791122,-1.208878,0.46875,0.492928,50.0,33
1960,3,1960-05-30,indianapolis,1960 Indianapolis 500,jimmy-bryan,Jimmy Bryan,epperly,19,152,10,0,19,1032.886112,1027.694283,-5.191829,0.4375,0.541337,50.0,33
1960,3,1960-05-30,indianapolis,1960 Indianapolis 500,troy-ruttman,Troy Ruttman,watson,20,134,6,0,20,973.771396,971.36576,-2.405636,0.40625,0.454363,50.0,33
1960,3,1960-05-30,indianapolis,1960 Indianapolis 500,eddie-sachs,Eddie Sachs,ewing,21,132,1,0,21,985.064332,980.267822,-4.796511,0.375,0.47093,50.0,33
1960,3,1960-05-30,indianapolis,1960 Indianapolis 500,don-freeland,Don Freeland,kurtis-kraft,22,129,11,0,22,1022.391216,1013.282381,-9.108835,0.34375,0.525927,50.0,33
1960,3,1960-05-30,indianapolis,1960 Indianapolis 500,tony-bettenhausen,Tony Bettenhausen,watson,23,125,18,0,23,1067.14469,1053.220439,-13.924251,0.3125,0.590985,50.0,33
1960,3,1960-05-30,indianapolis,1960 Indianapolis 500,wayne-weiler,Wayne Weiler,epperly,24,103,15,0,24,1000.0,989.416122,-10.583878,0.28125,0.492928,50.0,33
1960,3,1960-05-30,indianapolis,1960 Indianapolis 500,anthony-joseph-foyt,Anthony Joseph Foyt,kurtis-kraft,25,90,16,0,25,1012.712193,999.62856,-13.083633,0.25,0.511673,50.0,33
1960,3,1960-05-30,indianapolis,1960 Indianapolis 500,eddie-russo,Eddie Russo,kurtis-kraft,26,84,29,0,26,960.924227,950.080208,-10.844018,0.21875,0.43563,50.0,33
1960,3,1960-05-30,indianapolis,1960 Indianapolis 500,johnny-boyd,Johnny Boyd,epperly,27,77,13,0,27,1022.495233,1005.566248,-16.928985,0.1875,0.52608,50.0,33
1960,3,1960-05-30,indianapolis,1960 Indianapolis 500,gene-force,Gene Force,kurtis-kraft,28,74,20,0,28,1008.442267,990.985897,-17.456369,0.15625,0.505377,50.0,33
1960,3,1960-05-30,indianapolis,1960 Indianapolis 500,jim-mcwithey,Jim McWithey,epperly,29,60,32,0,29,1001.81777,983.287367,-18.530403,0.125,0.495608,50.0,33
1960,3,1960-05-30,indianapolis,1960 Indianapolis 500,len-sutton,Len Sutton,watson,30,47,5,0,30,955.17688,938.49927,-16.67761,0.09375,0.427302,50.0,33
1960,3,1960-05-30,indianapolis,1960 Indianapolis 500,dick-rathmann,Dick Rathmann,watson,31,42,4,0,31,978.687113,958.733868,-19.953245,0.0625,0.461565,50.0,33
1960,3,1960-05-30,indianapolis,1960 Indianapolis 500,al-herman,Al Herman,ewing,32,34,30,0,32,996.607896,973.774064,-22.833831,0.03125,0.487927,50.0,33
1960,3,1960-05-30,indianapolis,1960 Indianapolis 500,dempsey-wilson,Dempsey Wilson,kurtis-kraft,33,11,33,0,33,1003.202876,978.320341,-24.882535,0.0,0.497651,50.0,33
