year,round,date,grandPrixId,officialName,careerRaceNumber,driverId,driverName,constructorId,positionRaw,laps,gridPosition,rankKeyTier,rankInRace,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed,nParticipants
1963,10,1963-12-28,south-africa,South African Grand Prix 1963,121,jim-clark,Jim Clark,lotus,1,85,1,0,1,1237.977444,1251.06775,13.090306,1.0,0.738194,50.0,21
1963,10,1963-12-28,south-africa,South African Grand Prix 1963,121,dan-gurney,Dan Gurney,brabham,2,85,3,0,2,1113.123652,1131.836312,18.712659,0.95,0.575747,50.0,21
1963,10,1963-12-28,south-africa,South African Grand Prix 1963,121,graham-hill,Graham Hill,brm,3,84,6,0,3,1173.114016,1185.217678,12.103662,0.9,0.657927,50.0,21
1963,10,1963-12-28,south-africa,South African Grand Prix 1963,121,bruce-mclaren,Bruce McLaren,cooper,4,84,9,0,4,1130.405392,1142.905018,12.499626,0.85,0.600007,50.0,21
1963,10,1963-12-28,south-africa,South African Grand Prix 1963,121,lorenzo-bandini,Lorenzo Bandini,ferrari,5,84,5,0,5,1047.41498,1063.34945,15.93447,0.8,0.481311,50.0,21
1963,10,1963-12-28,south-africa,South African Grand Prix 1963,121,jo-bonnier,Jo Bonnier,cooper,6,83,11,0,6,1106.249631,1115.44974,9.200108,0.75,0.565998,50.0,21
1963,10,1963-12-28,south-africa,South African Grand Prix 1963,121,tony-maggs,Tony Maggs,cooper,7,82,10,0,7,1089.243477,1097.158939,7.915462,0.7,0.541691,50.0,21
1963,10,1963-12-28,south-africa,South African Grand Prix 1963,121,trevor-taylor,Trevor Taylor,lotus,8,81,8,0,8,963.46486,977.82551,14.36065,0.65,0.362787,50.0,21
1963,10,1963-12-28,south-africa,South African Grand Prix 1963,121,john-love,John Love,cooper,9,80,13,0,9,1006.480309,1015.351397,8.871088,0.6,0.422578,50.0,21
1963,10,1963-12-28,south-africa,South African Grand Prix 1963,121,carel-godin-de-beaufort,Carel Godin de Beaufort,porsche,10,79,20,0,10,1051.421258,1054.566181,3.144923,0.55,0.487102,50.0,21
1963,10,1963-12-28,south-africa,South African Grand Prix 1963,121,doug-serrurier,Doug Serrurier,lds,11,78,18,0,11,992.417809,997.280734,4.862925,0.5,0.402741,50.0,21
1963,10,1963-12-28,south-africa,South African Grand Prix 1963,121,trevor-blokdyk,Trevor Blokdyk,cooper,12,77,19,0,12,1000.0,1001.829617,1.829617,0.45,0.413408,50.0,21
1963,10,1963-12-28,south-africa,South African Grand Prix 1963,121,jack-brabham,Jack Brabham,brabham,13,70,2,0,13,1121.480501,1112.104178,-9.376323,0.4,0.587526,50.0,21
1963,10,1963-12-28,south-africa,South African Grand Prix 1963,121,brausch-niemann,Brausch Niemann,lotus,14,66,15,0,14,1000.0,996.829617,-3.170383,0.35,0.413408,50.0,21
1963,10,1963-12-28,south-africa,South African Grand Prix 1963,121,peter-de-klerk,Peter de Klerk,alfa-special,DNF,53,16,1,15,1000.0,994.329617,-5.670383,0.3,0.413408,50.0,21
1963,10,1963-12-28,south-africa,South African Grand Prix 1963,121,david-prophet,David Prophet,brabham,DNF,49,14,1,16,1000.0,991.829617,-8.170383,0.25,0.413408,50.0,21
1963,10,1963-12-28,south-africa,South African Grand Prix 1963,121,john-surtees,John Surtees,ferrari,DNF,43,4,1,17,1064.848829,1048.272901,-16.575928,0.175,0.506519,50.0,21
1963,10,1963-12-28,south-africa,South African Grand Prix 1963,121,richie-ginther,Richie Ginther,brm,DNF,43,7,1,18,1186.778817,1161.744127,-25.03469,0.175,0.675694,50.0,21
1963,10,1963-12-28,south-africa,South African Grand Prix 1963,121,ernie-pieterse,Ernie Pieterse,lotus,DNF,3,12,1,19,1000.230309,984.543671,-15.686638,0.1,0.413733,50.0,21
1963,10,1963-12-28,south-africa,South African Grand Prix 1963,121,sam-tingle,Sam Tingle,lds,DNF,2,17,1,20,1000.0,981.829617,-18.170383,0.05,0.413408,50.0,21
1963,10,1963-12-28,south-africa,South African Grand Prix 1963,121,paddy-driver,Paddy Driver,lotus,DNS,,,2,21,1000.0,979.329617,-20.670383,0.0,0.413408,50.0,21
